/////////////////////////////////////////////////////////
// Map name       1944 Beach                           //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
333 1974 4680 "Allied Boat"
329 1980 4512 @
325 1719 4512 @
336 1299 4512 @
-2201 755 4512 @
-2189 1096 4512 @
-2208 1006 4680 @
-2195 401 4512 @
313 1826 4680 "Allied Boat MG42"
-2237 869 4680 @
-1818 -4440 5272 "Allied Transmitter"
-1820 -4764 5272 @
-1503 -4268 5002 @
3236 -4834 5384 "Axis Barracks"
4449 -4335 5380 @
4205 -4683 5380 @
3338 -5239 5380 @
4768 -4477 5380 @
4470 -4608 5360 @
4541 -4021 5380 "Axis Barracks Path"
4090 -3947 5380 @
4983 -2337 5384 @
924 -5313 5392 "Axis Command Post"
4838 1315 5400 "Axis Documents"
733 -4422 5448 "Axis Gate"
700 -4078 5391 "Axis Gate Path"
376 -3429 5107 @
4544 1751 5400 "Axis House"
4850 1598 5400 @
4271 1460 5400 @
4200 1805 5568 @
4043 1787 5576 "Axis House Balcony"
4260 1554 5688 "Axis House Roof"
4255 1824 5792 @
4806 1848 5792 @
4903 1468 5688 @
5089 907 5576 @
4594 1571 5636 @
3237 744 4568 "Beach"
2815 703 4694 @
2429 1016 4582 @
2007 1009 4564 @
1563 1136 4569 @
1239 1279 4561 @
571 1154 4538 @
309 987 4572 @
89 836 4547 @
-111 565 4567 @
-493 256 4564 @
-283 -134 4605 @
-22 -437 4570 @
-281 -751 4598 @
888 -646 4691 @
1711 65 4636 @
2608 583 4755 @
-1267 -2481 4520 "Beach Tunnel"
-1409 -4064 4520 @
-1605 -4074 4690 "Beach Tunnel Ladder"
-1516 -4070 4984 @
-1506 -2503 4520 "Beach Tunnel Wall"
-1659 -2484 4520 @
2018 -2761 5192 "Bunker Ladders"
1542 -5222 5385 "Command Post Path"
2819 -5105 5385 @
2610 -177 4979 "Eastern Blockade"
3814 1798 5043 "Falling..."
3814 1798 4708 @
3868 1787 5471 @
956 -2649 5420 "Forward Bunker"
965 -2226 5378 @
1550 -2255 5380 @
1514 -2659 5380 @
1905 -2586 5424 @
2179 -2614 5376 @
2504 -2681 5380 @
2637 -2086 5380 @
2497 -1622 5419 @
2077 -2171 5386 @
1768 -2278 5380 @
2178 -2752 5376 "Forward Bunker Back Door"
2515 -2763 5386 "Forward Bunker Back Path"
2204 -2949 5382 @
1952 -2931 5365 @
2082 -3533 5385 @
1664 -3913 5372 @
1155 -3969 5352 @
1976 -1803 5371 "Forward Bunker Doors"
4474 -4739 5360 "Health and Ammo Cabinets"
-2191 623 4512 @
3537 -2147 5384 "House Road"
4250 -1966 5384 @
4843 -1238 5380 @
4821 696 5384 @
4823 921 5384 "House Yard"
4843 1144 5384 @
4182 1319 5384 @
4537 1316 5384 @
1936 -1372 5016 "Lower Bunker Door"
1943 -1517 5016 "Lower Bunker Hallway"
1837 -2750 5016 @
1940 -1958 5016 @
1682 -1386 5032 "Lower Bunker MG42"
3814 1798 4414 "Ocean"
3113 1023 4494 @
2546 1304 4462 @
1880 1315 4461 @
1394 1591 4461 @
631 1518 4456 @
671 2050 4451 @
340 2331 4450 @
331 1964 4245 @
24 2049 4484 @
57 1296 4467 @
-259 862 4483 @
-804 420 4464 @
-670 -230 4521 @
-523 -525 4466 @
-1172 -577 4449 @
-1870 -2384 4449 @
69 1669 4446 @
537 1749 4450 @
-2701 527 4332 @
-2420 468 4406 @
-2399 837 4427 @
-2363 1262 4392 @
-1924 1294 4434 @
-1948 821 4414 @
-1981 353 4421 @
-1874 -96 4427 @
-1615 -560 4418 @
-1800 -1087 4409 @
-2067 -1433 4414 @
-2398 -1871 4435 @
-2265 -2683 4419 @
-2192 865 4237 @
2323 -540 4979 "Outside Forward Bunker"
1924 -1092 4971 @
1589 -1143 4972 @
1353 -1474 5112 @
1656 -1366 5192 @
1983 -1365 5192 @
2452 -1500 5372 @
1574 -1790 5324 @
1788 -2064 5383 @
1344 -2071 5380 @
869 -2097 5348 @
782 -2415 5380 @
794 -2737 5329 @
1094 -2755 5380 @
1583 -2754 5381 @
763 -1448 4974 @
2939 -2104 5384 "Roadhouse Wall"
-2701 -1563 4623 "Small Island"
-2701 140 4576 @
-2453 196 4557 @
-2179 -30 4554 @
-1918 -460 4558 @
-2028 -835 4555 @
-2178 -1236 4534 @
-2493 -1472 4626 @
1658 -3296 4981 "The Valley"
1078 -3091 4975 @
675 -3178 4971 @
1276 -2458 5382 "Tower"
-1328 -4291 4972 "Transmitter Path"
-273 -3393 4977 @
325 -1560 4971 "Western Blockade"
190 -1976 4974 "Western Path"
172 -2917 4976 @
339 -2390 4979 @
