/////////////////////////////////////////////////////////
// Map name       1944 Cherbourg                       //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-87 2225 -501 "Alley"
-79 2487 -551 @
-93 3104 -607 @
-105 3765 -551 @
157 4096 -551 @
552 4062 -551 @
-97 1996 -479 "Alley Wall"
1671 3988 -551 "Allied Spawn"
1224 3755 -551 @
1486 3343 -607 "Allied Spawn Road"
1309 2586 -560 @
1924 3485 -607 "Allied Tower"
4200 -1058 -487 "Apartment"
3773 -1059 -487 @
3822 -1225 -487 @
3820 -892 -487 @
3894 -422 -487 @
4228 -399 -487 @
3597 -409 -482 "Apartment Door 1"
3609 -1398 -487 "Apartment Door 2"
2805 -2984 -575 "Axis Barracks"
3444 -2589 -575 @
2795 -2556 -543 @
3416 -2335 -521 @
2868 -1881 -471 "Axis Bunker"
2701 -1790 -455 @
2709 -2021 -471 @
3045 -2181 -482 @
2034 -2669 -489 @
1896 -2574 -492 @
2412 -2527 -511 @
2520 -2332 -506 "Axis Bunker Alley"
2046 -2359 -498 @
2565 -1707 -488 @
2520 -2097 -495 @
2609 -1626 -487 @
2570 -1901 -490 @
2590 -1804 -489 @
2543 -1846 -489 @
2613 -1726 -488 @
2545 -1609 -487 @
2305 -2350 -507 @
1893 -2367 -498 @
2743 -2144 -471 "Axis Bunker Controls"
3545 -1668 -487 "Axis Bunker Door"
1737 -3094 -495 @
871 -1415 -495 "Axis Bunker Road"
1590 -1447 -495 @
2320 -1471 -495 @
2512 -1476 -495 @
3124 -1475 -495 @
3525 -1380 -487 @
1593 -2058 -495 @
2661 -1505 -495 @
2519 -1435 -495 @
2636 -1394 -487 @
2591 -1547 -487 @
2965 -1357 -487 @
2574 -1419 -581 "Axis Bunker Sewer"
2576 -1584 -581 @
2578 -1730 -581 @
2580 -1898 -581 @
2687 -1909 -556 @
2576 -1263 -543 "Axis Bunker Sewer Grate"
1566 -2722 -495 "Axis Inner Blockade"
1650 -2433 -495 @
1216 2212 -551 "Axis Main Gates"
2792 1128 -503 "Axis Outer Blockade"
4691 241 -511 "Axis Road"
4158 253 -511 @
3672 260 -511 @
3184 268 -511 @
5256 232 -511 "Axis Road Spawn"
4401 -95 -503 "Axis Yard"
4413 -820 -503 @
4395 -1403 -503 @
4745 -1410 -503 @
4764 -60 -503 @
4456 -412 -503 @
4443 -1065 -503 @
2226 -1300 -295 "Bunker Road Balcony"
2334 -357 -492 "Church Alley"
2423 -652 -450 @
2452 -875 -392 @
2738 -868 -474 @
2272 -527 -495 "Church Alley Door"
2245 -834 -375 "Church Alley Stairs"
3040 -92 -495 "Church Yard"
3506 -113 -495 @
3560 -650 -475 @
3417 -426 -480 @
3590 -1125 -476 @
2960 -1103 -487 @
1626 -425 -327 "Command Post"
1747 -191 -327 @
1489 -282 -327 @
1027 46 -495 "Command Post Road"
1440 20 -495 @
1885 45 -495 @
2216 59 -501 @
2259 533 -503 @
2621 270 -511 @
1235 -297 -407 "Command Post Stairs"
1244 -1165 -343 "Command Post Yard"
1575 -1172 -343 @
1560 -652 -343 @
1238 -650 -343 @
-1068 -2147 -567 "Dock AA-Gun"
-1215 -1895 -567 @
-771 -2161 -567 "Docks"
-759 -1646 -708 @
-1055 -1650 -719 @
-1160 -1239 -719 @
-1155 -864 -719 @
-1149 -520 -719 @
-1191 -215 -719 @
-1717 -225 -719 @
-1501 -224 -719 @
3413 -1974 -487 "East AA-Gun"
-446 442 -511 "Hotel Balcony"
-407 865 -511 @
-417 1209 -511 @
-593 957 -511 "Hotel Balcony Ladder"
-674 942 -730 @
-1033 1214 -690 "Hotel Beach"
51 1462 -511 "Hotel Garden"
515 1460 -511 @
885 1451 -495 @
-202 1369 -511 "Hotel Gate"
-834 1013 -785 "Ocean"
-1447 1170 -838 @
-751 718 -930 @
-726 326 -864 @
-1015 -82 -820 @
-950 -530 -828 @
-952 -971 -828 @
-1424 -1873 -935 @
-1404 -1276 -857 @
-1400 -874 -824 @
-1395 -427 -852 @
-1734 -433 -857 @
-1844 -206 -901 @
-1677 -16 -934 @
-1293 -20 -826 @
2756 1777 -579 "Outer Blockade Road"
2286 2886 -607 @
-39 -2699 -495 "Road To Docks"
-45 -2176 -495 @
-46 -1448 -495 @
407 -1437 -495 @
1534 -3084 -495 @
421 -3084 -493 @
792 3793 -551 "Supply Cabinets"
2407 -2719 -511 @
656 -885 -495 "Tank"
626 -1333 -495 @
635 -502 -495 "Tank Road"
621 35 -495 @
628 478 -495 @
899 802 -495 @
1208 1124 -495 @
1226 1543 -495 @
1229 1964 -551 @
361 -734 -495 @
2247 -188 -55 "Tower"
2620 -143 -487 "Tower Doors"
2516 -194 -487 "Tower Downstairs"
2279 -180 -487 @
2278 -192 -359 "Tower Ladder"
2673 -201 -359 "Tower Stairs"
2533 -184 -359 "Tower Upstairs"
2137 -2932 -471 "West AA-Gun"
