/////////////////////////////////////////////////////////
// Map name       1944 Forest                          //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
3404 3180 80 "Allied Farm"
3398 2988 80 @
3218 3172 80 @
3015 3168 80 @
2862 3272 80 @
2934 2998 80 @
2492 2986 107 @
2492 3250 80 @
2932 3639 80 "Allied Farm Spawn"
2955 3320 80 @
3353 3308 80 @
3403 3638 80 @
3204 3301 80 @
3214 3025 80 "Allied Farm Supplies"
-2233 1687 560 "Anti-Tank Gun"
-2407 1925 560 @
-2234 1919 560 @
-2055 1854 496 "Anti-Tank Gun Stairs"
-1913 1857 480 @
-1318 -1792 168 "Artillary Blast Area"
-1516 -2121 141 @
-2278 -2209 159 @
-2427 -1620 152 @
-1998 -1653 168 @
-1703 -1685 168 @
-1894 2115 168 "Axis Ammo Room"
-1897 1841 216 @
-2102 1842 216 @
-2141 2178 168 @
-2295 1922 152 "Axis Ammo Room Ladder"
-2341 1916 403 @
-1146 2528 168 "Axis Bunker"
-1793 2110 168 @
-1892 2274 168 @
-2128 2272 168 @
-1795 1846 168 @
-1625 1843 168 @
-1592 2520 168 @
-1363 2521 168 @
-1448 905 165 "Axis Bunker Road"
-1471 1526 164 @
-1547 1224 159 @
-1433 1840 173 @
-1439 2371 223 @
-1129 2371 168 @
-994 2537 168 @
-1167 2721 190 @
352 3598 168 @
1124 4279 168 @
895 3533 168 @
439 3723 168 @
-187 3086 168 @
-1913 2268 528 "Axis Bunker Roof"
-1642 2513 443 @
-2088 2012 616 @
-1175 2534 296 @
-1661 2362 336 "Axis Bunker Terrace"
-1645 1856 336 @
-1839 1863 336 @
-1600 1539 160 "Axis Bunker Yard"
-1832 1721 216 @
-1613 1327 155 @
1331 3514 92 "Axis Door"
1196 2330 111 "Axis North Path"
975 2506 99 @
434 2765 171 @
-2381 4342 304 "Behind North-West Hut"
-2182 4353 289 @
-2061 4301 274 @
-1539 -839 168 "Bridge"
-1533 -395 168 @
-1528 -19 168 @
-1541 420 168 @
-1346 -1502 168 "Bridge Houses"
-1342 -979 168 @
-1064 -947 168 @
-953 -1261 203 @
-1984 -946 232 @
-1987 -1170 168 @
-1884 -858 145 @
-2494 -1165 80 @
-1123 -1505 368 "Bridge Houses Roof"
-938 -1544 299 @
-1568 -1015 168 "Bridge Road"
-1868 -1452 168 @
-4090 -1925 32 "Command Post"
3066 2152 122 "Footbridge"
2994 1912 169 @
3246 1440 160 @
3445 1086 160 @
3742 586 160 @
3797 363 225 "Footbridge Road"
3726 -1148 74 @
3292 -1823 136 @
3459 -227 256 @
4441 -1321 335 "Footbridge Road Hills"
2511 -3983 264 "Forest"
-1183 -3456 92 @
-1327 -3702 214 @
-1368 -4333 340 @
-1325 -3212 183 @
-1281 -2964 260 @
-1263 -2462 264 @
-344 -2750 132 @
80 -3211 226 @
1363 -2673 122 @
1980 -2936 264 @
-1282 -2683 264 @
-1268 -2874 264 @
-3928 -2504 38 "Forward Spawn"
-3973 -2122 32 @
-4225 -2118 32 @
-1415 -3457 100 "Grate"
-521 1522 631 "North Hills"
127 2189 548 @
