/////////////////////////////////////////////////////////
// Map name       1944 Nordwind                        //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-611 2475 80 "Allied Spawn"
-619 2771 80 @
-908 2754 80 @
-915 2462 80 @
-189 1852 72 "Allied Spawn Path"
-29 569 72 @
192 276 72 @
-263 530 72 @
-508 770 74 @
1462 -3423 64 "Axis Spawn"
1667 -3660 320 @
1240 -3703 64 @
1477 -3286 69 "Axis Spawn Road"
1906 -3203 108 @
2331 -2862 72 @
2748 -2414 72 @
3146 -1940 72 @
3132 -1594 72 @
3316 -1690 73 @
3203 -1141 72 @
3259 -1959 96 "Barn"
3406 -2208 96 @
3541 -1893 96 @
3903 1919 368 "Command Post"
3793 1924 352 "Command Post Hill"
3641 1989 347 @
3517 1580 346 @
3432 1116 345 @
3436 777 320 @
3801 627 329 @
4043 556 348 @
3187 -755 72 "Crossroads"
3808 334 352 "Fuel Tanks Hut"
4042 119 352 @
4144 451 351 @
-2069 -1883 248 "Gold Bars"
3405 -2348 96 "Health and Ammo Cabinets"
21 269 80 @
-1832 -1358 256 "Library"
-1651 -1365 256 @
-1481 -1358 256 @
-1261 -1359 256 @
-1806 -1824 256 @
-2138 -903 96 @
-1945 -1344 96 @
-1665 -1438 96 @
-1484 -1222 248 "Library Balcony"
-1656 -1239 248 @
-1873 -1217 256 @
-1914 -1829 256 "Library Office"
-2116 -1729 256 @
-1933 -1362 256 @
-1661 -1320 96 "Library Terrace"
-1660 -975 96 @
-1255 -979 96 @
-1276 -1233 96 @
-1477 -1221 96 @
-1913 -1227 96 @
-1998 -957 96 @
3400 438 320 "Near Fuel Tanks"
3816 419 336 @
185 2692 72 "Outside Allied Spawn"
-519 2762 86 @
-605 2855 82 @
-910 2864 98 @
-1007 2763 99 @
-1002 2455 72 @
-931 2386 73 @
-607 2377 65 @
-519 2461 72 @
-235 1985 79 @
2597 1843 107 "Outside Tank Garage"
2611 1256 76 @
3060 1264 72 @
3144 1803 80 @
-1098 -381 72 "Outside Truckyard"
-1096 -661 72 @
-876 -662 72 @
-1085 -96 72 @
-1221 72 133 @
-1232 721 72 @
-346 339 72 @
-471 -470 72 @
-755 546 72 @
-196 11 72 @
-102 -364 72 @
349 2686 72 "Path to Tank Garage"
2473 1992 111 @
2474 2377 289 @
-1125 -981 96 "Side Entrance"
-883 -778 96 @
-1112 -775 96 @
-184 133 80 "Supplies Hut"
-252 376 80 @
2630 1988 64 "Tank Garage"
2626 2745 160 @
3108 2749 160 @
3517 2588 160 @
3517 1981 160 @
2633 2072 352 @
3487 2025 352 @
2642 2469 320 @
2662 2437 160 @
3110 2005 64 @
2722 981 72 "Tank Road"
3133 1040 72 @
3284 658 72 @
3233 374 72 @
3194 65 72 @
3551 -115 78 @
3499 -435 72 @
3207 -527 72 @
229 -355 72 "Truck Barrier"
-1665 -853 81 "Truckyard"
-1254 -850 72 @
-1256 -422 72 @
-1269 -108 74 @
-2134 -799 96 @
-2002 -837 72 @
3699 -2505 348 "Upper Axis Spawn Path"
3639 -3135 347 @
3012 -3243 352 @
2505 -3354 344 @
1823 -3660 322 @
3695 -2352 352 "Upper Barn"
4009 -1844 352 @
3980 -55 355 "Upper Barn Path"
3970 -444 353 @
3957 -806 350 @
3971 -1162 353 @
4025 -1738 366 @
3713 -1662 344 @
723 -862 192 "Warehouse"
466 -794 192 @
763 -1133 208 @
495 -1671 224 @
-31 -1550 224 @
-349 -842 224 @
-475 -598 384 @
-488 -446 376 "Warehouse Balcony"
870 -861 192 "Warehouse Door"
2734 -766 72 "Warehouse Road"
2097 -708 72 @
1115 -852 158 @
957 -597 72 @
704 -367 72 @
