/////////////////////////////////////////////////////////
// Map name       1944 Overlord                        //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-1808 2605 104 "Allied Lander 1"
-1810 3305 104 @
1150 2155 104 "Allied Lander 2"
1154 2865 104 @
3224 12 536 "Allied Transmitter"
1150 1855 157 "Assault Beach"
1497 1235 285 @
516 48 473 @
1026 -314 684 @
1731 -325 710 @
10 -304 682 @
-343 -308 688 @
-797 -308 688 @
-1450 -183 735 @
-1120 -27 651 @
-2190 153 944 @
-1822 2284 156 @
-2358 2432 189 @
-3071 2216 342 @
-3797 2127 394 @
-1280 2093 142 @
-474 1885 393 @
238 1854 529 @
689 1791 182 @
-3560 -1072 704 "Axis Barracks"
-3378 -1309 704 @
-68 -755 704 "Axis Bunker Spawn"
-425 -737 704 @
-1129 -403 693 "Axis Bunker Wall"
-4817 1455 838 "Axis Command Post"
-4454 -212 768 "Axis Command Post Area"
-4178 -138 688 @
-4788 1338 832 @
-4369 -203 768 @
-3120 -2639 392 "Axis Documents 1"
-4776 -2219 714 "Axis Documents 2"
1145 -546 688 "Axis Generator"
1151 -1109 688 @
1632 -1104 706 @
1662 -464 688 @
-3950 -2257 672 "Axis Library"
-4260 -1982 736 @
-4823 -2013 722 @
-4623 -2217 736 @
-3794 -1973 736 @
-3911 -1994 736 @
-4512 -2002 736 @
-4652 -1998 736 @
-3590 -2598 464 "Axis Library Basement"
-3386 -2303 384 @
-3733 -2298 384 @
-3114 -2325 384 @
-4344 -1778 576 "Axis Library Cellar"
-3987 -2071 576 @
-3525 -2381 576 @
-3788 -1866 704 "Axis Library Garden"
-3785 -1562 704 @
-3379 -1875 712 @
-3395 -1956 728 "Axis Library Rear"
-3354 -2287 704 @
-3396 -2105 704 @
-3169 -2651 704 "Axis Library Rear Balcony"
-3230 -2304 704 @
-3241 -1951 704 @
-3237 -1759 736 "Axis Library Rear Door"
-4246 -1870 720 "Axis Library Terrace"
-3881 -1865 712 @
-3894 -1587 712 @
-4172 -1594 712 @
-4560 -1872 712 @
-4534 -1579 712 @
-4332 -1756 712 @
-4700 -692 768 "Axis Reserve Spawn"
-4451 -319 768 @
-2968 -2437 384 "Blast Door"
291 -1042 704 "Forward Bunker"
-59 -877 704 @
-410 -934 704 @
44 -876 864 @
-268 -598 864 @
-1228 -956 692 "Forward Bunker Courtyard"
-530 -934 688 @
-571 -1129 692 @
-883 -669 696 @
494 -569 684 "Forward Bunker Doors"
363 -1060 686 "Forward Bunker Entrance"
691 -918 688 @
1033 -532 688 @
48 -542 848 "Forward Bunker MG Nest"
1386 -1552 696 "Health and Ammo Cabinets"
1516 2146 64 "Ocean"
1486 2877 33 @
1141 3022 43 @
841 2869 52 @
845 2189 42 @
269 2388 36 @
-485 2472 34 @
-1103 2551 44 @
-1462 2640 50 @
-1479 3306 49 @
-1817 3484 41 @
-2138 3265 40 @
-2122 2664 39 @
-2719 2865 64 @
-3328 2704 72 @
-3733 2476 64 @
-3557 -976 688 "Outside Axis Library"
-3937 -1482 688 @
-4214 -1486 704 @
-4351 -1664 576 @
-4536 -1468 688 @
-4685 -1602 692 @
-4678 -1876 700 @
-4861 -1874 717 @
-4707 -811 768 @
-4324 -330 688 @
-3922 -385 688 @
4801 -1975 672 "Outside South-East Barn"
4766 -2428 666 @
4558 -1628 688 @
4250 -1631 688 @
4517 -1195 680 @
4670 -864 376 @
1234 -1303 688 "Service Area"
499 -1352 659 @
-573 -1257 704 @
2558 -1476 672 "Service Corridor"
2536 -1728 672 @
1812 -1733 704 @
1448 -1728 696 @
1348 -1311 696 @
-982 -672 696 "Smaller Forward Bunker"
-1261 -606 696 @
4249 -2214 704 "South-East Barn"
4256 -1746 832 @
4552 -1764 704 @
4670 -1966 704 @
4280 -1770 704 @
4244 -2321 704 "South-East Barn Stairs"
4676 -2417 592 @
4177 -2491 432 @
-2746 -2440 376 "Tank Road"
-2229 -2432 376 @
-1821 -2432 376 @
-1419 -2450 376 @
-991 -2545 376 @
-546 -2556 376 @
-77 -2554 376 @
396 -2551 376 @
887 -2526 376 @
1278 -2447 384 @
1716 -2438 384 @
2190 -2426 384 @
2631 -2414 392 @
3115 -2369 394 @
519 -1571 487 "Tank Road Access"
904 -2009 384 @
-49 -1866 376 @
-1443 -1813 381 "Tank Road Fields"
-1990 -1849 401 @
1850 -2519 704 "Tank Road Overlook"
1804 -1875 704 @
3612 68 536 "Transmitter Area"
3316 -301 376 @
3266 42 384 @
4509 -740 376 @
3987 -1195 380 @
3803 -2051 376 @
3073 -1728 376 @
3242 -1172 376 @
-3289 -1316 692 "Upper Library Path"
-3065 -1496 692 @
-2013 -1384 696 @
-2652 -1466 675 @
-1449 -961 692 @
2828 -313 683 "Upper Transmitter Path"
2806 -872 688 @
2564 -1363 690 @
2873 -1344 661 @
