/////////////////////////////////////////////////////////
// Map name       1944 Siegfried                       //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-2061 2689 704 "Allied Base Tower"
3 1819 414 "Allied Bridge"
0 1336 416 @
-3 790 416 @
272 2245 416 "Allied Bridge Hut"
225 2504 416 @
417 2114 416 "Allied Bridge MG42"
-3364 1526 532 "Allied Documents"
-3325 1794 384 "Allied Grate"
-4055 3015 512 "Allied Spawn"
-4052 3258 512 @
-3659 3261 512 @
-3658 3016 512 @
60 2180 392 "Allied Town"
-453 2268 400 @
216 2590 410 @
-1340 2611 394 @
-1886 2685 390 @
-2336 2375 388 @
-3647 2723 528 @
-4022 2893 512 @
-3639 2904 512 @
-3534 3005 512 @
-3530 3290 512 @
-3633 3385 512 @
-4079 3378 512 @
-3686 1350 384 "Allied Wall"
-11 -1217 416 "Axis Bridge"
-2 -1609 416 @
-1169 -2048 384 "Axis Bridge Bunker"
-790 -2357 384 @
2132 -2715 565 "Axis Documents"
1506 -2171 416 "Axis Grate"
-1407 -1995 384 "Axis MG42"
3462 -3678 416 "Axis Spawn"
3466 -3269 416 @
3705 -3270 416 @
3702 -3670 416 @
3348 -3700 408 "Axis Town"
3354 -3253 408 @
3444 -3150 408 @
3718 -3137 408 @
3838 -3253 408 @
3815 -3643 408 @
2851 -2882 416 @
1074 -2462 408 @
442 -2241 400 @
-56 -2274 404 @
-412 -2609 393 @
-798 -2458 383 @
2562 -2310 416 "Axis Wall"
-1 270 652 "Command Post"
2225 -1015 70 "Eastern Fields"
2487 268 89 @
2487 1348 217 @
3307 -872 155 @
353 -90 640 "Fortress"
180 293 640 @
-196 312 640 @
-6 264 448 @
-4 -82 640 @
-350 -80 640 @
-207 62 448 @
-6 -170 448 @
187 63 448 @
0 601 416 "Fortress Allied Entrance"
438 -893 480 "Fortress Axis Entrance"
-2 -905 480 @
-443 -896 480 @
-1223 0 160 "Fortress Basement"
-151 1 160 @
1201 2 160 @
158 2 160 @
0 -84 320 @
351 461 408 "Fortress East Courtyard"
305 57 448 @
290 -225 408 @
671 339 464 @
813 -141 393 @
612 -607 480 @
829 -609 480 @
357 -203 624 "Fortress East Wall"
803 -601 624 @
810 -131 624 @
794 343 624 @
537 -610 632 @
797 448 624 "Fortress NE Tower"
700 706 624 @
670 447 480 @
-792 442 624 "Fortress NW Tower"
-702 712 624 @
-675 450 480 @
706 -1086 640 "Fortress SE Tower"
795 -710 640 @
609 -706 480 @
552 -900 480 @
816 -712 480 @
-548 -899 480 "Fortress SW Tower"
-607 -696 480 @
-705 -1101 640 @
-802 -708 640 @
-823 -726 480 @
-368 486 409 "Fortress West Courtyard"
-666 326 448 @
-823 -146 408 @
-316 64 448 @
-609 -598 480 @
-811 -601 480 @
-806 330 624 "Fortress West Wall"
-806 -148 624 @
-795 -594 624 @
-352 -196 624 @
-553 -578 624 @
-452 -2421 384 "Health and Ammo Cabinets"
-1455 2397 384 @
-2233 2368 384 "Lower Allied Base"
-1989 2690 384 @
-1986 1796 384 @
-2208 1550 384 @
-2830 1791 384 @
-3630 1913 384 @
-3841 1390 384 @
2489 -2802 416 "Lower Axis Base"
2742 -2874 416 @
2568 -2542 416 @
2083 -2917 416 @
2215 -2702 416 @
1859 -2178 416 @
1163 -2173 416 @
957 -2460 416 @
-3456 1120 364 "Outside Allied Town"
-3119 1426 246 @
-2237 1423 190 @
-1740 1734 302 @
-644 2094 382 @
405 1992 373 @
2571 -2010 385 "Outside Axis Town"
3437 -1965 373 @
1754 -1990 378 @
574 -1976 371 @
2106 -2002 376 @
-1391 -1864 346 @
-383 -2103 391 @
-1122 -1832 344 @
308 -1698 287 @
-12 -1332 77 "Outside The Fortress"
750 -1246 183 @
-769 -1209 64 @
-964 -1035 64 @
-972 -469 378 @
-1347 7 147 @
-1332 -332 285 @
-1204 9 364 @
-923 11 448 @
-953 423 388 @
-743 821 347 @
-251 823 385 @
-2 1278 64 @
692 908 79 @
958 619 360 @
1333 6 144 @
1202 -8 364 @
948 -18 448 @
950 254 376 @
957 -280 382 @
1295 -343 303 @
960 -720 337 @
959 -969 64 @
-3835 2180 544 "Upper Allied Base"
-3652 2610 544 @
-3122 2089 544 @
-3149 1667 544 @
-3345 1881 544 @
-3582 1697 544 @
1996 -2901 576 "Upper Axis Base"
2299 -2774 576 @
2159 -2812 576 @
2053 -2561 576 @
2078 -2109 576 @
2590 -2224 576 @
2566 -2680 576 @
570 -2211 576 @
885 -2479 576 @
-2032 -1187 66 "Western Fields"
-2303 -155 173 @
-2753 455 152 @
-3483 78 187 @
