/////////////////////////////////////////////////////////
// Map name       2 Hide CAL                           //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
2309 -4617 68 "Allied Town"
1979 -4736 64 @
1842 -4564 64 @
1583 -4541 64 @
2004 -4399 64 @
1115 -4312 65 @
-3744 183 64 "Axis Farm"
-4201 181 64 @
-4376 596 64 @
-2704 415 64 @
-2982 619 149 @
-3062 233 64 @
-2795 232 64 @
-3281 174 64 @
-3431 371 64 @
-2329 -152 108 @
-2582 -654 90 @
-2859 -641 64 @
-3049 -386 64 @
-3017 -155 64 @
-2792 -84 64 @
-3641 -180 64 @
-3660 -708 64 @
-3264 -1031 64 @
-3317 -707 64 @
-3358 -1340 64 @
-3687 -1344 109 @
-2305 -1329 64 @
-2716 -1040 64 @
-3639 -1732 224 @
-3452 -1746 198 @
-2495 -1588 67 @
-3072 402 64 "Axis Farm Generators"
-2859 419 64 @
-3276 418 67 @
-1991 -1475 64 "Axis Farm Road"
-1305 -1497 64 @
-878 -1341 121 @
-252 -718 258 @
77 758 68 @
-196 760 121 @
-1688 -1591 80 @
-2743 -382 64 "Axis Farm Water Pump"
-2666 -232 64 @
-2882 -307 64 @
-2733 -975 396 "Axis Farm Water Tank"
-2748 -710 396 @
-3075 147 438 "Axis Gun Spawn"
-3073 -54 438 @
-2610 -62 438 @
-2609 191 438 @
-3193 -24 429 "Axis Gun Spawn Corridor"
-3639 -6 329 @
2679 208 64 "Base"
2574 41 64 @
2417 248 68 @
2540 370 64 @
2517 644 64 @
2658 494 64 @
2006 1902 415 @
2016 2309 396 @
2221 2089 401 @
3129 1084 64 @
3556 1065 64 @
3347 862 64 @
3252 -87 72 @
2913 -230 64 @
3040 -69 64 @
2701 -272 65 @
2326 -353 64 @
2545 -156 64 @
3187 388 68 @
3701 1062 90 @
3194 984 64 @
2694 1696 379 @
2992 1836 679 "Base Hills"
2803 2318 637 @
3629 1360 72 "Base North MG Tower"
3337 979 64 "Base North-East Gate"
2101 2110 401 "Base North-West Gate"
2256 -364 350 "Base South MG Tower"
3076 -164 64 "Base South-East Gate"
2538 -269 64 "Base South-West Gate"
2568 210 64 "Base Supply Cabinets"
3280 401 -59 "Base Tunnel"
3268 1061 -59 @
3622 1061 -59 @
-3401 -1063 428 "Big Gun"
-3420 -837 320 @
-3846 -820 320 @
-3933 -1061 320 @
-3604 -1239 353 @
-4135 -99 320 "Big Gun Ammo Room"
-3790 8 324 @
-3836 -707 320 @
-4048 -589 320 @
-4197 -741 320 @
-4161 -351 320 @
-3907 -852 64 "Big Gun Garage"
-3783 -839 64 @
-3540 -804 64 @
-3382 -1024 64 @
-3508 -1177 64 @
-3903 -1253 128 @
-4049 56 320 "Big Gun MG"
-3385 -1193 444 "Big Gun MG42"
-4167 31 64 "Big Gun Planning Room"
-3782 34 112 @
-3783 -185 64 @
-3788 -690 64 @
-3992 -689 64 @
-4167 -295 80 @
-847 -1621 120 "Cave"
-2504 -1848 107 @
-1230 -1978 120 @
-1802 -1865 120 @
573 2326 64 "Command Post"
754 2278 64 "Command Post Lobby"
810 2738 64 @
575 2749 64 @
336 2712 64 @
378 2264 64 @
581 2442 64 @
2504 497 72 "Detonator"
3762 -3280 86 "Guardhouse Path"
4210 -2682 401 @
4221 -2047 620 @
4019 -1826 623 @
4015 -1540 509 @
4180 -1105 472 @
3733 -893 404 @
3257 -387 86 @
3356 -176 91 @
3902 -1989 696 @
4438 -2624 805 "Guardhouse Path Tower"
3836 -1333 397 "High Guardhouse"
3774 -1115 566 @
-4043 -711 320 "Key Code Lock"
667 3899 100 "Key Codes"
1449 -1798 673 "Middle Bunker Area"
1268 -1777 675 @
842 -2000 679 @
176 -2262 496 @
123 -2089 576 @
541 -2011 636 @
1969 -1590 300 "Middle Bunker Hill"
1500 -1609 679 @
1342 -1361 694 @
1595 -1781 647 @
1280 -1611 680 "Middle Bunker MG Nest"
681 -2010 862 "Middle Bunker Tower"
-88 -894 580 "Middle Bunker Tunnel"
-49 -2090 572 @
-1293 -4314 188 "Mud Puddle"
-1142 -4487 181 @
-793 -4504 119 @
-544 -4287 216 @
-816 -4215 174 @
-1058 -3929 149 @
-1044 -4139 64 @
-1101 -4339 85 @
-414 -4490 366 "Mud Puddle Footbridge"
-809 -4496 344 @
-1137 -4490 336 @
-1700 -4496 288 @
-1478 -4501 302 @
-1280 -3794 317 "Mud Puddle Pipeline"
-1088 -3128 398 @
-630 -2700 398 @
-119 -2385 392 @
-1015 -4137 216 "Mud Puddle Water Pump"
-1035 -4272 149 @
-2761 3118 677 "North Ruins"
-2763 3662 685 @
-3279 3404 688 @
-3378 2696 679 @
-3962 3260 684 "North-West Barracks"
-3873 3366 684 @
-4280 2992 684 @
-4504 952 64 "North-West Path"
-3807 2787 666 @
-4287 2829 582 @
-4523 3018 673 @
1855 2099 399 "Path To Town Cemetary"
1826 2331 440 @
1870 1883 427 @
320 1582 64 @
299 3587 756 "Railroad Balcony"
305 3744 744 @
296 3816 520 "Railroad Balcony Ladder"
304 3816 192 @
3613 2361 72 "Railroad Tracks"
3626 1399 72 @
3395 1216 64 @
3644 1235 64 @
3805 1364 66 @
3603 2575 72 "Railroad Tunnel"
2840 3720 72 @
1139 3745 408 "Schutzschild"
1129 3928 408 @
1155 3393 408 @
173 -4257 704 "South Castle"
451 -4759 632 @
340 -4624 552 @
74 -4501 416 @
-65 -4495 416 @
2504 -480 64 "South From Base"
2715 -405 74 @
2889 -338 78 @
2292 -497 64 @
2485 -1745 116 @
2291 -1603 68 @
3787 -1986 696 "South-East Bunker"
3149 -2500 448 @
2843 -2521 448 "South-East Bunker Gate"
2880 -2732 371 "South-East Bunker Path"
3128 -3226 124 @
2342 -4458 64 @
2147 -4393 76 @
2709 -2494 448 "South-East Bunker Ramps"
2824 -2383 414 @
2495 -2009 193 @
2567 -2514 805 "South-East Bunker Tower"
-1940 -4413 264 "South-West Path"
-2627 -4035 397 @
-3044 -3467 372 @
-3366 -2726 259 @
-3531 -2106 283 @
-1546 -4322 263 @
-314 2983 602 "Top Of Town Road Bridge"
-58 2988 602 @
-131 1626 64 "Town Cemetary"
-352 1624 138 @
163 1591 64 @
148 929 64 @
-240 927 101 @
-604 3315 718 "Town Flag Rope"
-636 3483 740 @
-582 3158 742 @
-508 3650 67 "Town Northern Building"
-927 3723 64 @
-683 3841 416 @
-704 4214 592 @
-640 3610 732 @
-996 3643 732 @
182 3577 768 @
133 3417 768 @
2614 3734 72 "Town Railroad"
1744 3742 72 @
1527 3627 64 @
1481 4058 94 @
1557 3899 64 @
1876 4065 64 @
-187 3035 64 "Town Road"
-828 3294 64 @
-1400 3261 177 @
-1847 3210 397 @
-2608 3119 654 @
-508 3484 66 @
-140 1743 64 @
112 1737 64 @
269 1875 64 @
-327 1745 95 @
148 2729 64 @
-47 2869 64 @
-288 2823 64 @
154 2871 64 "Town Road Arch"
311 3288 64 @
48 3028 736 "Town Road Balcony"
98 3278 752 @
-29 2992 416 "Town Road Bridge"
-325 2980 416 @
-775 3556 452 "Town Road Roofs"
-509 3563 262 @
-102 3395 580 @
-460 2826 76 "Town Southern Building"
-599 2375 76 @
-443 2979 416 @
-587 2369 592 @
-399 2947 748 @
-586 3041 732 @
-746 2894 732 @
-522 2770 768 @
867 4034 112 "Town Spawn"
1000 4024 112 @
1315 4030 112 @
-560 2902 732 "Town Supply Cabinets"
598 3765 132 "Train"
725 3715 132 @
867 3746 116 @
1022 3745 116 @
1282 3736 116 @
1126 3729 116 @
1451 3747 120 @
826 3891 112 "Train Bay"
1031 3899 112 @
1243 3883 112 @
1405 3893 112 @
1426 4053 304 "Train Bay Overlook"
1821 4032 304 @
808 3939 359 "Train Bay Roof"
1034 3939 360 @
1304 3938 359 @
776 3543 71 "Train Dynamite"
1327 3595 64 "Train Station Square"
1110 3642 64 @
978 3611 64 @
658 3618 64 @
441 3751 64 @
454 3322 64 @
573 2901 64 @
403 2861 64 @
749 2853 64 @
799 3366 64 @
1541 -4720 64 "Truck Spawn"
1862 -4736 64 @
1661 -5477 80 @
