/////////////////////////////////////////////////////////
// Map name       2vs2                                 //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 15                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
352 1734 737 "2vs2 Arena"
9 1737 740 @
-366 1730 716 @
445 1644 693 @
467 1324 638 @
320 1224 618 @
-16 1223 612 @
-342 1227 624 @
-450 1334 645 @
-465 1640 703 @
-326 -1508 674 @
-215 -1603 720 @
162 -1615 663 @
489 -1595 691 @
569 -1497 639 @
578 -1211 621 @
454 -1101 621 @
138 -1090 616 @
-218 -1082 607 @
-324 -1177 615 @
-198 10 589 @
-187 349 578 @
586 191 871 @
439 50 798 @
461 327 776 @
-832 332 776 @
-843 68 755 @
-993 197 881 @
341 1320 728 "Allied Bunker"
-347 1325 728 @
-363 1636 728 @
-9 1307 728 @
344 1621 728 @
26 1621 728 @
469 -1183 728 "Axis Bunker"
116 -1176 728 @
-224 -1173 728 @
-224 -1514 728 @
148 -1475 728 @
483 -1498 728 @
429 188 944 "Wall"
-186 192 864 @
-817 191 896 @
-186 192 576 "Wall Entrance"
