/////////////////////////////////////////////////////////
// Map name       6Flags                               //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    03-05-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
4430 2429 401 "Allied Base"
4727 2112 406 @
5059 2372 358 @
4724 2767 360 @
3384 3358 364 @
4440 4254 335 @
3758 3917 400 @
4746 2419 496 "Allied Base Flag"
10735 2723 571 "Axis Base"
10338 2425 582 @
11081 2389 556 @
10722 2015 556 @
11781 3515 541 @
12346 1757 567 @
10709 2408 656 "Axis Base Flag"
8458 9855 748 "Central Hills"
8478 9275 769 @
8700 8493 765 @
8491 10761 662 @
5233 9330 64 "Central Valleys"
7509 9559 64 @
7577 8137 64 @
8407 7206 64 @
9399 8198 67 @
9378 9489 64 @
11721 8670 64 @
6252 10214 75 @
7148 5878 430 @
10470 6442 325 @
13735 10400 67 "Clock Tower"
14144 10394 73 @
13770 10697 64 "Clock Tower Flag"
5791 12205 730 "Cottage"
5840 11847 720 @
5897 11822 1011 @
6108 11848 720 @
4754 13838 365 "Cottage Area"
5425 13793 428 @
5808 14050 418 @
5710 13342 405 @
6103 13654 439 @
5799 12417 683 @
5560 12203 690 @
5848 11664 636 @
6203 11845 632 @
6976 14071 419 @
7191 12751 521 @
7275 11723 552 @
5424 11896 737 @
5733 13690 421 "Cottage Flag"
5848 11664 760 "Cottage MG42"
2313 10252 114 "Guard Post"
2699 10555 64 @
2314 10581 64 "Guard Post Flag"
9655 11934 576 "House"
9405 11935 576 @
9448 12496 576 @
9632 12109 704 @
9847 11933 528 "House Area"
9610 11634 457 @
9405 11935 401 @
9458 12596 564 @
9009 12497 456 @
10013 12472 360 @
10264 13771 445 @
10643 13980 443 @
10912 13597 337 @
10555 13298 372 @
9148 14354 594 @
8679 11820 419 @
10556 13658 434 "House Flag"
9655 11934 704 "House MG42"
13784 11086 69 "North East Valley"
14154 10688 78 @
12185 13584 72 @
8924 14583 781 "North Hill Path"
7275 14310 490 @
8075 12788 404 "North Pond"
4272 13703 104 "North West Valley"
2415 11185 64 @
8459 9565 976 "Sniper Tower"
11926 3661 486 "South East Valley"
12596 1747 502 @
13285 7401 64 @
3199 3358 299 "South West Valley"
3221 2387 126 @
4462 4459 264 @
3384 4286 265 @
3636 7987 64 @
6026 6835 430 @
