/////////////////////////////////////////////////////////
// Map name       Stargate Center 1945                 //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1796 -3794 512 "Allied Bunker"
978 -3723 528 @
2328 -3365 384 @
1390 -3835 512 @
1788 -3357 704 "Allied Spawn"
1533 -3528 704 @
2057 -3470 704 @
-1515 2618 224 "Axis Spawn"
-1735 2214 224 @
-2194 2626 224 @
-2040 2298 224 @
-2022 1730 544 "Bank Doors"
-1655 1741 544 @
-1863 1810 526 @
2345 -2003 474 "Behind The Hill"
1980 -1682 512 @
2274 -1434 530 @
2291 -992 384 @
2404 -597 482 @
2192 -337 499 @
-2209 2273 64 "Central Corridor"
-1856 2293 64 @
-1515 2276 64 @
221 -114 560 "Command Post"
818 -908 528 "Depogate"
-1426 3152 64 "East Corridor Stairs"
-1428 3464 256 @
-1425 3332 192 @
-1588 1953 68 "East Service Elevator"
-1664 2087 359 @
-1770 1816 422 @
-1529 2786 464 "East Ventilation Shaft"
-1074 2770 416 @
-1087 4004 64 @
-1097 2171 392 @
-2148 3511 256 "Left Door Switch"
-2402 3957 64 "Left Generator Room"
-2307 4409 64 @
-2262 3742 64 "Left Security Door"
-2785 1454 484 "Loading Bay"
-2937 1749 544 @
-2292 1696 544 @
-2536 1313 484 @
-1851 1373 484 @
-1562 1470 496 @
-1313 1724 544 @
-763 1740 544 @
-834 1471 491 @
-1210 1325 484 @
-956 1311 484 "Loading Bay East MG"
-2794 1245 484 "Loading Bay West MG"
-1180 3750 64 "Lower East Corridor"
-1279 3856 64 @
-1247 3544 64 @
-1293 3158 64 @
-1239 2794 64 @
-2405 3851 64 "Lower West Corridor"
-2531 3760 64 @
-2467 3430 64 @
-2405 3160 64 @
-2464 2795 64 @
-1666 2177 392 "Main Ventilation Shaft"
-1158 2173 392 @
-2048 2167 392 @
-2557 2179 392 @
2466 -3364 361 "Mining Cave"
2631 -2426 449 @
2623 -2287 456 "Mining Cave Access"
2613 -2100 482 @
-1852 3811 58 "Naquada"
-1042 3688 224 "North East Stairwell"
-1081 3755 64 @
1284 396 528 "North Tunnel"
1109 739 520 @
-2662 3693 224 "North West Stairwell"
-2625 3762 64 @
897 -1403 608 "Outside Tank Depot"
1059 -930 528 @
872 -376 544 @
1282 238 528 @
1296 -2046 528 @
1571 -147 525 @
1520 -720 519 @
1521 -1331 528 @
1623 -1688 524 @
-1563 3502 256 "Right Door Switch"
-1282 3961 64 "Right Generator Room"
-1394 4424 64 @
-1174 4007 16 @
-1449 3738 64 "Right Security Door"
-1836 -559 528 "Service Tunnel"
-697 -908 528 @
1002 739 504 "Side Access Cave"
-380 120 546 @
-713 728 425 @
-898 738 484 "Side Access Cave Boulder"
-580 -1240 640 "South Base MG"
-1198 1991 64 "South East Lobby"
-1435 1952 64 @
-1397 2265 64 @
-1254 2658 64 @
-1411 2616 224 @
-1188 2631 224 @
-766 2179 224 "South East Room"
-1091 2268 270 @
-1056 2652 224 @
-1080 1990 64 "South East Stairwell"
-771 2088 224 @
-772 1856 544 @
1303 -2191 528 "South Tunnel"
904 -3614 528 @
-2465 2632 64 "South West Lobby"
-2510 1978 64 @
-2279 1953 64 @
-2312 2269 64 @
-2281 2620 224 @
-2517 2631 224 @
-2659 2650 224 "South West Room"
-2632 2267 274 @
-2937 2179 224 @
-2626 1982 64 "South West Stairwell"
-2948 2085 224 @
-2940 1868 544 @
-1864 4256 156 "Stargate"
-1115 1050 496 "Stargate Access Cave"
-1177 765 516 @
-1461 312 521 @
-1880 361 514 @
-2457 467 528 @
-1717 3521 256 "Stargate Controls Room"
-2013 3515 256 @
-2161 3346 256 @
-1555 3343 256 @
-1851 3167 256 @
-1857 3065 256 "Stargate Offices"
-2139 2781 258 @
-1558 2790 258 @
-2106 3729 64 "Stargate Room"
-1845 3634 64 @
-1613 3750 64 @
-1857 3957 92 @
2150 -992 384 "Supplies Bunker"
2117 -840 384 @
2111 -827 860 "Supplies Bunker Hilltop"
1926 -1300 904 @
1810 -556 886 @
1695 -737 877 @
2139 -1059 862 @
2117 -824 516 "Supplies Bunker Ladder"
2117 -824 771 @
-1852 2417 64 "Supplies Room"
-1785 -42 528 "Tank Barrier #1"
-532 -940 528 "Tank Depot"
-469 -1307 512 @
475 -897 528 @
149 -332 560 @
13 -82 560 @
359 -26 720 @
-335 -33 720 @
-400 -312 560 @
-388 -100 560 @
405 -164 530 @
759 -352 720 @
759 -912 720 @
768 -1400 720 @
-631 -910 784 @
-589 -646 640 @
-174 -409 516 @
413 -1421 768 @
257 -16 720 "Tank Depot Spawn"
156 -331 720 @
-127 -333 720 @
-225 -14 720 @
-385 -9 568 "Tank Depot Vent"
-2449 880 502 "Truck Barrier #1"
-1042 3590 224 "Upper East Corridor"
-1042 3201 224 @
-1041 2780 224 @
-2670 3590 224 "Upper West Corridor"
-2668 2777 224 @
-2667 3192 224 @
-2286 3469 256 "West Corridor Stairs"
-2295 3151 64 @
-2291 3315 176 @
-2148 1952 68 "West Service Elevator"
-1949 1816 384 @
-2051 2087 347 @
-2627 2174 392 "West Ventilation Shaft"
-2637 2790 416 @
-2196 2784 464 @
-2630 4007 64 @
