/////////////////////////////////////////////////////////
// Map name       Stonehenge                           //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1379 -1528 295 "Allied Cabinets"
211 -1928 424 "Allied Spawn"
205 -2158 424 @
652 -2189 424 @
617 -1910 424 @
358 -1806 592 @
-1922 2101 763 "Axis Cabinets"
-498 2610 672 "Axis Spawn"
-287 2615 672 @
-253 2971 680 @
-489 3006 672 @
-32 382 356 "Flag"
-1111 327 360 "Outside The Circle"
-1125 -410 382 @
-753 944 294 @
-424 1132 283 @
-58 1154 278 @
427 1030 271 @
752 744 283 @
916 447 290 @
966 100 283 @
888 -305 262 @
689 -660 270 @
335 -897 285 @
-162 -945 321 @
-704 -803 321 @
-1191 683 287 @
1586 -1045 366 @
1112 -1114 225 @
939 -1557 268 @
1195 -1902 355 @
758 -2200 424 @
764 -1931 427 @
657 -1804 424 @
213 -1798 424 @
103 -1922 424 @
106 -2174 424 @
-2138 1850 760 @
-1515 2374 744 @
-1612 1881 726 @
-603 2608 668 @
-517 2515 672 @
-276 2521 672 @
-169 2619 672 @
735 -249 275 "Stonehenge Circle"
573 -529 279 @
288 -705 296 @
-129 -762 326 @
-651 -660 318 @
-904 -322 358 @
-937 344 348 @
-679 808 324 @
-363 958 308 @
-79 996 305 @
360 852 314 @
599 672 317 @
747 400 310 @
807 70 282 @
-190 356 335 @
-17 555 311 @
156 395 316 @
2 182 343 @
