/////////////////////////////////////////////////////////
// Map name       Adlerhorst TE                        //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 27                //
// Last edited    12-10-2008                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
5822 4184 1828 "^1Allied Command Post"
-5357 -4511 1235 "^1Bunker Wall"
-3160 -6121 1248 "^1Door to the Stairs"
-5015 -6290 1224 "^1Elevator Controls"
-4756 -6402 1229 "^1Elevator Room Door"
-5637 -1543 1216 "^1Main Gate"
629 3948 2562 "^1Radio"
-4221 -6891 4058 "^1Secret War Documents"
-4439 -3238 1186 "^1Sewer Entrance"
-2169 451 1235 "^1Tank Barrier"
-5509 -6872 4069 "^3Adlerhorst"
-5215 -6919 4080 @
-4553 -7179 4080 @
-4559 -6892 4080 @
-4230 -7077 4068 @
-4861 -6866 4062 @
5357 -5037 1481 "^3Allied Compound"
5613 -5853 1508 @
7182 -1782 1424 @
5737 -2440 1443 @
4904 -4435 1426 @
-4573 -6725 4073 "^3Balcony"
-6843 3841 1554 "^3Barracks"
-7586 4193 1474 @
-8093 3476 1474 @
-6629 3844 1554 "^3Barracks Entrance"
-6242 3583 1554 @
-6246 4109 1554 @
-6253 3568 1848 "^3Barracks Entrance Roof"
-6263 4074 1848 @
-8092 3304 1474 "^3Barracks Stairwell"
-8091 3052 1128 @
1667 -505 1402 "^3Bridge"
2454 -468 1361 @
644 -489 1362 @
408 -312 1335 @
402 202 1312 "^3Bridge Bunker"
402 202 1464 "^3Bridge Bunker Roof"
-98 -407 1308 "^3Bridge Road"
-1323 376 1246 @
-2751 432 1233 @
-4097 499 1228 @
2860 -500 1353 @
4669 -705 1410 @
5736 -1806 1451 @
-32 319 1309 @
-5348 -4819 1248 "^3Bunker"
-6444 -4813 1248 @
-5737 -5586 1248 @
-5760 -4626 1248 @
-5333 -4661 1496 "^3Bunker Roof"
-5766 -4625 1506 @
-3647 -3545 1246 "^3Courtyard"
-5050 -4603 1238 @
-5074 -5075 1269 @
-5367 -4242 1235 @
-6008 -3524 1221 @
-6004 -2994 1221 @
-6032 -2140 1436 @
-5251 -2140 1436 @
-5637 -2169 1232 @
-4549 -4798 1238 @
-3912 -3993 1238 @
-3548 -4327 1266 @
-4295 -4366 1238 @
-3932 -4691 1271 @
-4146 -5075 1280 @
-6212 -4122 1388 @
-5763 -4448 1248 @
-4439 -3386 1238 @
-4610 -3226 1238 @
-4449 -3026 1238 @
-4166 -3759 1238 @
-4327 -3213 1498 @
-4325 -3230 1286 "^3Courtyard Hut"
-4334 -3388 1286 @
-4166 -3709 1286 @
-4231 -3222 1274 @
-883 5267 2816 "^3Crashed Plane"
-5545 405 1211 "^3Crossroads"
-4112 1269 1224 "^3Destroyed Hut"
7495 -1780 1392 "^3East Service Tunnel"
6112 -6468 1474 @
7194 -5587 1338 @
7894 -5391 1328 @
-3164 -6360 1248 "^3East Stairs"
-3160 -6208 1440 @
-3155 -6360 1824 @
-3155 -6360 2100 @
-3155 -6360 2400 @
-3157 -6360 2676 @
-3160 -6360 2976 @
-3160 -6577 3108 @
-2945 -6217 1248 @
-3201 -3898 1370 "^3East Stairs Corridor"
-2875 -4023 1370 @
-2872 -5550 1370 @
-2873 -5726 1362 "^3East Stairs Storage"
-3176 -5900 1248 @
-2947 -6112 1248 @
-3427 -6117 1248 @
-4550 -7005 4075 "^3Elevator"
-4550 -7005 3227 @
-4550 -7005 2189 @
-4550 -7005 1224 @
-4549 -6869 1224 "^3Elevator Entrance"
-4554 -6395 1224 "^3Elevator Tunnel"
-4541 -5100 1224 @
-4744 -6065 1229 @
-4550 -5130 1868 "^3Elevator Tunnel Roof"
-5640 -1677 1718 "^3Gate MG42"
-3900 -4351 1307 "^3Half-Track MG42"
7497 -5555 1338 "^3Health and Ammo Cabinets"
-6279 2180 1996 "^3Hunting Tower"
5822 4184 1703 "^3Hut"
5824 3955 1828 @
5826 3365 1672 @
5412 2203 1764 "^3Hut Path"
5136 687 1710 @
-6759 -1989 1248 "^3Main Gate Corridor"
-6293 -1787 1248 @
-5248 -1605 1678 "^3Main Gate Roof"
-6026 -1617 1678 @
-5247 -1965 1678 @
-6024 -1981 1678 @
-5654 -1999 1684 @
-6035 -1618 1248 "^3Main Gate Towers"
-6035 -1618 1430 @
-5248 -1605 1248 @
-5248 -1605 1430 @
-6036 -1967 1430 @
-5247 -1965 1433 @
-6757 -2759 1230 "^3Main Gate Warehouse"
-6758 -2107 1230 @
3709 4475 2113 "^3Mountain Path"
770 4174 2552 @
1200 4112 2505 @
458 4181 2591 @
-371 5099 2725 @
-1460 5379 2914 @
-3761 5838 1612 @
-1053 4631 2963 @
-2163 1160 1353 "^3Outside Destroyed Hut"
-2970 1238 1283 @
-4119 2029 1244 @
-6035 -1486 1232 "^3Outside Main Gate"
-5248 -1478 1232 @
-5654 -1170 1216 @
5837 4388 1700 "^3Outside The Hut"
5186 3930 1664 @
5819 3198 1664 @
6451 4168 1677 @
4522 4564 1685 @
5479 2710 1664 @
770 3987 2560 "^3Radio Station"
562 3670 2560 @
1086 4109 2740 "^3Radio Station Ladder"
1025 4104 2952 "^3Radio Station Roof"
764 4116 2952 @
-8088 2831 1128 "^3Railroad Tunnel"
-8005 -3261 1132 @
1667 -505 941 "^3River"
1494 478 946 @
1035 -3323 989 @
1215 -1599 919 @
1072 -2624 970 @
901 -3940 1218 "^3River Bank"
1898 -1561 1250 @
595 -1552 1281 @
551 -2483 1273 @
467 579 1388 @
-4314 -6725 3912 "^3Rock Steps"
-4602 -6424 3283 @
-4530 -5891 2204 @
-4229 -3230 1096 "^3Sewers"
-2173 -3234 1096 @
44 -3222 1097 @
-4610 -3235 1069 @
4883 -5041 1456 "^3Small Hut"
-3497 2962 2481 "^3Sniper Hill"
-7809 -3262 1230 "^3Station"
-7071 -3522 1230 @
-7074 -2993 1230 @
-6189 -3526 1230 "^3Station Entrance"
-6169 -2993 1230 @
-6920 -2999 1230 @
-6756 -3639 1230 @
-6948 -3525 1230 @
-6760 -2899 1230 @
-6189 -3526 1524 "^3Station Entrance Roof"
-6169 -2993 1524 @
-6574 -6725 3112 "^3Storage Room"
-5705 -6879 3112 @
-5509 -6872 3112 "^3Storage Room Ladder"
-5509 -6872 3954 @
-3158 -6722 3104 "^3Tanks Room"
-4180 -6870 3104 @
-4315 -6871 3104 "^3Tanks Room Corridor"
-4757 -6867 3104 @
-4861 -6866 3253 "^3Tanks Room Ladder"
-4861 -6866 3957 @
-3146 -3564 1296 "^3Truck Garage"
-3139 -3574 1616 "^3Truck Garage Roof"
5850 -6468 1513 "^3Tunnel"
5635 -6075 1508 @
5635 -8041 1508 @
-6652 -4816 1230 "^3Warehouse"
-6761 -3798 1230 @
-5338 1209 1248 "^3West Road"
-4799 5963 1441 @
-6037 3586 1552 @
-6023 4112 1552 @
-5661 2458 1476 @
-6279 2180 1424 @
-5312 6996 1440 "^3West Service Tunnel"
-7580 4435 1438 @
-7589 6990 1438 @
-6583 -6221 1248 "^3West Stairs"
-6583 -6221 1440 @
-6583 -6221 1824 @
-6583 -6221 2016 @
-6583 -6221 2400 @
-6583 -6221 2592 @
-6583 -6221 2976 @
-6574 -6593 3108 @
-5734 -5732 1248 "^3West Stairs Storage"
-6581 -6072 1248 @
-4834 7006 1416 "^3West Tunnel"
-4807 8769 1416 @
