/////////////////////////////////////////////////////////
// Map name       Adlernest                            //
// Locations by   Dersaidin                            //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 19                //
// Last edited    08-08-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-356 -2065 128 "^1Command Post"
-686 614 128 "^1Documents"
431 -1130 -248 "^1Door Controls"
-490 -3153 -63 "^1Transmitter"
2764 -1452 -55 "^2Allied Spawn"
3098 -1004 -55 @
2035 -237 -55 @
-1460 -72 112 "^2Axis Spawn"
-1513 -362 112 @
-1594 -682 112 @
-1065 -299 112 @
-78 -2691 128 "^2CP Spawn"
-593 -2682 128 @
12 -642 -121 "^3Abyss"
654 -603 -114 @
-423 -681 -270 @
-824 -989 -179 @
-779 -383 -231 @
-1465 455 38 @
-644 -191 0 @
-1479 7 62 @
-994 98 -273 @
-288 -668 -109 @
-1071 554 152 "^3Back Hall"
-1084 1002 112 @
-1084 265 112 @
-866 1500 112 "^3Back Room"
-714 1291 112 @
-494 1455 112 @
897 -1096 -295 "^3Basement"
887 -1718 -295 @
886 -2241 -295 @
245 -2141 -295 @
-317 -2131 -295 @
-363 -1505 -295 @
-363 -1086 -296 @
205 -1092 -295 @
109 -1544 -295 @
454 -1869 -295 @
630 -1424 -298 @
657 -1146 -295 @
-629 -1975 -111 "^3Basement Balcony"
-609 -1558 -113 @
-621 -1267 -111 @
262 -2397 -295 "^3Basement Door"
415 -3685 -95 "^3Blast Door Switch"
1091 -3173 -111 "^3Blast Doors"
414 -273 112 "^3Bridge"
423 -712 109 @
408 -999 112 @
1566 -1021 -55 "^3Courtyard"
1574 -400 -55 @
1505 366 -55 @
1455 979 -55 @
1887 -209 -55 @
1227 -705 -55 @
1431 -1170 -55 @
1176 -127 -55 "^3Courtyard Door"
0 129 0 "^3Docs Bottom"
277 148 -55 @
-554 913 128 "^3Docs Room"
-824 925 128 @
-63 -257 112 "^3Docs Top"
-348 -125 112 @
-327 271 112 @
0 501 112 @
-330 719 112 @
-638 119 112 @
-669 254 112 @
-200 1312 112 @
-385 1452 104 @
711 -2655 43 "^3Engine Room"
678 957 -55 "^3Generator"
1027 511 -55 @
276 949 -55 @
252 632 -55 @
88 1676 48 "^3Generator Stairs"
1846 953 -47 "^3Health and Ammo"
1229 -1077 -190 "^3Ladder"
-490 -1587 112 "^3Locked Door"
455 -3244 -111 "^3Main Ramp"
218 -2870 -170 @
241 -2636 -273 @
128 -3167 -111 @
2711 -3023 -55 "^3Main Road"
1655 -3239 -83 @
748 -2156 112 "^3Pipes"
714 -3607 -95 "^3Ramp Room"
207 -3586 -95 @
454 -3475 -95 @
725 -3309 390 "^3Roof"
738 -2403 412 @
717 -1438 376 @
-95 -1296 374 @
-1289 -1665 405 @
-1411 -670 390 @
-734 539 353 @
17 444 405 @
25 -4 397 @
787 185 400 @
761 905 412 @
384 -290 392 @
101 852 112 "^3Side Balcony"
1016 -300 -55 "^3Side Ramp"
1028 -708 90 @
2687 -2069 -47 "^3Tank"
2886 -2358 -55 @
1555 -2122 -227 "^3Tank Hill"
2097 -2114 -135 @
1624 -2739 -215 @
2072 -2656 -151 @
2767 -1593 -55 @
2812 -2595 -55 "^3Tank Hill MG"
-308 -3399 -111 "^3Transmitter Room"
-68 -3162 -111 @
-335 -2884 -111 @
-1060 -1650 -55 "^3Upper Basement"
-1155 -1343 -55 @
-1604 -1647 -55 @
-1628 -1106 -55 @
-1594 -682 -55 @
-1513 -362 -55 @
-1065 -299 -55 @
-991 -740 -55 @
1008 -700 -55 "^3Vent"
1411 -1535 -140 "^3Wall Breach"
-305 -1154 112 "^3Warehouse"
-310 -1593 112 @
-286 -2259 112 @
208 -2160 112 @
925 -1214 112 @
442 -1250 112 @
389 -1821 112 @
-58 -1917 112 @
