/////////////////////////////////////////////////////////
// Map name       Twin Towers                          //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 15                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-667 -1437 8 "Allied Bunker"
170 -1417 8 @
-35 -1589 8 @
186 -1816 8 @
283 -1639 152 @
-198 -1410 256 @
-703 -1410 256 @
-678 -1777 256 @
-523 -1605 256 @
-280 -1550 8 @
-666 -1469 504 "Allied MG42"
283 -1462 504 @
354 -1689 504 "Allied Roof"
64 -1404 504 @
-443 -1417 504 @
-712 -1673 504 @
-351 -1716 504 @
-191 233 8 "Allied Side"
-846 273 8 @
470 275 8 @
548 -1 8 @
305 -136 8 @
63 96 8 @
339 -1286 8 @
496 -1891 8 @
-663 -1298 8 @
-199 -1002 136 @
-872 -1874 8 @
-27 -1157 8 @
-529 278 8 @
157 283 8 @
-299 -1155 8 @
150 -1596 8 "Allied Supplies"
-689 -1605 256 @
337 65 17 "Allied Tower"
227 190 288 @
347 76 510 @
304 2456 8 "Axis Bunker"
-535 2462 8 @
-336 2633 8 @
-540 2849 8 @
-649 2645 184 @
357 2442 256 @
357 2860 256 @
157 2634 256 @
-189 2442 256 @
311 2496 504 "Axis MG42"
-642 2493 504 @
212 2835 504 "Axis Roof"
-641 2648 504 @
-372 2446 504 @
150 2450 504 @
303 2337 8 "Axis Side"
473 2915 8 @
-663 2316 8 @
-822 2918 8 @
-231 2121 264 @
440 778 8 @
-195 835 8 @
-832 775 8 @
-625 1177 8 @
-888 1028 8 @
-442 928 8 @
140 786 8 @
-534 771 8 @
-510 2630 8 "Axis Supplies"
327 2635 256 @
-685 969 17 "Axis Tower"
-557 846 288 @
-682 948 513 @
-185 677 72 "Bridge"
-186 362 72 @
-534 662 -89 "Moat"
-877 660 -83 @
-884 376 -72 @
-580 371 -67 @
-204 371 -67 @
129 385 -61 @
484 395 -61 @
481 673 -79 @
179 668 -79 @
-201 661 -79 @
