/////////////////////////////////////////////////////////
// Map name       Al Abbasi                            //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 17                //
// Last edited    02-07-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
2072 2738 4 "^1Axis Spawn"
2075 -148 0 "^3Al Abbasi"
761 1176 0 @
731 902 0 @
716 -188 0 @
1774 -163 0 @
731 1445 0 @
703 2550 0 @
1798 2549 0 @
2342 2541 0 @
3439 2544 0 @
3434 1413 0 @
3398 1176 0 @
3443 923 0 @
3453 -201 0 @
2316 -191 0 @
2517 1462 0 @
2365 1616 0 @
1635 849 0 @
1781 731 0 @
2385 734 0 @
2506 864 0 @
1622 1499 0 @
1745 1620 0 @
1339 1913 0 @
2803 442 0 @
2069 713 0 @
2069 1688 0 @
2324 200 0 @
1780 208 0 @
2375 2151 0 @
2076 2441 0 @
1717 2138 6 @
2599 1723 4 @
1541 652 23 @
553 1174 4 "^3Ammo Cabinets"
3599 1175 4 @
3555 2544 4 "^3East Hallway"
3582 1416 4 @
3582 921 4 @
3550 -199 4 @
2591 1693 445 "^3East Minaret"
2591 1693 820 @
2074 2145 8 "^3Flame"
2067 1172 208 "^3Health and Ammo"
1635 831 225 "^3Minaret Rope"
2507 1523 212 @
2067 1172 4 "^3Mosque"
2067 868 208 @
2067 868 4 @
2073 1480 208 @
2073 1480 4 @
1775 869 4 @
1775 869 224 @
2390 853 4 @
2390 853 208 @
2367 1476 4 @
2367 1476 212 @
1757 1503 4 @
1757 1503 208 @
2067 1172 785 "^3Mosque Roof"
2067 868 590 @
2073 1480 576 @
1775 869 384 @
2390 853 384 @
2367 1478 384 @
1757 1503 384 @
701 2666 4 "^3North Hallway"
1800 2692 4 @
2344 2696 4 @
3438 2654 4 @
1339 1913 616 "^3North Tower"
702 -306 4 "^3South Hallway"
1771 -326 4 @
3450 -300 4 @
2317 -315 4 @
2803 442 597 "^3South Tower"
2079 210 8 "^3Thunder"
546 901 4 "^3West Hallway"
592 -180 4 @
557 1442 4 @
587 2551 4 @
1546 658 448 "^3West Minaret"
1546 658 812 @
2072 -374 4 "^4Allied Spawn"
