/////////////////////////////////////////////////////////
// Map name       al_kad_b3                            //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 27                //
// Last edited    23-08-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
4352 -2306 83 "^1Back Door"
2338 -1133 280 "^1Command Post"
3181 -3774 126 "^1Front Door"
4765 -6588 274 "^1Prison Gate"
4352 -2809 242 "^1Relic Box"
5198 -5700 -201 "^1Rocket"
4762 -696 112 "^2Axis Headquarters"
5159 -1019 152 @
-151 -3620 -32 "^2Beach Spawn"
1118 -4997 101 "^3Altar"
1034 -4468 135 "^3Altar House"
1409 -5026 104 @
675 -3601 59 "^3Beach"
482 -5395 31 @
943 -3745 97 @
954 -4381 97 @
888 -5472 90 @
885 -5138 90 @
934 -3194 97 @
880 -4468 89 @
760 -4964 72 @
2794 -695 112 "^3Bunker Corridor"
3452 -690 112 @
2859 -6192 -119 "^3Cellar"
3288 -6434 -119 @
3141 -6306 -119 @
2453 -6192 24 "^3Cellar Stairs"
3285 -6307 -87 @
2338 -1133 104 "^3Command Post House"
2795 -936 112 @
2572 -1320 104 @
2553 -1121 280 @
2817 -1500 104 @
2332 -1477 104 @
2332 -1313 104 @
2332 -938 104 @
1988 -1110 280 @
2572 -1320 280 "^3Command Post Roof"
2817 -1500 280 @
2332 -1477 280 @
2332 -1313 280 @
2568 -1479 136 "^3Command Post Stairs"
4860 -4608 280 "^3East Village"
5568 -4627 280 @
5198 -4729 109 @
5968 -4398 108 @
5647 -4060 105 @
5748 -4097 280 @
5197 -4899 326 @
5615 -4857 334 @
5868 -4845 104 @
5495 -3345 312 @
4924 -2825 280 @
4916 -3169 280 @
4967 -2451 280 @
5501 -2647 312 @
5642 -3777 280 "^3East Village Fountains"
5224 -3798 145 @
970 -5472 104 "^3Fountain"
1420 -5178 104 @
1545 -5421 104 @
1576 -5738 104 @
1585 -5632 104 @
1018 -5140 104 @
5198 -5700 431 "^3Garden Dome"
5196 -5030 116 "^3Garden Entrance"
4891 -5129 156 @
5197 -4899 116 @
5600 -5136 116 @
5615 -4857 116 @
4834 -5047 109 "^3Garden of Kadesh"
4945 -5699 109 @
5452 -5698 109 @
5204 -5447 109 @
5215 -5967 109 @
5208 -6177 109 @
4891 -5256 326 @
4891 -5256 109 @
5603 -5255 326 @
5607 -5255 109 @
5196 -5030 326 "^3Garden Overlook"
4891 -5129 326 @
4561 -5135 326 @
5600 -5136 326 @
4669 -695 113 "^3Headquarters Hallway"
3562 -691 113 @
5155 -1374 112 "^3Headquarters Lobby"
5156 -1236 112 @
4780 -1380 112 @
4780 -1228 112 @
5155 -1374 280 "^3Headquarters Terrace"
4780 -1380 280 @
5156 -1236 280 "^3Headquarters Upstairs"
4780 -1227 280 @
5950 -4075 104 "^3Health and Ammo Cabinets"
2116 -4458 104 @
4352 -2809 48 "^3Lower Relic Hall"
4006 -2810 39 @
4072 -2457 48 @
4620 -2446 48 @
4685 -2824 48 @
4347 -3168 96 @
4346 -3387 96 @
5581 -1370 166 "^3North Village"
2815 -1677 107 @
2584 -1654 106 @
2582 -2434 280 @
3803 -2244 102 @
4352 -2306 221 @
4067 -2272 280 @
4347 -2087 96 @
4122 -2304 96 @
4624 -2283 280 @
4580 -2294 96 @
2277 -3244 136 @
2461 -3233 125 @
3107 -3132 125 @
2316 -2908 314 @
3086 -2829 125 @
3301 -2493 103 @
3773 -2509 110 @
5488 -2426 312 @
4954 -2171 88 @
5159 -1803 72 @
5984 -1375 301 @
4610 -1402 107 @
-1801 -3633 -157 "^3Ocean"
-88 -4511 -63 @
-90 -4284 -42 @
-84 -4810 -42 @
-578 -4514 -57 @
-571 -4285 -39 @
-584 -4761 -39 @
-813 -3580 -43 @
-180 -3149 -43 @
202 -5435 -9 @
-88 -4511 52 "^3Pier"
-578 -4514 52 @
5143 -6583 291 "^3Prison"
4772 -6929 274 @
5643 -6575 274 @
5208 -6262 110 @
4355 -2434 288 "^3Relic Hall"
4352 -2809 488 @
4006 -2810 288 @
4072 -2457 288 @
4620 -2446 288 @
4685 -2824 288 @
4347 -3168 282 @
4000 -3181 240 @
4689 -3175 240 @
3820 -2815 292 "^3Relic Hall Stairs"
3303 -2823 127 @
5198 -5700 -43 "^3Rocket"
5198 -5700 110 @
5199 -5030 -58 "^3Rocket Hall"
4833 -5046 -67 @
5541 -5052 -58 @
4945 -5699 -202 @
4945 -5699 -58 @
5452 -5698 -58 @
5452 -5698 -202 @
5204 -5447 -202 @
5204 -5447 -58 @
5215 -5967 -58 @
5215 -5967 -202 @
5208 -6177 -58 @
5607 -5255 -58 @
4891 -5266 -63 @
3820 -2815 448 "^3Rooftops"
3436 -2979 457 @
3118 -3007 374 @
-1801 -3633 58 "^3Sail Boat"
3269 -5708 127 "^3South Village"
3474 -6296 104 @
4348 -4894 280 @
4233 -6591 280 @
4553 -5233 326 @
1652 -5739 104 "^3South Village Entrance"
2163 -6192 104 @
2254 -5767 142 @
3181 -3774 395 "^3Town Hall"
3107 -4026 370 @
3274 -4024 143 @
3102 -3541 370 @
3262 -3542 127 @
3107 -3132 371 @
3569 -3816 127 @
3582 -3443 127 @
3346 -3438 368 @
3365 -3818 374 @
3579 -4207 143 @
3380 -4207 381 @
3402 -3188 370 @
3264 -3121 127 @
3107 -4026 125 "^3Town Hall Arches"
3102 -3541 125 @
2277 -3244 371 "^3Town Hall Corridor"
2461 -3233 371 @
3569 -3816 368 "^3Town Hall Terrace"
3582 -3443 368 @
3579 -4207 368 @
4729 -3662 114 "^3Village Center"
4345 -4705 280 @
4346 -3387 287 @
4526 -3392 96 @
4183 -3383 96 @
3996 -3348 280 @
4689 -3347 280 @
3783 -3819 107 @
3762 -3447 107 @
3793 -3175 280 @
3591 -3179 280 @
3782 -4210 107 @
3018 -5285 371 @
3584 -4471 313 @
4735 -4116 96 @
4343 -3591 96 @
1053 -3745 103 "^3Village Entrance"
1030 -4379 72 @
1032 -3188 136 @
2528 -4453 104 "^3Village Entrance House"
2527 -4033 104 @
2124 -4075 96 @
2287 -3419 104 @
2116 -4458 330 "^3Village Entrance Roofs"
2528 -4453 296 @
2527 -4033 296 @
2318 -3878 296 @
2124 -4075 290 @
2287 -3419 296 @
4877 -1118 112 "^3Warehouse"
2743 -4447 96 "^3West Village"
2710 -4007 96 @
2509 -3887 92 @
2482 -3414 91 @
2844 -3541 96 @
2822 -3776 96 @
2257 -5634 146 @
1646 -5632 101 @
1699 -5414 102 @
2333 -4891 190 @
2354 -5728 150 @
1757 -5159 184 @
2918 -5284 371 @
