/////////////////////////////////////////////////////////
// Map name       Alleys                               //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 15                //
// Last edited    30-08-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-2040 -1565 128 "Allied Spawn"
2063 1581 128 "Axis Spawn"
0 26 128 "Center Flag"
-388 -777 448 "Center Town"
395 -790 448 @
358 -835 128 @
-243 -900 128 @
-5 -273 128 @
26 340 128 @
286 34 142 @
-367 -34 156 @
-364 854 128 @
193 892 128 @
387 787 448 @
-390 788 448 @
504 624 448 @
474 -648 448 @
-498 -631 448 @
-484 641 448 @
749 -311 448 @
-759 332 448 @
546 314 128 @
-548 -321 128 @
1219 -474 128 "East Flag"
1660 1133 128 "East Town"
1200 625 128 @
651 623 404 @
1232 -73 128 @
1515 -337 268 @
1218 -815 128 @
1196 -1549 146 @
1497 -1263 128 @
135 -854 128 "Health & Ammo"
-143 849 128 @
-1 1797 128 "North Flag"
-18 1081 128 "North Gate"
385 899 448 "North Town"
206 1133 336 @
-184 1102 352 @
-393 896 448 @
-2 1444 128 @
-306 1773 144 @
303 1773 144 @
1924 1558 128 @
1648 1295 128 @
-1003 1583 128 @
-604 643 448 @
1 -1797 128 "South Flag"
0 -1097 128 "South Gate"
-8 -1407 128 "South Town"
180 -1102 352 @
-225 -1113 352 @
-386 -917 448 @
395 -895 448 @
1011 -1580 128 @
594 -646 448 @
322 -1773 144 @
-301 -1773 144 @
-1918 -1552 128 @
-1654 -1274 128 @
-1215 474 128 "West Flag"
-1661 -1149 128 "West Town"
-1203 -641 128 @
-639 -635 411 @
-1233 68 128 @
-1517 308 268 @
-1204 846 128 @
-1511 1261 128 @
-1200 1557 147 @
