/////////////////////////////////////////////////////////
// Map name       Alpine Assault                       //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
4897 4372 8 "Armoury"
4339 5685 8 @
4692 4952 5 @
4360 4464 8 @
4268 4677 8 @
4157 3888 8 "Armoury Entrance"
4202 4455 8 @
4171 3762 -27 "Armoury Entrance Tunnel"
4250 3597 -78 @
4855 4060 8 "Armoury Railroad Tunnel"
4413 3605 -71 @
4492 3977 -24 @
5369 3783 68 @
5374 3559 72 @
5367 3287 72 @
5255 2924 108 @
4849 3142 -87 @
5189 3125 -87 @
5360 3004 -87 @
5225 3300 -95 "Armoury Tunnel"
4849 3894 -3 @
5949 3851 108 "Axis Elevator"
5346 3651 264 "Axis Spawn"
4839 3265 264 @
5110 3052 264 @
5466 3652 256 "Axis Spawn Tunnel"
5954 3706 256 @
5749 3662 256 @
6253 3664 256 @
6013 3647 72 "Axis Train Stop"
5946 3719 68 @
5556 3626 72 @
6252 3646 72 @
4860 2961 -95 "Center Tunnel"
4479 2419 -82 @
2145 2991 64 "Garage"
2466 2712 48 @
2019 2715 64 @
2034 2040 48 @
2461 2023 64 @
2477 2344 48 @
1825 3521 24 "Garage Entrance"
-127 2839 -47 "Garage Road"
63 3424 -5 @
687 3597 9 @
1342 3564 16 @
2613 2699 40 "Garage Yard"
2147 3111 32 @
1867 2917 81 @
1871 3242 70 @
2056 3490 24 @
2297 3583 65 @
1855 3830 60 @
1875 4268 177 @
2390 4110 302 @
2950 3552 216 @
2683 3563 180 @
2716 3409 104 @
2613 2401 40 @
2614 1974 51 @
2396 1547 73 @
2400 1375 75 @
2596 1698 48 @
1871 3095 82 @
3297 2754 28 @
3105 3285 155 @
3228 3158 178 @
3281 2111 44 @
3088 2555 67 @
3277 2462 51 @
3353 1781 41 @
3245 1939 47 @
3385 1500 34 @
2899 1900 62 @
2852 2125 40 @
2864 2362 40 @
3017 1564 38 @
3078 1889 38 "Garage Yard Railroad"
3368 1665 40 @
3186 1720 32 @
2292 3583 332 "Garage Yard Tower"
4216 2135 -79 "Garage Yard Tunnel"
3503 2751 -7 @
-351 2456 -15 "Half Track"
1207 2438 640 "Mountain"
923 2704 540 @
644 2871 404 @
74 2414 -19 "Mountain Path"
580 2168 146 @
1070 1993 330 @
1553 1837 331 @
1856 1781 213 @
1556 2184 339 @
1604 2539 236 @
1329 1546 384 @
905 1666 433 @
4920 2817 136 "North Railroad Switch"
3145 3447 264 "North Railroad Train Stop"
2720 3444 264 @
2945 3455 264 @
3144 3261 256 @
3278 3455 264 "North Railroad Tunnel"
4595 2814 136 @
1773 2816 89 "Outside Garage Yard"
1737 3173 82 @
1723 2982 101 @
1166 2919 287 @
892 4125 193 @
1391 3984 81 @
1746 3827 59 @
1727 4332 160 @
6858 1973 -87 "Safe"
2353 1792 40 "Side Gate"
2083 1590 59 "Side Gate Path"
2255 1478 78 @
2255 1261 86 @
1772 1288 71 @
1179 1123 15 @
435 1406 -55 @
-98 2013 -55 @
5472 2694 -87 "South Railroad Switch"
3071 2374 68 "South Railroad Train Stop"
3067 2072 40 @
3505 1665 40 "South Railroad Tunnel"
3956 1973 8 @
4470 1766 5 @
4559 2014 -26 @
5015 2297 -87 @
5441 2459 -87 @
4684 2264 -65 @
6863 1838 -87 "Stores"
6726 2030 -87 @
6619 2620 -87 @
6257 1861 -87 @
5515 1908 -87 @
5050 1732 -87 @
6278 1389 -87 @
6170 2590 -84 "Stores East Tunnel"
5541 3252 65 @
5614 3072 -87 "Stores Railroad Tunnel"
6122 3120 -87 @
6324 2641 -87 @
6326 2343 -75 @
5890 2155 -11 @
5393 2380 64 @
5317 2685 100 @
5051 1894 -95 "Stores West Tunnel"
5035 2154 -101 @
