/////////////////////////////////////////////////////////
// Map name       Alps - Part 2 (Beta)                 //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1795 -3641 78 "Allied Radio Station"
-6076 2363 376 "Command Post"
-5646 -998 -501 "Dead!"
-1123 2967 592 "Fuel Store"
-6319 1908 376 "Health and Ammo Cabinets"
-4285 732 453 "Hill Path"
-4718 37 378 @
-4390 -839 426 @
-4497 -1647 434 @
-4452 -2339 289 @
-3809 -2665 238 @
-2765 -3498 175 @
-3527 -3657 434 "Hills"
-4037 -3531 395 @
-4195 -3099 387 @
-4902 -1857 596 @
-5160 -1415 580 @
-5388 -902 639 @
-5547 -742 620 @
-4937 -800 639 @
-5276 -241 765 @
-5247 258 737 @
-5127 517 800 @
-4087 186 701 @
-2654 297 454 "Mine Entrance"
-4799 -1326 128 "Mine Spawn"
-5071 -931 138 "Mines"
-4462 -934 138 @
-5700 -1290 76 @
-5393 -950 138 @
-4214 -928 138 @
-3382 -929 169 @
-2657 -87 458 @
-2349 98 448 @
-948 623 458 @
-331 1191 479 @
-1064 -469 448 @
-2390 -649 344 @
-232 -639 442 @
1376 -644 504 @
-5505 -894 498 "Mines Vent"
-4225 -894 513 @
-6075 1927 352 "North Anti-Tank Gun"
-5813 2243 376 "North Bunker"
-6081 2141 376 @
-5813 1940 376 "North Bunker MG42"
-5850 1987 536 "North Bunker Roof"
-6078 1933 536 @
-6308 1917 558 @
-6027 2129 565 @
-5801 2234 568 @
-2901 1892 714 "North Hills"
-3349 1759 776 @
-3783 1930 775 @
-4226 2040 768 @
-4806 -3564 205 "North Road"
-5558 -2256 266 @
-6210 -448 351 @
-5970 1246 384 @
-6155 254 384 @
-6157 -1254 313 @
-5122 -2860 238 @
-5587 1389 384 @
-6254 1752 386 "Outside North Bunker"
-5684 1936 384 @
-5677 2243 384 @
-5791 1742 384 @
-6771 1342 623 @
-5187 1940 384 @
-5173 2593 662 @
-4753 2758 686 @
-5007 -4714 192 "Outside South Bunker"
-5326 -4470 192 @
-5307 -4220 192 @
-4671 -5525 294 @
-5833 -4522 217 @
-5012 -3938 192 @
-1343 2337 576 "Outside Village Walls"
-1332 2650 576 @
-1360 2965 594 @
-2164 2504 572 @
1280 -3680 64 "Road Spawn"
1649 -1475 576 "Service Tunnel"
1613 -662 538 @
1657 -52 586 @
-4973 -4479 181 "South Anti-Tank Gun"
-4998 -4196 192 "South Bunker"
-5950 -4003 448 "South Bunker Hills"
-5689 -3580 571 @
-5662 -3094 432 @
-5891 -2657 247 "South Bunker Path"
-6179 -3039 229 @
-6310 -3789 194 @
-6095 -4454 257 @
-2900 -4862 464 "South Hills"
-2440 -4996 451 @
-1913 -5200 460 @
-1332 -5440 385 @
-784 -5599 349 @
-207 -5640 409 @
283 -5579 333 @
753 -5474 435 @
1215 -5296 406 @
1687 -5066 90 "South Path"
636 -6209 128 @
-1048 -6209 121 @
-2400 -5889 155 @
-3522 -5169 190 @
1326 -5711 144 @
41 -6276 139 @
-1767 -6051 135 @
-3010 -5575 174 @
-2618 -4041 161 "South Road"
-597 -4731 98 @
1434 -4313 64 @
2067 -4205 64 @
-3542 -4493 190 @
-1700 -4106 133 @
399 -4712 67 @
-4592 -4464 192 @
219 -2140 584 "Tunnel"
221 -103 584 @
222 -1171 648 @
648 -1490 592 @
1649 -1645 584 @
232 -1429 584 "Tunnel Blockage"
2220 1322 576 "Village"
2230 1828 576 @
2441 2134 576 @
1005 1840 576 @
993 2226 576 @
649 2605 576 @
897 1747 576 @
620 1742 576 @
2463 1026 576 @
2699 1119 576 @
2627 1014 577 @
2693 1532 576 @
1659 65 601 @
1641 1002 576 @
1555 933 576 @
1558 620 576 @
1640 535 576 @
2074 541 577 @
2152 617 582 @
2148 923 576 @
2051 1002 576 @
659 364 586 @
1272 52 614 @
801 58 657 @
668 3249 672 @
633 876 576 @
633 1325 576 @
-1016 1971 576 "Village Entrance"
-1195 2334 576 @
-1157 2704 576 @
-881 2929 576 @
-692 2335 576 @
-1320 1995 576 "Village Gate"
-1179 2332 800 "Village Gate MG42"
-566 2858 584 "Village Loading Area"
-2532 2486 599 "Village Path"
-3146 2197 578 @
-3668 2507 546 @
-4213 2565 488 @
-4668 2118 481 @
221 121 585 "Village Railroad"
197 863 592 @
170 1353 592 @
187 1772 592 @
200 2170 592 @
214 2620 584 @
210 3251 584 @
-342 1402 505 @
-350 2252 586 @
-307 2641 582 @
633 2157 640 "Village Railway Station"
887 2231 640 @
898 1832 640 @
642 1854 640 @
652 2486 816 @
-5070 1420 387 "Village Road"
-4058 1120 450 @
-2690 905 536 @
-2294 1949 560 @
-3311 987 497 @
-2514 1440 547 @
-1755 1978 576 @
2045 907 580 "Village Shop"
2035 632 580 @
1661 631 580 @
1654 908 576 @
2331 1825 580 "Village Spawn"
2333 1319 580 @
2462 2028 596 @
2609 1122 580 @
2453 1126 580 @
2611 1534 580 @
511 3236 640 "Village Train Bay"
517 2603 640 @
517 2162 640 @
516 1837 640 @
511 1725 640 @
517 1321 640 @
508 369 608 @
520 881 640 @
