/////////////////////////////////////////////////////////
// Map name       Ammo Depot                           //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-859 -1613 354 "Allied MG42"
2881 -4821 414 "Ammo Shipment"
3152 -4772 392 @
3105 -5545 392 "Ammo Shipment MG"
2646 -1673 616 "Antenna Base"
2896 -1666 616 @
2321 -1738 616 "Antenna Base MG"
3448 -1361 392 "Axis Barracks"
3402 -1743 392 @
2895 -1681 392 @
3044 -1283 392 @
1567 -5157 392 "Barracks"
2446 -5055 392 @
2129 -4633 392 @
2434 -4680 556 @
-1780 -3292 286 "Beach"
-1759 -2830 290 @
-1793 -2196 281 @
-1786 -1580 272 @
-1435 -1012 277 @
-1423 -1696 380 @
-1440 -1968 381 @
-1430 -2221 383 @
-1401 -2471 390 @
-1406 -2840 389 @
-1410 -3219 380 @
-1417 -3838 374 @
-1619 -4059 323 @
-1505 -4375 343 @
-1419 -4799 330 @
-1454 -5280 287 @
-1641 -5208 267 @
-1732 -4812 272 @
-1784 -4430 272 @
-1868 -4047 269 @
-1811 -3725 279 @
-1143 -5654 277 @
-1393 -5581 263 @
2756 -947 1072 "Bunker Entrance"
-1121 -790 1472 "Bunker High Wall"
-351 -588 1472 @
342 -595 1472 @
1114 -605 1472 @
1687 -612 1472 @
2103 -617 1472 @
2709 -624 1472 @
3061 -629 1472 @
2609 -1009 813 "Bunker Ladder"
2609 -1009 459 @
96 -4834 412 "Bunker Yard"
-506 -4894 680 @
-827 -4499 537 @
-950 -4125 366 @
-719 -3756 348 @
-466 -3343 334 @
-458 -2825 371 @
-639 -2438 356 @
-644 -2060 341 @
-918 -1177 378 @
-360 -853 761 @
-138 -1381 624 @
232 -2176 350 @
405 -2490 451 @
442 -2952 326 @
434 -3476 333 @
214 -4060 342 @
-948 -3044 324 "Command Post"
-940 -2260 392 "Command Post Bunker"
-943 -2781 392 @
-696 -3042 390 @
-952 -3257 392 @
-943 -3798 392 @
-1068 -3048 832 @
-914 -3039 576 @
-1178 -2744 576 @
-1232 -3313 576 @
907 -1267 1214 "Depot Bunker Hills"
1303 -1138 1487 @
1882 -1348 1483 @
2207 -1102 1459 @
2071 -856 1484 @
1550 -891 1546 @
369 -1032 1290 @
2060 -1991 370 "Depot Bunker Yard"
1830 -2380 338 @
1757 -2851 330 @
1633 -3148 344 @
1720 -3637 371 @
1388 -3548 429 @
1343 -3192 350 @
1357 -2597 335 @
1046 -2222 482 @
1206 -1879 439 @
790 -2765 384 "Depot Entrance Bunker"
1088 -2718 384 @
1058 -2726 640 @
992 -3194 638 @
1017 -3636 640 @
1057 -3644 384 @
764 -3634 384 @
629 -3924 400 @
662 -2455 896 @
714 -3937 896 @
676 -3216 642 @
1195 -2657 896 @
1177 -3682 896 @
1963 -2650 616 "Depot Gate MG"
2008 -3207 342 "Depot Gates"
1945 -2880 616 @
-1259 -4102 434 "East Anti-Tank Door"
2518 -2237 392 "Loading Bays"
2756 -2037 392 @
2740 -2313 392 @
2961 -2285 392 @
3127 -1989 392 @
3166 -2311 392 @
3497 -2609 392 @
3518 -2871 392 @
3512 -3060 392 @
3484 -3319 392 @
3505 -3594 392 @
3421 -3987 392 @
3001 -4073 392 @
2714 -4103 392 @
3079 -4419 392 @
2611 -4421 392 @
2307 -4436 404 @
2476 -4103 392 @
-3078 -3563 193 "Ocean"
-2657 -3558 188 @
-2214 -3564 203 @
-2037 -3778 226 @
-2068 -4013 228 @
-2080 -4410 212 @
-2043 -4722 218 @
-1905 -5086 220 @
-2532 -3041 188 @
-2812 -3059 191 @
-3224 -2879 189 @
-2667 -2870 190 @
-2093 -2118 201 @
-2337 -2343 195 @
-2677 -2387 184 @
-2914 -2349 195 @
-2089 -1989 199 @
-2075 -1689 213 @
-2013 -1325 210 @
-1865 -890 210 @
-1673 -5562 227 @
-1975 -5615 206 @
-1939 -5296 214 @
-1703 -666 196 @
2276 -4416 616 "Office"
2697 -4374 616 @
3189 -4366 616 @
-3136 -2620 322 "Pier"
-2621 -2620 322 @
-2125 -2615 344 @
-2126 -3217 344 @
-2538 -3285 322 @
-3122 -3278 322 @
-1987 -2950 344 @
-1994 -3339 344 @
2741 -1594 744 "Radio Antenna"
2597 -1252 422 "Radio Bunker"
2611 -1607 422 @
2231 -1584 422 @
2278 -1990 616 @
2330 -2282 616 @
2701 -2300 616 @
3031 -2339 616 @
3383 -2439 616 @
2878 -1898 616 "Radio Equipment"
2673 -1898 616 @
809 -3197 444 "Sand Barricade"
915 -3176 502 @
-1861 -5416 197 "Sewers"
-1499 -5429 197 @
-1609 -5416 197 @
-1347 -5415 197 @
-1245 -5221 165 @
-1016 -5426 197 @
-595 -5415 197 @
-35 -5418 197 @
92 -5192 188 @
-1292 -639 180 @
-1088 -659 197 @
-939 -646 197 @
-1161 -859 172 @
-1252 -859 167 @
-601 -649 197 @
-154 -645 197 @
240 -643 197 @
616 -643 197 @
990 -641 198 @
1453 -640 199 @
1595 -723 200 @
1592 -1068 224 @
1582 -1498 254 @
1593 -1815 265 @
101 -5212 323 @
2661 -4747 392 "Storage"
2701 -5137 392 @
2651 -5548 392 @
2886 -5525 392 @
2935 -5069 392 @
3124 -5239 392 @
-1196 -3038 576 "Supply Cabinets"
2517 -1952 392 @
2444 -2520 329 "Truck Yard"
2872 -2542 329 @
3149 -2535 329 @
3282 -2799 329 @
3264 -3096 329 @
3251 -3329 329 @
3257 -3689 329 @
3141 -3896 329 @
2868 -3876 329 @
2597 -3880 329 @
2312 -3852 329 @
2161 -3757 329 @
2151 -3201 329 @
2157 -2805 329 @
-1222 -1957 434 "West Anti-Tank Door"
