/////////////////////////////////////////////////////////
// Map name       Apennines Research (B2)              //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
532 -1067 592 "Axis Door"
-1250 1502 523 "Back Path"
-1070 2029 472 @
-619 2353 421 @
-629 3266 479 @
-830 2741 421 @
-1108 3270 443 @
-1521 2527 468 @
-1405 1469 525 @
315 635 588 "Bridge"
292 1265 588 @
275 985 588 @
549 510 590 "Bridge Supplies"
380 -3382 582 "Cabin MG42"
474 -3051 589 @
477 -2910 618 "Cabin Yard"
964 -2870 557 @
1463 -2836 582 @
1599 -2301 602 @
1261 -2406 564 @
686 -2429 582 @
359 -2081 602 @
1388 -1856 582 @
1671 -1860 622 @
1081 -2097 620 @
713 -2091 579 @
-639 2743 442 "Cellar Entrance"
-34 3261 272 "Cellar MG42"
1022 1906 272 "Cellar Stairwell"
1079 2164 428 @
1019 2158 272 @
84 3025 272 "Cellars"
120 2729 272 @
510 3127 272 @
493 3660 272 @
-296 3628 272 @
-284 3057 272 @
-296 2447 272 @
-259 2109 272 @
515 2102 272 @
523 2451 272 @
872 2179 272 @
1304 1949 272 @
1282 2391 272 @
844 2933 272 @
1311 3609 272 @
173 3646 272 @
1802 -1400 592 "Command Post"
511 2845 272 "Communications Radio"
812 1929 752 "Complex Catwalk"
378 1949 752 @
-272 1980 752 @
-348 2498 752 @
-330 2975 752 @
-314 3475 752 @
-242 3126 752 @
-168 3628 944 "Complex Roof"
-178 3256 944 @
-178 2927 944 @
-178 2626 944 @
-178 2305 944 @
-178 2062 944 @
108 2066 944 @
478 2081 944 @
772 2073 944 @
975 1991 944 @
1313 1872 944 @
1339 2106 944 @
1342 2302 944 @
1348 2778 944 @
1340 3034 944 @
1147 3298 944 @
878 3485 944 @
605 3539 944 @
225 3574 944 @
186 3161 944 @
340 2876 944 @
354 2571 944 @
76 3492 944 @
106 3187 944 @
433 3123 944 @
628 2979 944 @
796 3226 944 @
935 2477 944 @
199 2728 944 @
781 2660 944 @
406 3380 944 @
1156 2949 944 @
1052 2274 944 @
30 2933 944 @
576 2504 944 "Complex Roof MG42"
379 2257 1144 @
1281 2170 752 "Complex Supplies"
1126 1400 573 "Complex Yard"
734 1406 543 @
352 1431 575 @
44 1419 558 @
28 1748 560 @
460 1751 582 @
772 1758 570 @
1004 1655 582 @
973 1352 556 @
1184 -3328 600 "Deserted Cabin"
750 -3294 600 @
994 -3241 784 @
-1218 703 424 "Footbridge"
-1214 1042 460 @
-1216 1258 516 @
-1116 457 432 "Footbridge Supplies"
958 -1591 592 "Garage"
1336 -1695 592 @
1746 -1671 592 @
1820 -1065 592 @
1405 -1085 592 @
1603 -1389 592 @
1243 -1399 592 @
529 -1702 592 @
223 -1724 592 @
180 -1083 640 @
946 -1209 592 @
600 -1216 712 @
389 -1462 784 @
822 -1337 784 @
1284 -1197 784 @
1643 -1299 784 @
365 -1186 784 @
362 -1629 784 @
710 -1620 784 @
1173 -1624 784 @
1658 -1445 784 @
908 -1087 592 "Garage Back Door"
1768 -1291 784 "Garage Catwalk"
1762 -1078 784 @
1171 -1092 784 @
569 -1085 784 @
234 -1073 784 @
234 -1417 784 @
236 -1709 784 @
638 -1719 784 @
986 -1719 784 @
1378 -1718 784 @
1740 -1718 784 @
1767 -1481 784 @
888 -1098 784 @
834 -1827 583 "Garage Door"
940 -1394 592 "Garage Flag"
1676 -1215 960 "Garage Roof"
1254 -1221 960 @
866 -1201 960 @
520 -1202 960 @
375 -1417 960 @
386 -1629 960 @
622 -1629 960 @
954 -1629 960 @
1261 -1629 960 @
1550 -1629 960 @
1679 -1407 960 @
847 -1464 960 "Garage Roof MG42"
1037 -1268 1160 @
1041 -1524 1160 @
197 -1421 592 "Garage Supplies"
886 -876 582 "Garage Yard"
1353 -875 582 @
1703 -904 582 @
1616 582 607 @
958 494 575 @
472 -860 582 @
14 -870 587 @
-159 -572 597 @
-51 487 582 @
300 433 587 @
698 252 648 @
1027 -1269 784 "Generator"
722 2591 496 "Radio Room Catwalk"
332 2572 496 @
304 2868 496 @
326 3058 496 @
662 3045 496 @
827 3447 288 "Radio Room Stairs"
635 3270 480 @
371 3287 480 @
193 3465 272 @
969 1919 588 "Research Complex"
954 2181 752 @
1431 2272 752 @
1429 2938 752 @
1413 3377 752 @
882 3396 752 @
499 3377 752 @
-7 3363 752 @
-148 3033 752 @
-171 2716 752 @
253 2743 752 @
657 2737 752 @
1175 2344 752 @
-148 3184 752 @
-173 3405 752 @
128 3056 752 @
961 2521 752 @
1253 2732 752 @
1191 3148 752 @
729 3030 784 @
333 3125 756 @
490 2901 752 @
-850 1107 69 "River"
-867 799 309 @
-1505 796 305 @
-1455 1147 212 @
-327 815 286 @
-310 1126 137 @
-28 883 435 @
690 860 446 @
1266 867 447 @
1694 762 440 @
1440 1200 445 @
1082 1235 463 @
583 1215 385 @
-546 798 576 "River Dam"
-542 1166 576 @
-666 790 422 "River Ladder"
163 -3312 582 "Side Path"
-740 -3325 604 @
-1199 -2751 688 @
-1309 -2010 682 @
-1332 -1349 657 @
-1242 -668 584 @
870 2882 472 "Ventilation Shaft"
915 2632 389 @
957 2522 360 @
690 2460 435 @
434 2472 472 @
1170 -3161 784 "Window MG42"
