/////////////////////////////////////////////////////////
// Map name       Arhabeach                            //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
789 2383 232 "Assault Boat"
105 2335 216 @
-628 2345 227 @
189 -1587 888 "Axis Base"
496 -1129 736 @
-112 -1131 736 @
-113 -1393 736 @
509 -1234 736 @
502 -1432 736 @
178 -2446 888 @
-236 -142 597 "Base Courtyard"
-510 13 599 @
-720 -110 657 @
-744 -276 657 @
-839 -366 668 @
-1044 -367 744 @
135 45 622 @
359 168 684 @
549 192 699 @
640 27 676 @
845 22 720 @
1045 15 804 @
498 -998 698 @
218 -954 740 @
-115 -1004 691 @
-330 -1141 672 @
-347 -1464 803 @
705 -1137 715 @
710 -1385 816 @
949 -1469 967 @
-324 -1735 998 @
874 -1563 1032 "Base Roof"
489 -1593 1032 @
186 -1594 1032 @
-105 -1572 1032 @
-244 -1631 1066 @
-236 -1756 1104 @
911 1854 321 "Beach"
105 1751 318 @
-640 1790 389 @
-1100 1615 326 @
-866 167 688 @
-1102 149 837 @
-755 59 649 @
-500 131 567 @
-257 321 513 @
100 162 630 @
319 285 684 @
541 336 686 @
649 488 635 @
965 510 750 @
-1132 2074 200 "Dinghy"
666 406 880 "East Bunker"
983 208 880 @
649 234 880 @
1028 106 880 @
1053 362 736 @
639 406 736 @
652 105 736 @
843 117 736 @
860 339 736 @
-68 -1226 888 "Gun"
193 -1455 888 "Gun Platform"
518 -1069 888 @
489 -1406 888 @
512 -1226 888 @
-103 -1420 888 @
191 -1082 784 "Gun Stairs"
-925 2320 167 "Ocean"
-253 2376 165 @
494 2421 153 @
980 450 880 "Side Wall"
-220 98 557 "Wall"
-718 -32 888 @
-459 77 888 @
64 86 880 @
554 251 880 @
342 217 880 @
-849 -82 728 "West Bunker"
-848 -272 728 @
-1059 -43 728 @
-851 66 888 @
-841 -76 888 @
-1046 -262 888 @
-1061 71 888 @
-866 61 728 "West Bunker MG42"
