/////////////////////////////////////////////////////////
// Map name       The Artic Guns                       //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 27                //
// Last edited    03-07-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
5053 1496 352 "^1Allied Command Post"
6740 6524 144 "^1Axis Command Post"
5414 4828 432 "^1Axis MG42"
3883 7163 512 "^1Gun #1"
6421 8750 341 "^1Gun #2"
9756 8484 320 "^1Gun #3"
3094 2202 238 "^1Tank Barrier #1"
6195 2331 172 "^1Tank Barrier #2"
6742 4077 150 "^1Tunnel Opening"
5418 2398 333 "^2Allied Gate Spawn"
5458 2901 333 @
5458 2901 173 @
4939 2888 173 @
4945 2372 173 @
5200 2638 488 @
5454 2378 173 @
5453 2684 333 @
5459 2684 173 @
1100 4256 256 "^2Allied Hut Spawn"
1115 4760 256 @
2135 4758 256 @
2115 4258 256 @
5573 2900 173 "^2Allied Village Spawn"
5593 2681 171 @
5565 3063 171 @
6395 5860 448 "^2Axis Base Spawn"
6158 5872 448 @
6058 6155 448 @
6790 6191 448 @
6774 5871 448 @
5053 1496 192 "^2Axis Gate Spawn"
5163 1279 192 @
5443 1569 192 @
4937 1047 192 @
5457 1097 192 @
642 -1190 754 "^2Axis Tank Depot Spawn"
1948 -1154 754 @
1628 -1152 754 @
6745 491 220 "^2Axis Village Spawn"
6878 430 380 @
6706 957 220 @
6706 957 380 @
134 4903 296 "^3Allied Corridors"
129 2450 680 @
137 3682 477 @
130 2938 616 @
1090 5455 296 @
1100 4256 433 "^3Allied Hut Roof"
1115 4760 463 @
2135 4758 440 @
2115 4258 431 @
9747 7095 383 "^3Barracks"
9208 6415 384 @
9361 7107 390 @
6256 6555 144 "^3Base CP Room"
6777 6830 144 @
6777 6830 336 @
5698 6539 144 @
5822 6846 144 @
8017 6466 144 "^3Base Courtyard"
6775 6987 144 @
4849 7770 144 @
5818 6963 432 @
5818 6963 162 @
5200 7642 144 @
5646 8550 144 @
5330 8845 144 @
5980 8818 144 @
6388 8304 144 @
6770 8240 144 @
6779 7520 144 @
7107 7777 144 @
7345 7517 161 @
7073 7226 144 @
7222 6963 144 @
7598 6633 320 @
8143 7484 144 @
7951 8079 142 @
6775 6987 336 "^3Base Courtyard Catwalk"
6770 8240 336 @
6779 7520 336 @
7087 7488 144 "^3Base Courtyard MG42"
7951 8079 288 "^3Base Courtyard Radar"
9156 7572 144 "^3Base Courtyard Tunnel"
8431 7489 144 @
9227 6856 128 "^3Base Lower Hallways"
8015 6310 112 @
8613 6440 112 @
6718 6150 112 @
6255 6237 112 @
5693 6239 112 @
4852 7648 144 @
4865 6175 112 @
4278 6145 112 @
3906 6130 112 @
6746 6328 112 @
6944 6194 448 "^3Base Spawn Ladder"
7041 6188 336 @
6152 5493 424 "^3Base Terrace"
6402 5535 424 @
5408 5061 406 @
5584 5519 424 @
6775 5504 424 @
6945 5028 406 @
6162 5682 432 "^3Base Terrace Entrance"
5864 6156 432 "^3Base Upper Hallways"
4865 6175 376 @
4278 6145 352 @
3906 6130 352 @
5822 6846 432 @
9065 6416 384 @
8919 5663 272 @
7520 5655 272 @
7222 5942 292 @
7205 6189 336 @
7169 6447 336 @
7223 6855 336 @
7489 6633 336 @
6908 6833 368 "^3Base Ventilation Shaft"
7040 6445 320 @
6152 5493 120 "^3Base Warehouse"
6402 5522 120 @
5584 5519 120 @
6775 5504 120 @
6715 6026 120 @
6255 5936 120 @
5690 5930 120 @
4858 6003 112 "^3Base West Stairs"
4276 5905 352 @
562 2439 680 "^3Big Gate Overlook"
2170 2959 516 "^3Big Gate Towers"
2144 1437 516 @
2183 1946 516 "^3Big Gate Towers Catwalk"
2177 2534 516 @
2187 1053 516 @
9759 8075 144 "^3East Courtyard"
9746 7210 144 @
10214 7213 144 @
9363 7215 146 @
9739 7604 144 @
9459 7879 144 @
10227 7869 144 @
9746 7210 384 "^3East Courtyard Catwalk"
10214 7213 384 @
9363 7215 384 @
10227 7869 384 @
9456 7594 144 "^3East Courtyard MG42"
4087 6667 352 "^3Gun #1 Warehouse"
4246 7136 512 @
6395 8510 256 "^3Gun #2 Stairs"
9766 8279 240 "^3Gun #3 Stairs"
5640 8839 144 "^3Health and Ammo Cabinets"
2352 713 200 @
5163 1279 352 @
6401 5687 432 @
2217 4264 256 "^3Outside Allied Hut"
2143 4142 245 @
1097 4143 221 @
980 4252 264 @
991 4762 262 @
1115 4907 215 @
2249 4757 330 @
2128 4873 303 @
1095 5301 296 @
755 3682 354 @
1090 5455 400 @
5722 4259 119 "^3Outside Axis Base"
5606 4259 119 @
5079 4261 119 @
4964 4395 126 @
4266 4394 183 @
5414 4828 121 @
6745 4531 135 @
6300 4290 119 @
6152 5369 119 @
6403 5384 119 @
5408 5061 112 @
5584 5396 130 @
4985 5534 247 @
6773 5404 125 @
6945 5028 171 @
2183 1946 197 "^3Outside Big Gate"
2177 2534 197 @
2373 1053 203 @
1801 1037 197 @
2187 1053 197 @
679 921 490 @
2170 2959 204 @
2144 1437 180 @
802 2425 422 @
616 2917 595 @
2621 2205 224 @
2783 1509 345 @
2781 2992 328 @
9747 7095 144 "^3Radioactive Lab"
10214 7090 144 @
9373 6853 144 @
9363 7114 146 @
666 732 480 "^3Tank Depot"
618 -873 474 @
966 -794 253 @
1636 -685 183 @
2337 531 204 @
2358 722 480 @
1795 699 197 @
2091 -403 339 @
2742 730 480 @
2742 730 192 @
507 -1195 754 "^3Tank Depot Corridors"
523 733 480 @
966 -794 -61 "^3Tank Depot Sewers"
1636 -685 -88 @
2352 713 -57 @
2337 531 -48 @
2091 -403 -54 @
2742 730 -68 @
1651 -847 512 "^3Tank Depot Stairs"
641 -1015 754 "^3Tank Depot Terrace"
1952 -1017 754 @
1627 -1016 754 @
3094 2202 720 "^3Top of Big Gate"
6742 4077 -53 "^3Tunnel Sewers"
6759 4374 -31 "^3Tunnels"
6739 5635 -31 @
7230 5662 -31 @
3648 5986 -31 @
5312 5681 -31 @
7230 5662 281 "^3Tunnels East Exit"
3647 6099 -31 "^3Tunnels West Exit"
3715 6231 112 @
3715 6231 352 @
5433 2240 333 "^3Village"
4829 2887 159 @
4943 3007 158 @
4946 2269 158 @
4837 2371 158 @
5044 1767 182 @
4685 1500 177 @
3569 2196 224 @
3472 2960 382 @
3491 1515 314 @
3887 -7 338 @
6884 281 380 @
6602 475 204 @
5442 1714 352 @
4820 1053 193 @
4947 938 197 @
5581 2377 170 @
6694 2818 203 @
7142 2791 351 @
6748 2340 209 @
6185 1882 183 @
5544 1580 200 @
6705 1031 219 @
6705 1031 383 @
6636 953 205 @
4922 957 368 @
5464 939 368 @
6194 2790 160 @
5395 3067 189 @
5584 3390 130 @
5697 3481 134 @
5057 3387 149 @
4181 3377 169 @
5312 -3 197 @
5722 4148 119 @
6742 4077 290 @
6311 4056 148 @
5443 1569 352 "^3Village CP House"
5457 1097 352 @
4937 1047 352 @
5584 3475 131 "^3Village Fuel Tanks"
5056 3465 142 @
4176 3480 170 @
5607 4139 119 @
5079 4134 122 @
4965 4259 121 @
4267 4286 176 @
5565 3063 295 "^3Village Shed Roof"
5573 2900 312 @
5593 2681 289 @
6694 2818 484 "^3Village Tower"
