/////////////////////////////////////////////////////////
// Map name       Axis Lab                             //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-2823 403 370 "Allied Cabin"
-2831 46 370 @
-3145 385 370 @
-3131 47 370 @
-2864 210 370 @
-2820 191 554 @
-2700 298 370 "Allied Command Post"
-2664 219 553 "Allied MG Nest"
-1930 -3266 284 "Allied Side"
-1351 -3036 262 @
-826 -2765 326 @
-209 -2427 267 @
324 -2242 226 @
944 -2023 217 @
1369 -1803 214 @
1816 -1525 268 @
2262 -1159 330 @
2560 -620 284 @
2706 -259 284 @
3005 -263 319 @
2584 -3927 242 @
-1008 2602 508 "Axis Barracks"
-1018 2240 508 @
-1028 2062 508 @
660 2594 508 "Axis Command Post"
-1012 2186 772 "Axis MG Nest"
-232 3010 724 "Back Door"
-110 3248 712 "Back Door Cliff"
156 3083 868 "Back Door Ladder"
247 3125 557 @
284 3168 246 @
-1276 3076 285 "Back Path"
-501 3315 210 @
349 3327 214 @
877 3147 268 @
1268 2821 333 @
1281 2451 433 @
-1816 2913 331 @
-2335 2482 326 @
-2776 2718 365 @
-811 391 272 "Basement"
-111 393 273 @
82 302 288 @
-431 397 272 @
-688 445 272 @
-15 462 272 @
365 1793 508 "Bathroom"
675 2049 508 @
389 1948 140 "Bio Lab"
432 1651 140 @
167 1669 140 @
179 1067 348 "Boardroom"
159 1403 348 @
429 1414 348 @
949 1404 348 @
690 1053 348 @
503 951 176 "Boardroom Stairs"
691 973 332 @
906 -1829 236 "Bridge"
770 -1473 236 @
615 -1063 236 @
461 -635 236 @
-692 1959 844 "Bunker Entrance Hallway"
-801 2170 772 @
-874 2428 773 @
-687 2611 772 @
-382 2190 772 @
-423 2862 773 @
-563 2599 772 "Bunker Entrance Office"
-290 2641 804 @
-385 2337 772 @
614 2704 964 "Cellar Entrance Corridors"
357 2840 916 @
285 2183 892 @
2559 973 136 "Crashed Plane"
-259 2636 508 "Dining Room"
-890 2599 508 @
-884 2416 508 @
-888 2231 508 @
-680 2162 508 @
-271 2183 628 @
-1027 2426 768 "Elevator"
-1016 2437 1168 @
-1016 2422 512 @
-1016 2422 140 @
-1168 2447 772 "Elevator Generator"
-329 1951 140 "Explosives Lab"
-383 1651 140 @
-99 1669 140 @
-813 1768 844 "Forward Bunker"
-683 1860 844 @
-740 1600 892 "Forward Bunker MG Nest"
-2680 91 370 "Health and Ammo Cabinets"
-494 1988 508 @
544 2337 149 "Heavy Water"
181 2940 1116 "Hill Top"
-237 3057 1103 @
-631 2820 1128 @
-1002 2586 1132 @
-1268 2578 1098 @
-1384 2457 1094 @
-1403 2245 1098 @
-1261 2146 1168 @
-987 2132 1168 @
-540 2231 1168 @
-534 2715 1168 @
-514 2474 1168 @
556 2213 1138 @
580 2711 1099 @
158 2617 1158 @
166 2311 1134 @
249 2201 1122 @
-83 1876 1117 @
321 1944 1117 @
859 2511 1047 @
-1876 2275 1095 @
-1383 1914 1100 @
-1031 1808 1106 @
-715 1741 1096 @
-1265 2472 1168 "Hill Top Cabin"
-1241 2250 1168 @
-972 2254 1168 @
-639 2261 1160 @
-636 2730 1168 @
-877 2724 1168 @
-901 2432 1168 @
-675 2488 1168 @
-1269 2361 1288 "Hill Top Cabin Attic"
-997 2360 1288 @
-945 2577 1342 "Hill Top Cabin Roof"
-769 2749 1476 @
-536 2738 1335 @
-551 2230 1339 @
-1293 2162 1330 @
-974 2180 1336 @
-611 2474 1369 @
-1300 2465 1395 @
-949 2370 1464 @
277 2605 1144 "Hill Top Stables"
282 2321 1144 @
555 2607 1144 @
422 2503 1348 @
-1431 1665 883 "Hillside"
-751 1478 900 @
-1102 1551 881 @
-342 1466 898 @
111 1561 929 @
479 1657 866 @
942 1841 814 @
1316 2170 464 @
1792 2030 291 @
1829 1587 292 @
1835 1138 309 @
1801 530 290 @
1280 209 450 @
1272 -145 262 @
984 -321 264 @
421 -450 241 @
-205 -676 224 @
-961 -1014 225 @
-1511 -1477 257 @
-1943 -1921 296 @
-2599 -2372 310 @
-2527 -1408 369 @
-2017 -822 576 @
-1821 -359 562 @
-1709 88 646 @
-1850 508 683 @
-2107 915 569 @
-2489 1366 462 @
-3112 1644 341 @
-2405 2010 360 @
-3051 2447 487 @
818 892 670 @
98 674 644 @
322 201 509 @
1012 330 527 @
-544 1929 140 "Lab Hallways"
-539 1645 140 @
-523 1469 140 @
-353 1508 140 @
-127 1505 140 @
33 1503 140 @
28 1657 140 @
213 1498 140 @
472 1502 140 @
626 1515 140 @
615 1676 140 @
600 1916 140 @
186 2844 724 "Lobby"
185 2331 724 @
-98 2333 688 @
-92 2747 724 @
-88 2648 724 @
82 2202 832 "Lobby Balcony"
-86 2191 832 @
-925 2190 140 "Main Entrance to the Nuke"
-992 2084 348 "Main Lab Barracks"
-985 2307 348 @
-995 2612 348 @
-325 2046 140 "Main Lab Hall"
-539 2056 140 @
-705 2073 140 @
-879 2030 176 @
-877 2422 140 @
-888 2599 140 @
394 2048 140 @
625 2046 140 @
909 2057 140 @
757 2072 140 @
664 2345 148 @
553 2235 148 @
452 2323 148 @
544 2479 148 @
-288 2057 348 @
-852 2059 348 @
-891 2626 348 @
-233 2637 348 @
252 2624 348 @
184 2643 508 @
-142 2626 508 @
899 2049 348 @
341 2091 348 @
607 2068 348 @
-510 2071 348 @
852 1438 140 "Medical Lab"
513 1068 140 @
32 1337 140 @
-794 1461 140 @
196 1309 140 @
472 1320 140 @
668 1312 140 @
-95 1294 140 @
-355 1290 140 @
-611 1296 140 @
-859 1927 140 "Medical Lab Storage"
-701 1902 132 @
-714 1570 140 @
857 1550 140 "Morgue"
766 1904 140 @
777 1697 140 @
-993 2607 140 "Nuke Office"
-1133 2206 68 @
895 1943 348 "Offices"
914 1508 348 @
427 1508 348 @
125 1563 348 @
-846 1928 348 @
-258 1940 348 @
310 1833 348 @
339 1940 348 @
626 1928 348 @
-515 1919 348 @
-2524 81 382 "Outside Allied Cabin"
-2527 364 368 @
-2663 497 357 @
-2835 518 338 @
-3121 518 321 @
-3248 377 325 @
-3250 67 327 @
-2839 -66 354 @
-3130 -82 322 @
-2653 -64 363 @
-2595 -1006 393 @
-2176 63 496 @
-2739 964 349 @
-3221 1196 336 @
-2257 485 519 @
304 2642 508 "Radio Room"
306 2320 508 @
672 2314 508 @
488 2559 508 @
-2736 4032 137 "River"
-2467 3754 122 @
-3365 3323 85 @
-2699 3333 103 @
-1806 3553 108 @
-1023 3738 103 @
-112 3822 94 @
664 3710 105 @
1395 3466 96 @
1961 2942 100 @
2289 2187 113 @
2365 1353 99 @
2302 567 81 @
2030 -38 96 @
1609 31 128 @
1629 -651 104 @
600 -1042 78 @
785 -1433 78 @
1242 -994 112 @
148 -1471 88 @
-452 -1785 91 @
-1155 -2184 87 @
-1675 -2498 81 @
-2138 -2768 101 @
538 2376 1104 "Root Cellar"
379 2393 964 @
601 2580 964 @
1415 76 153 "Sewers"
781 175 158 @
35 273 156 @
-111 339 162 @
-785 339 162 @
-450 285 132 @
1101 2182 530 "Side Entrance Boulder"
-134 2167 640 "Side Entrance Corridor"
674 2195 508 @
924 2183 520 @
307 2173 618 @
419 2289 1308 "Sniper Window"
-125 2017 608 "Stairwell"
199 1848 352 @
34 1810 140 @
166 2007 352 @
-349 956 489 "Storage Stairs"
-683 562 297 @
-13 561 297 @
421 1340 508 "Storages"
367 1682 508 @
-66 1213 508 @
-345 1069 508 @
-1039 1930 508 @
-878 2041 508 @
-655 2040 508 @
-479 1727 508 @
585 573 624 "Truck Barrier"
-1238 2195 772 "Upper Barracks"
-1177 2610 772 @
-1309 2380 756 @
426 1254 484 "Ventilation Shaft"
175 1090 484 @
-1022 2326 672 @
-568 2031 696 @
-2987 4212 142 "Waterfalls"
2910 242 287 "Wrong Way!"
2968 833 303 @
2959 1458 274 @
2945 2158 369 @
2748 2788 318 @
2433 3372 298 @
2012 3883 266 @
1355 4183 332 @
699 4266 319 @
-37 4348 246 @
-850 4313 304 @
-1563 4112 339 @
-2152 3979 334 @
-2600 4347 293 @
