/////////////////////////////////////////////////////////
// Map name       AxS Assault B3                       //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-867 -1079 1465 "Allied Area"
1507 480 1583 @
227 1462 1853 @
-1157 1797 1392 @
-1196 -618 1450 @
-1489 -883 1469 @
1179 -879 1536 "Allied Spawn"
1189 -1302 1536 @
1627 -1292 1536 @
1610 -877 1536 @
-1209 -1101 1448 "Allied Supply Station"
-1521 6212 1400 "Axis Forward Spawn"
-6844 -1257 904 "Axis Spawn"
-6851 -1071 904 "Axis Spawn Tunnels"
-6457 -720 904 @
-7230 -584 904 @
-6438 -273 1168 @
-1514 4452 1392 "Cave"
-2064 5554 1392 @
-2160 4824 1392 @
-4726 5932 1380 "Central Area"
-4758 4174 1628 @
-6904 4046 1322 @
-7372 4600 1327 @
-7360 5198 1314 @
-6484 7414 1299 @
-6214 7175 1359 @
-5508 6751 1460 @
-5400 7444 1295 @
-5160 7435 1321 @
-4926 7430 1343 @
-4606 7440 1448 @
-4566 6669 1439 @
-5014 6661 1384 @
-5379 6660 1463 @
-5774 5283 1634 @
-5497 7058 1393 @
-5945 7180 1371 @
-6842 4416 1328 @
-7153 4780 1344 @
-6501 4752 1390 @
-6807 5052 1485 @
-5147 7295 1424 "Command Post"
-5408 7310 1424 "Command Post House"
-4894 7310 1424 @
-4589 7315 1424 @
-5352 7320 1632 @
-4574 6852 1632 @
-5085 7104 1536 @
-5400 6783 1424 @
-5002 6772 1424 @
-4597 6775 1424 @
-5277 7080 1424 @
-5397 7082 1424 @
-7966 157 1184 "Depot Door #1"
-8957 -828 1184 "Depot Door #2"
-6925 1975 1344 "Depot Tunnel"
-6943 3621 1344 @
-8485 -1173 1184 "Depot Yard"
-8493 -454 1184 @
-8408 -362 1184 @
-8001 -363 1184 @
-7583 -360 1184 @
-7492 -446 1184 @
-7487 -1175 1184 @
-7489 -838 1184 @
-8523 -812 1184 @
-8843 -1191 1184 @
-8843 -489 1184 @
-8888 -55 1184 @
-8368 124 1192 @
-7997 -76 1184 @
-7602 36 1184 @
-7178 58 1184 @
-7055 -56 1184 @
-7131 -580 1184 @
-7099 -1150 1184 @
-6939 66 1504 "East Depot Tower"
-7067 186 1504 @
-6942 -41 1440 "East Depot Wall"
-6952 -585 1440 @
-6960 -1156 1440 @
-1358 -1092 1448 "Health and Ammo Cabinets"
-8763 186 1440 "Main Depot Wall"
-8367 192 1440 @
-7964 190 1440 @
-7165 195 1456 @
-7609 177 1440 @
-1157 2967 1392 "Main Door"
1176 -769 1532 "Outside Allied Spawn"
1607 -753 1559 @
1011 -861 1562 @
-6776 -1153 1184 "Outside The Depot"
-6763 -528 1184 @
-6454 -715 1200 @
-6821 -62 1184 @
-7192 307 1184 @
-6935 490 1184 @
-7632 358 1184 @
-7924 478 1184 @
-8353 269 1192 @
-8741 306 1184 @
-9112 -50 1184 @
-9158 -505 1184 @
-9145 -1157 1212 @
-9300 -834 1184 @
-8944 934 1184 @
-8719 1663 1236 @
-6926 1700 1312 @
-6437 -137 1184 @
-5525 7335 1321 "Radar Station"
-6243 7377 1376 @
-5926 7326 1376 @
-1384 4421 1392 "Service Tunnel"
-1528 6110 1392 @
-2044 5691 1392 @
-1390 5591 1392 @
-2135 6116 1392 @
-2874 5850 1448 @
-1200 4912 1392 @
-1177 3742 1392 @
-4180 5896 1392 @
-1155 2587 1392 "Service Tunnel Entrance"
-1197 2221 1392 @
-7378 4870 1331 "Side Door"
-7018 4781 1344 "Side Door Spawn Bunker"
-6838 4527 1344 @
-6877 4725 1216 @
-7466 4670 1344 "Side Entrance"
-7769 4672 1344 @
-7753 5201 1344 @
-7475 5173 1344 @
-7639 4869 1346 @
-7724 4910 816 "Side Entrance Tunnel"
-7707 3412 816 @
-7747 2047 816 @
-8905 2002 816 @
-8898 1141 816 @
-8933 1054 1200 @
-8003 -511 1283 "V2 Gun Control"
-8026 -704 1296 "V2 Rocket Platform"
-7803 -560 1283 @
-7589 -484 1283 @
-7598 -1213 1283 @
-8379 -1162 1283 @
-8369 -468 1283 @
-8228 -560 1283 @
-7584 -834 1283 @
-8381 -818 1283 @
-8884 191 1504 "West Depot Tower"
-8986 66 1504 @
-8987 -29 1440 "West Depot Wall"
-8990 -487 1440 @
-8987 -834 1440 @
-8975 -1171 1440 @
