/////////////////////////////////////////////////////////
// Map name       Barrocas Base Beta8                  //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 27                //
// Last edited    26-08-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-240 2414 340 "^1Allied Gold"
-2162 2477 368 "^1Assault Ramp"
-2162 2477 65 @
-2122 2906 185 @
2539 -1766 70 "^1Command Post"
1388 -358 69 "^1East Axis Gate"
-835 2597 352 "^1Wall"
-1168 926 73 "^1West Axis Gate"
-1743 -2137 81 "^2Allied Spawn"
-1495 -2210 81 @
-1495 -1588 81 @
-1918 -1942 81 @
-1971 -1588 81 @
1844 1906 65 "^2Axis Spawn"
1473 2216 65 @
1088 1906 65 @
261 -1238 65 "^3Allied MG42 Nest"
-661 -1215 67 "^3Allied Mess Hall Barracks"
-661 -1635 67 @
14 -1635 67 @
1134 651 356 "^3Ammo Cabinets"
-492 2100 460 "^3Antenna"
-224 -1238 266 "^3Barracks Roof"
-661 -1215 206 @
-662 -1635 227 @
14 -1635 227 @
1088 1832 65 "^3Base Courtyard"
999 1912 178 @
-1930 2095 65 @
-1866 2094 159 @
-1967 978 65 @
-1501 978 65 @
-1163 1198 70 @
-906 978 111 @
-569 1010 233 @
16 988 70 @
937 999 81 @
1400 1144 65 @
1875 978 173 @
1004 2571 65 @
489 2738 65 @
3 2757 65 @
117 2403 65 @
-493 1664 65 @
-1485 2348 65 @
-985 1694 65 @
-1070 1767 65 @
-66 1699 65 @
13 1769 65 @
251 1952 207 @
486 1948 65 @
-1274 2155 65 @
1845 1833 65 @
251 1952 65 "^3Base Courtyard MG42 Nest"
-571 751 380 "^3Base Guard Tower"
-435 467 406 @
-571 751 580 "^3Base Guard Tower Roof"
-433 472 580 @
-1764 2516 356 "^3Base MG42 Nest"
-835 2597 210 "^3Base Mess Hall"
-240 2414 210 @
-495 1815 210 @
-985 1769 210 @
-65 1768 210 @
-803 2147 205 @
1020 2990 520 "^3Base Rooftops"
484 2849 512 @
3 2989 520 @
3 2805 512 @
1843 2784 616 @
1473 2973 580 @
1555 2577 553 @
