/////////////////////////////////////////////////////////
// Map name       Base12 B6                            //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    13-02-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-2654 590 888 "Allied Bunker"
-3211 630 1136 @
-3574 996 1136 @
-3576 1476 780 @
-3204 608 888 @
-2913 569 936 @
-3620 955 768 @
-2976 1339 705 "Allied MG42"
2237 483 1064 "Axis Bunker Office"
1973 275 1112 @
1594 236 1108 @
1629 -37 1112 @
2205 17 1144 @
1863 -31 1144 @
1603 720 1064 "Axis Second Spawn"
2014 1043 1064 @
1953 509 1064 @
723 3726 847 "Base Courtyard"
257 3726 898 @
401 3453 810 @
165 3093 808 @
356 2720 798 @
576 3033 788 @
1160 3044 767 @
1332 2706 754 @
1102 2350 783 @
554 2361 851 @
1556 2157 783 @
2228 2499 940 @
2162 2111 834 @
2443 3099 868 @
3 3616 884 @
27 2599 896 @
1408 3899 851 @
2050 3795 867 @
1527 3784 828 @
236 2291 860 @
283 2221 1052 @
831 2097 892 @
1560 1864 808 "Base Door"
-143 3101 844 "Base Gate"
-92 3093 1040 "Base Wall"
-94 3582 1040 @
-82 2597 1040 @
-89 2259 1040 @
1759 1378 808 "Bunker Foyer"
1327 1371 808 @
2360 2481 1004 "Bunker Terrace"
1560 1887 1064 @
2152 1855 1064 @
2490 2103 1004 @
1114 1952 1064 @
803 1901 1064 @
2483 2503 1004 @
2114 1061 1064 "Bunker Terrace Hallway"
2150 1756 1064 @
2161 1413 1064 @
2892 2932 868 "Command Post"
2683 3095 868 @
3059 2762 876 "Command Post Corridor"
2503 2671 1004 @
2895 2676 876 @
2524 343 1004 "East Barracks"
2186 -3 824 "East Bunker Hallway"
1886 1377 808 @
2124 1067 824 @
2205 624 824 @
2217 1361 824 @
2199 477 824 @
2033 225 824 @
2633 2286 1004 "Fence"
840 4534 1052 "Forward Bunker"
627 4127 1052 @
243 4124 1052 @
469 4835 1052 @
609 4477 1052 @
-88 4004 1148 @
647 4311 1052 @
705 3709 1052 "Forward Bunker Stairs"
398 3710 928 @
-91 3848 1148 "Forward Bunker Terrace"
252 3932 1088 @
640 3928 1052 @
815 4135 1052 @
864 4391 1052 @
1389 4089 928 @
389 3848 1052 @
2047 3912 928 @
1550 3908 928 @
2113 -1158 824 "Garage"
2124 -1554 824 @
2482 -986 926 @
2473 -1285 824 @
2102 -1164 1092 "Garage Roof"
2483 -1015 1092 @
2123 -1524 1092 @
2510 -1284 1140 @
-1623 2939 888 "Health and Ammo Cabinets"
2652 353 1004 @
582 4835 1052 "Keycard Office"
810 4685 1052 @
-2056 2444 817 "Near the Hut"
-1565 2521 796 @
-1726 2939 852 @
-1454 2759 888 @
-1634 2742 840 @
-1313 2857 856 @
-1305 3172 861 @
-1413 3276 904 @
-1639 3272 835 @
-1730 3141 883 @
-871 2669 840 @
-3446 1477 756 "Outside Allied Bunker"
-3195 766 826 @
-3462 953 804 @
-3174 1352 710 @
-2877 760 801 @
-2460 782 791 @
-2895 1599 713 @
-2739 1353 718 @
-2602 1706 747 @
-2522 2044 795 @
-3507 1965 723 @
-196 2604 845 "Outside Base Wall"
-227 2234 941 @
-186 3585 895 @
-224 3863 1007 @
-582 3306 874 @
1142 -928 876 "Prototype Rocket"
-420 3045 850 "Road to Base"
-592 2645 858 @
-785 2332 864 @
-1164 2278 821 @
-1550 2265 785 @
-1913 2180 789 @
-2210 1982 789 @
-2321 1658 766 @
-2477 1267 751 @
-2658 812 787 @
2174 -147 824 "Rocket Yard"
1287 -137 824 @
1263 -1498 824 @
1546 -926 824 @
1969 -1157 824 @
1994 -1560 824 @
2194 -739 824 @
2484 -844 926 @
1629 -37 824 @
1863 -31 824 @
-666 1633 860 "Side Entrance"
666 1896 1064 "Side Entrance Corridors"
233 2182 860 @
-404 1622 860 @
556 2710 780 "Storage Shed"
1132 2729 780 @
-1448 2860 888 "Supplies Hut"
-1653 3134 888 @
-1418 3199 892 @
2657 -1281 1140 "Upper East Hallway"
2820 -992 1108 @
2778 357 1004 @
2823 -837 1004 @
2906 2037 1004 @
3033 1111 1004 @
1208 1382 808 "West Bunker Hallway"
1164 938 1064 @
1489 697 1064 @
1298 -8 824 @
1603 484 1045 @
-2162 1215 748 "Woods"
-2096 1658 756 @
-1992 1848 763 @
-1808 1966 763 @
-1480 2029 766 @
-1124 1994 798 @
-746 2049 877 @
-879 1637 845 @
