/////////////////////////////////////////////////////////
// Map name       Base 47                              //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
540 -2342 108 "Allied Spawn"
511 -2083 108 @
701 -2075 108 @
947 -2083 108 @
931 -2355 108 @
709 -2345 108 @
1769 -2624 66 "Allied Spawn Road"
1481 -2627 66 @
1016 -2624 66 @
919 -2473 80 @
590 -2467 80 @
-115 -2627 66 @
-656 -2631 66 @
-1213 -2344 93 @
1104 -2105 80 "Allied Spawn Yard"
1114 -2375 80 @
389 -2361 80 @
367 -2056 80 @
1223 928 352 "Axis Office"
1437 923 352 @
1545 1118 352 @
1547 1326 352 @
1265 1355 352 @
1106 1171 352 @
1709 1773 352 @
1190 1809 352 @
1773 944 352 @
1106 1567 352 @
1110 1316 352 @
1401 720 352 "Axis Office Catwalk"
1392 572 352 @
1107 565 352 @
758 576 352 @
1251 582 352 @
1235 1053 148 "Axis Office Stairs"
1345 952 160 @
1384 1219 256 @
1383 1078 208 @
1233 1108 304 @
1230 1232 256 @
1203 931 160 @
1190 1789 80 "Axis Spawn"
1143 1566 80 @
1146 1274 80 @
1132 986 80 @
1228 850 80 @
1531 953 80 @
1376 1094 80 @
1390 1274 80 @
1709 886 96 @
1362 852 80 @
1638 1654 80 @
-1231 -724 73 "Base 47 Entrance Tunnel"
-1221 -1350 94 @
-347 326 352 "Base 47 Radar"
-717 393 352 @
-539 266 352 @
-594 461 352 @
-1209 -420 66 "Base 47 Yard"
-1486 -596 64 @
-1550 -292 64 @
-1554 -447 64 @
-1523 46 64 @
-1415 367 66 @
-1572 701 64 @
-1602 1091 65 @
-2055 1089 65 @
-1552 1527 64 @
-1173 1670 66 @
-1080 1339 65 @
-821 1344 66 @
-575 1349 65 @
-518 1540 64 @
-516 1772 64 @
-304 1786 64 @
-306 1458 64 @
-110 1344 65 @
214 1341 65 @
485 1432 64 @
520 1754 64 @
968 1818 64 @
970 1516 72 @
986 1202 64 @
957 846 66 @
982 535 65 @
-574 1026 66 @
-198 1037 64 @
-127 660 64 @
91 623 73 @
113 225 100 @
-93 195 64 @
-143 -74 64 @
-471 -47 66 @
-719 -48 64 @
-1006 130 64 @
-996 458 64 @
-975 820 72 @
-925 -493 64 @
-571 -573 64 @
-209 -581 64 @
73 -456 64 @
225 -582 64 @
530 -555 66 @
886 -568 66 @
982 -361 64 @
983 64 65 @
204 -9 64 @
487 18 64 @
719 83 64 @
746 430 65 @
722 685 64 @
514 900 64 @
197 881 64 @
25 415 288 @
-310 1617 224 "Base Radio Transmitter"
-533 1614 224 @
-321 1794 224 @
-536 1799 224 @
-1964 1074 368 "Command Building"
-2696 307 368 @
-2418 653 352 @
-2511 414 352 @
-1746 1077 384 @
-1657 1221 368 @
-1672 1361 368 @
-1977 1350 368 @
-2079 760 352 @
-1896 621 352 @
-1878 425 352 @
-2304 407 352 @
-2560 -348 352 @
-2457 162 352 @
-2115 145 352 @
-1866 211 352 @
-2685 653 352 @
-2701 -81 352 @
-2450 -129 352 @
-2002 1472 368 "Command Building Hallway"
-2428 1474 364 @
-2197 1656 292 @
-1767 1686 232 @
-1745 1814 232 @
