/////////////////////////////////////////////////////////
// Map name       Base Race                            //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 30                //
// Last edited    13-04-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-590 -3304 69 "^1Axis Armory Pad"
1025 -2514 69 "^1Axis Assault Tower Pad"
-858 3475 72 "^1Axis Construction Materials"
968 3447 72 @
807 -3816 69 "^1Axis Engineering Pad"
839 -2238 69 "^1Axis Forward Wall Pad"
-454 -2231 69 "^1Axis Gate Bunker Pad"
-1337 -2752 69 "^1Axis Left Wall Pad"
438 -3229 69 "^1Axis Medical Ops Pad"
1352 -3125 69 "^1Axis Right Wall Pad"
-405 -4049 69 "^1Axis Spawn Pad"
113 -3483 69 "^1Axis Tactical Ops Pad"
1453 -1957 -71 "^1Axis Underbase Door"
1444 -2081 -71 @
-672 -1963 -79 "^1Axis Underbase Wall"
-384 -1932 -79 @
-192 -117 64 "^2Central Fortress"
164 -112 64 @
496 179 64 @
357 626 64 @
74 624 64 @
-256 306 64 @
-72 74 320 @
221 444 320 @
258 4379 64 "^3Allied Base"
245 4178 64 @
379 4052 64 @
534 4043 64 @
651 4063 64 @
774 4166 64 @
776 4366 64 @
210 4000 64 @
121 4074 64 @
38 4001 64 @
122 3919 64 @
-203 3825 64 @
-95 3774 64 @
-281 3744 64 @
-199 3664 64 @
-325 3952 16 @
-470 4316 64 @
-556 4232 64 @
-638 4340 80 @
-1030 3632 64 @
-1112 3720 64 @
-1197 3646 64 @
-1122 3533 64 @
-776 3113 64 @
-861 3018 64 @
-772 2941 64 @
-682 3012 64 @
-596 2836 64 @
-689 2746 64 @
-606 2667 64 @
-507 2758 64 @
-1351 4183 64 @
-1318 3898 64 @
-1308 3601 64 @
-1319 3334 64 @
-1335 3065 64 @
-1307 2807 64 @
686 2644 64 @
598 2730 64 @
692 2837 64 @
769 2748 64 @
1587 3181 64 @
1662 3250 64 @
1592 3357 64 @
1498 3275 64 @
1448 3974 128 @
1344 4050 128 @
-961 3945 -14 @
-953 3724 64 @
-980 3476 64 @
-846 3595 64 @
-747 3475 64 @
-860 3341 64 @
-218 3332 64 @
563 3146 64 @
952 3332 64 @
1086 3448 64 @
960 3594 64 @
819 3450 64 @
-1186 2692 64 @
-249 2675 64 @
-1093 3157 64 @
-1175 4318 64 @
1530 4315 64 @
1650 4174 64 @
1651 3801 64 @
1652 3498 64 @
1654 3059 64 @
1654 2822 64 @
741 3818 64 @
821 3724 64 @
922 3820 64 @
805 3926 64 @
25 2661 64 @
165 2658 64 @
330 2654 64 @
-875 2696 64 @
1692 2634 368 @
1192 2795 64 @
-1299 2649 368 @
1700 4317 80 "^3Allied Base East Door"
1823 4321 64 @
-1343 4320 80 "^3Allied Base West Door"
-1474 4320 64 @
2186 796 64 "^3Allied Outpost"
651 4465 64 "^3Allied Spawn"
550 4562 64 @
359 4557 64 @
364 4363 64 @
365 4177 64 @
504 4168 64 @
653 4165 64 @
655 4360 64 @
900 2621 -93 "^3Allied Underbase"
896 3228 -155 @
1263 3421 -155 @
1249 3897 -155 @
1465 4158 -155 @
1527 3455 -155 @
494 3515 -155 @
304 2975 -155 @
-131 3233 -155 @
-346 3878 -159 @
-296 3554 -155 @
-532 3144 -155 @
-539 2899 -155 @
-950 3702 -97 @
-950 3181 -155 @
-946 2887 -155 @
-975 2627 -155 @
-1198 2742 -155 @
-1218 3125 -155 @
983 -2956 64 "^3Axis Base"
1116 -3102 64 @
1239 -2944 64 @
1088 -2819 64 @
-837 -2933 64 @
-720 -3079 64 @
-579 -2943 64 @
-712 -2802 64 @
-529 -3857 64 @
-515 -3657 64 @
-407 -3554 64 @
-265 -3558 64 @
-122 -3562 64 @
-28 -3668 64 @
-39 -3851 64 @
121 -3578 64 @
209 -3479 64 @
121 -3383 64 @
10 -3484 64 @
1397 -2133 64 @
1130 -2146 64 @
846 -2159 64 @
503 -2179 64 @
746 -2244 64 @
846 -2347 64 @
944 -2240 64 @
1016 -2425 64 @
921 -2516 64 @
1018 -2618 64 @
1115 -2520 64 @
1344 -3015 64 @
1441 -3109 64 @
1351 -3211 64 @
1254 -3116 64 @
1552 -3678 64 @
1567 -3340 64 @
1559 -2886 64 @
1559 -2617 64 @
1557 -2285 64 @
