/////////////////////////////////////////////////////////
// Map name       Beer Run (B7a)                       //
// Locations by   Ifurita                              //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    14-11-2008                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
3918 2696 -232 "^1Axis Controls"
-1026 1640 -296 "^1Keg Vaults"
-610 1448 -296 "^1Power Switch"
-2074 -2016 -144 "^3Allied Spawn"
-1450 -2872 -144 @
-1530 -2080 -144 @
-810 -1464 -104 "^3Bar"
974 2696 -120 "^3Barracks"
206 2552 -120 @
1502 2552 -120 @
2222 2552 -120 @
2718 2552 -120 @
-306 2600 -120 "^3Barracks Stairwell"
1550 2056 -344 "^3Brewhouse"
1550 1304 -344 @
1054 840 -344 @
686 1784 -344 @
1534 1560 40 "^3Brewhouse Catwalk"
1534 1864 40 @
1534 2216 40 @
1198 2216 40 @
878 2216 40 @
1134 1880 -200 "^3Brewhouse Tanks"
1134 1528 -200 @
1134 1160 -200 @
614 -624 -296 "^3Cave-In"
2654 2184 -344 "^3Cold Filtering"
2782 1896 -344 @
1902 2040 -344 @
3302 968 -296 "^3Crater"
3102 1400 -296 "^3Loading Dock"
2862 1056 -296 @
3878 1056 -296 @
3526 528 -296 @
2982 568 -296 @
2262 1096 -296 "^3Lower Main Hall"
1838 1312 -296 @
2630 1056 -296 @
-690 -280 -104 "^3Lower Office"
-1074 -432 -104 @
-818 -760 -104 @
-810 -1064 -104 @
-1914 672 -144 "^3Main Door"
3742 2072 -272 "^3North Halls"
4286 2408 -272 @
4518 1904 -272 @
3926 1888 -272 @
2974 1888 -272 @
3110 1600 -272 @
4134 1064 -272 @
4246 1568 -272 @
3998 1888 -272 @
-466 -256 48 "^3Office Stairs"
-274 -80 -312 @
-258 -560 -128 @
3614 2744 -232 "^3Outer Controls"
3374 2360 -232 @
3918 2296 -232 @
-1530 -664 -296 "^3Ramp"
-1538 -160 -232 @
-1538 336 -144 @
-1114 272 -296 "^3Receiving"
-506 144 -296 @
-490 -632 -296 @
-1058 -1144 -296 @
-554 -1160 -296 @
-986 -656 -296 @
1054 696 -296 "^3Sandy Hallway"
222 672 -296 @
606 312 -296 @
-194 -632 -296 @
-818 -1712 48 "^3Side Door"
-106 1968 -296 "^3Small Keg Room"
-850 1008 -296 "^3Storage"
-578 1152 -296 @
-730 1680 -296 @
-914 1280 -296 @
3878 608 -296 "^3Truck Doors"
2622 800 -104 "^3Upper Main Hall"
1854 1568 -32 @
2022 1024 -32 @
-1538 -256 48 "^3Upper Office"
-1042 -304 48 @
4190 2488 -104 "^3Vent"
4254 2328 -104 @
-810 -1464 48 "^3Warehouse"
-818 -912 48 @
-1370 -736 48 @
94 1048 -296 "^3Wash Room"
-946 640 -296 "^3West Hall"
-2402 392 -144 "^3West Loading Dock"
-2434 -88 -144 @
-2426 -1048 -144 @
