/////////////////////////////////////////////////////////
// Map name       Braundorf                            //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 26                //
// Last edited    14-12-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1916 1461 128 "^1Bunker Controls"
4766 -238 352 "^1Command Post"
2806 -2103 192 "^1Main Gate"
2837 -1832 192 @
5507 -600 320 "^1Side Door"
4238 904 128 "^1Side Gate"
4480 897 160 @
2581 -5416 400 "^2Allied Spawn"
2571 -5205 400 @
2845 -5155 400 @
2658 -5141 400 @
2696 989 64 "^2Bunker Spawn"
2694 1317 64 @
4764 -413 352 "^2Command Post Spawn"
4938 -306 352 @
4982 -61 352 @
3206 -2466 240 "^2Factory District Spawn"
3770 -2214 320 @
3778 -2471 240 @
1654 1368 320 "^3Bunker Controls Catwalk"
1658 1720 320 @
2189 1746 320 @
2188 1359 320 @
1926 845 128 "^3Bunker Controls Room"
1909 1097 128 @
2196 1176 272 @
1638 1158 256 @
1469 -306 384 "^3Bunker Entrance Terrace"
1166 -303 384 @
618 -299 384 @
1940 1234 -383 "^3Bunker Equipment"
1273 378 128 "^3Bunker Lobby"
1276 112 128 @
1141 382 320 "^3Bunker Lobby Catwalk"
1277 390 320 @
1443 387 320 @
1599 389 128 "^3Bunker Lower Corridor"
1924 658 128 @
1283 -376 128 "^3Bunker Main Entrance"
2693 1456 64 "^3Bunker Rear Corridor"
3197 1598 304 @
2998 895 320 "^3Bunker Side Corridor"
2682 1427 320 @
2365 1403 320 @
1610 377 320 "^3Bunker Spawn Corridor"
2698 364 64 @
3196 710 304 @
3192 1442 320 "^3Bunker Tanks Room"
3733 1416 320 @
3782 909 128 @
3187 873 320 @
4141 1406 320 "^3Bunker Team Door"
631 -57 336 "^3Bunker Upper Corridor"
941 392 320 @
1112 749 320 @
1466 1405 320 @
1240 1796 320 @
5508 -340 352 "^3Command Post Building"
5406 -433 512 @
5351 -242 352 @
5034 109 320 "^3Command Post Path"
4670 873 208 @
4544 1398 320 @
3199 -2691 208 "^3Factory District Arches"
3595 -2693 208 @
3770 -2693 208 @
3386 -3316 208 @
3956 -2160 256 "^3Factory District Rear"
4728 -1859 352 @
3963 -2460 208 @
2417 -2848 192 "^3Factory District Square"
2419 -2488 204 @
2656 -2496 192 @
2808 -2326 192 @
2984 -2686 208 @
1257 -4222 400 "^3Health and Ammo Cabinets"
2613 -4162 256 "^3Loading Bay"
2621 -3419 224 "^3Lower Warehouse"
3209 -3498 224 @
2176 -1614 320 "^3Main Gate Corridor"
2500 -1952 320 @
2834 -1457 192 "^3Main Gate Path"
2588 -1376 192 @
2213 -979 192 @
1733 -1051 152 @
1425 -1006 128 @
1129 -877 128 @
1051 -561 128 @
1310 -548 128 @
2156 -2700 400 "^3Main Gate Terrace"
2157 -2417 400 @
2362 -2387 320 @
2635 -2386 320 @
2623 -2153 320 @
2400 -3032 192 "^3Main Road"
2396 -3431 196 @
2394 -4259 192 @
2420 -4053 192 @
1646 -3890 288 @
1625 -4393 361 @
1620 -5079 384 @
2021 -5043 390 @
1623 -4268 320 @
2485 -3445 512 "^3Main Road Catwalk"
2496 -2935 512 @
2865 -2950 512 @
2495 -3233 512 @
1388 -3821 400 "^3Main Road Terrace"
1396 -4228 400 @
1390 -4633 400 @
1392 -4474 400 @
3716 -3951 208 "^3Shed Square"
3402 -3502 208 @
3960 -3443 96 @
4480 897 352 "^3Side Gate Overlook"
4721 -1668 305 "^3Side Path"
4710 -1205 288 @
5088 -1191 288 @
5506 -1165 288 @
5517 -823 288 @
1968 -2719 400 "^3Storage Corridor"
1805 -3281 400 @
1381 -3657 400 @
2654 -4987 400 "^3The Alley"
2854 -4986 400 @
3211 -4981 400 @
3200 -4456 400 @
3709 -4154 208 @
2437 -5407 400 "^3Town Gate Square"
2450 -5186 400 @
2139 -5075 384 @
1722 -1387 320 "^3Upper Main Gate Path"
1324 -1292 346 @
857 -1036 352 @
646 -568 327 @
2180 -1433 320 @
2628 -3423 512 "^3Upper Warehouse"
