/////////////////////////////////////////////////////////
// Map name       Breakout     )                       //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
4620 7800 160 "Allied Command Post"
378 1263 112 "Axis Command Post"
2867 870 64 "Behind Town Garage"
3192 993 64 @
3189 1428 64 @
3495 1430 98 @
3091 894 65 @
2764 702 73 @
2516 702 82 @
3725 3842 376 "Breakout"
2786 5459 112 "Bunker MG42"
2222 1466 112 "Church"
2199 2063 112 @
1925 2049 112 @
2065 2098 112 @
1914 1460 112 @
2339 2351 64 "Church Alley"
2082 2361 64 @
2312 1298 90 "Church Back Road"
2334 839 64 @
1858 1293 85 @
1670 1213 64 @
1319 1211 64 @
1223 1342 64 @
1215 1992 64 @
809 1450 108 @
1183 1314 64 @
1292 910 64 @
939 795 108 @
856 1995 76 @
686 2449 64 @
2021 1274 65 @
2302 1403 112 "Church Yard"
1805 1394 112 @
1792 2192 112 @
1824 2049 112 @
1814 1471 112 @
1928 2140 112 @
2063 2215 112 @
2207 2141 112 @
2305 2055 112 @
2310 2229 112 @
2299 1706 112 @
1647 1339 82 @
1329 1325 64 @
1318 2013 64 @
1691 2013 71 @
2011 1386 112 @
507 1175 136 "Crypt"
525 1349 136 @
759 1349 136 @
755 1162 136 @
804 1254 112 "Crypt Door"
1067 1065 64 @
713 3985 376 "Embankment"
704 3686 376 @
1214 3985 376 @
1710 3989 376 @
2157 3988 376 @
2566 3987 384 @
2974 3967 380 @
3347 3989 376 @
3395 3686 376 @
3117 3686 376 @
2832 3650 384 @
2369 3665 384 @
1935 3686 376 @
1572 3686 376 @
904 4228 64 "Embankment Assault Ramp"
1255 4085 110 @
737 4093 368 @
1224 2163 64 "Embankment Hill"
1303 2528 161 @
1325 2829 277 @
1277 3165 344 @
1159 3061 300 @
1091 2638 196 @
954 2459 79 @
1393 5123 72 "Health and Ammo Cabinets"
3166 1999 288 @
1524 5330 64 "Near The Shack"
