/////////////////////////////////////////////////////////
// Map name       Bremen B3                            //
// Locations by   Dersaidin                            //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 18                //
// Last edited    10-10-2010                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
2356 2448 312 "^1Command Post"
-2766 1255 160 "^1Flag"
-2943 1402 160 @
641 2492 88 "^1Generator"
1268 90 224 "^1Keycard"
-945 1612 128 "^1Main Gate"
-1565 1953 304 "^1Side Door"
1851 439 120 "^1Truck Barrier #1"
-1336 422 125 "^1Truck Barrier #2"
1447 -52 128 "^1Wooden Barrier"
-2103 -2141 128 "^2Allied Spawn"
-1666 -2144 128 @
534 -635 160 "^2Axis Spawn"
846 -1055 160 @
-3444 1369 160 "^2Flag Spawn"
-3493 1807 160 @
1699 158 128 "^3Alley"
-1765 -813 133 "^3Arches"
-2128 -786 128 @
-2094 -994 122 @
-2467 -1401 128 "^3Back Alley"
2220 1379 88 "^3Basement"
1835 1013 88 @
244 1704 462 "^3Bridge"
528 1966 397 @
1744 2236 396 "^3CP Balcony"
1307 2673 393 @
2056 1882 442 @
1594 2892 264 "^3CP Stairs"
926 667 120 "^3Clock Road"
568 330 120 @
246 -36 120 @
1496 377 188 "^3Clock Tower"
1270 492 188 @
946 271 188 @
2001 2765 312 "^3Command Post"
2017 2310 312 @
926 2204 144 "^3Courtyard"
1206 2499 144 @
1934 1745 144 @
1538 2053 239 @
1728 2230 144 @
1593 1326 144 @
722 1887 144 @
1180 1595 144 @
-2274 1858 128 "^3Flag Rooms"
-2953 1829 160 @
980 -611 128 "^3Gardens"
1242 -989 128 @
1159 -270 128 @
-679 1168 160 "^3Gate Storage"
-1095 1910 480 "^3High Passage"
-2412 -1646 144 "^3Long House"
-1768 -1676 144 @
-456 1890 120 "^3Main Road"
228 1945 120 @
620 1736 123 @
964 1343 122 @
1260 1008 121 @
1565 663 120 @
87 1769 120 @
-396 1375 312 "^3Manner House"
97 1239 312 @
625 1151 312 @
527 1200 136 @
1917 1042 312 "^3Office"
2299 1473 312 @
2536 1182 128 "^3Office Alley"
2122 783 134 @
2350 967 312 @
2036 1637 417 "^3Office Balcony"
-736 -1192 132 "^3Right Road"
-661 -581 129 @
-972 199 128 @
148 2605 152 "^3Ruined House"
-2449 100 144 "^3Ruins"
-2466 326 144 @
-2078 346 144 @
-1864 160 144 @
-2203 711 144 @
-1695 638 144 @
-1995 662 144 @
-2447 936 101 @
-1800 251 304 "^3Ruins High"
-2015 479 304 @
-2335 553 304 @
-2237 842 304 @
-1910 804 304 @
-1592 706 304 @
-1545 366 392 @
-1281 737 120 "^3Ruins Road"
-1279 1212 120 @
-1853 1326 136 @
-1793 450 236 "^3Ruins Steps"
-3192 409 129 "^3Side Arches"
-2541 -1005 128 "^3Side House"
-2787 -662 144 @
-1174 -121 288 "^3Statue"
-557 222 128 "^3Storage"
-171 -336 144 @
-178 -942 160 "^3Storage House"
-3129 -472 131 "^3Truck Exit"
2114 164 120 "^3Truck Road"
2281 -262 128 @
2278 -904 128 @
1902 -945 128 "^3Truck Warehouse"
1845 -580 128 @
1634 -939 128 @
1670 -351 128 @
-1069 -1738 128 "^3Yard"
