/////////////////////////////////////////////////////////
// Map name       Bridges B5                           //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
428 1978 240 "Boathouse Area"
462 2153 300 @
95 2453 264 @
-74 2277 250 @
-35 1842 240 @
85 1714 220 @
310 1555 207 @
465 1750 228 @
1105 2507 276 @
867 2037 206 @
786 1648 213 @
773 1295 224 @
672 675 224 @
373 22 224 @
471 -514 202 @
455 -1097 387 @
477 -1623 480 @
462 -2107 590 @
-61 -2396 262 @
95 -2756 455 @
-395 -2679 289 @
-524 -1824 733 @
-1220 -358 414 @
-721 -16 280 @
-1103 407 566 @
-1223 667 753 @
-1397 833 890 @
-1376 678 1042 @
-1523 685 865 @
1430 -6 878 "Boathouse Bridge"
888 -2 880 @
346 -4 880 @
-265 0 880 @
-776 5 880 @
-1430 -2 880 @
-1395 306 868 @
-1383 673 896 "Boathouse Bridge MG42"
1311 457 832 "Boathouse Bridge Stairs"
1239 1037 640 @
1258 1747 480 @
1218 1342 512 @
297 1940 224 "Boathouse Health Cabinet"
583 -2456 672 "Boathouse Road"
-9 -2427 680 @
-448 -2428 672 @
739 -2331 672 @
723 -1607 613 @
698 -1033 458 @
769 -517 358 @
890 21 352 @
937 659 298 @
997 1302 295 @
1131 2032 293 @
1065 1666 295 @
1234 2370 293 @
748 -2500 752 "Boathouse Road MG42"
2210 -286 864 "Command Post"
2207 -186 864 "North Tunnel"
1647 3 880 @
4197 1153 864 @
4195 1488 864 @
4383 1689 892 @
4085 313 884 @
4093 1487 864 "North Tunnel Spawn"
4091 1151 864 @
-6056 -7983 139 "Nothing To See Here"
-6094 -7371 45 @
-6448 -6569 40 @
-6477 -5115 -104 @
-6445 -4149 -125 @
-6477 -3437 -118 @
-6143 -4592 91 @
-5127 -4345 236 @
-5515 -3898 395 @
8108 3985 466 "Reservoir Area"
8078 3132 449 @
8050 2573 449 @
8276 2018 445 @
8251 1680 445 @
8051 972 448 @
7849 457 436 @
7643 254 430 @
7843 38 424 @
7964 -262 424 @
8416 -1160 450 @
8075 -799 440 @
8019 -1455 443 @
7831 -1930 463 @
9299 -1880 326 @
8511 -2337 303 @
7125 -1980 465 @
6746 -1938 448 @
6423 -1936 448 @
7288 -2812 285 @
7495 -1675 466 @
7482 -1940 439 @
7087 -1702 450 @
6950 -1245 431 @
7250 -890 406 @
6948 -339 411 @
6631 -956 396 @
5983 -1712 435 @
5814 -1427 431 @
5883 -488 434 @
5716 404 437 @
5620 1189 436 @
5525 2049 409 @
5547 2513 409 @
5588 2974 409 @
6377 2529 423 @
6940 2507 441 @
7506 2512 407 @
6681 3594 446 @
8947 1939 594 @
9440 1917 715 @
8810 1599 559 @
8721 1037 655 @
5767 -2503 558 @
5368 4218 622 @
4916 3591 614 @
5536 3389 412 @
5669 3666 420 @
5217 2545 880 "Reservoir Bridge"
5782 2543 880 @
6341 2546 880 @
6975 2548 880 @
7529 2551 880 @
8107 2553 880 @
4404 1952 892 "Reservoir Bridge Access"
5036 2524 892 @
4485 3208 872 @
6950 -920 672 "Reservoir Bunker"
6963 -512 656 @
