/////////////////////////////////////////////////////////
// Map name       Wacht Am Rhein (Beta1)               //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-3711 -66 336 "Allied Lookout"
-3902 -82 336 "Allied Lookout Hallway"
-3908 170 160 @
-4096 -254 160 @
-4094 -10 160 @
-4267 -987 146 "Allied Town Spawn"
-4298 -668 146 @
-3050 -571 220 "Allied Command & Control"
4444 -4719 440 "Axis Headquarters"
4441 -4335 440 @
4532 -4521 296 @
4507 -4257 296 @
4477 -4738 296 @
3627 -4383 295 "Axis Town"
3294 -5539 293 @
2986 -5062 280 @
3588 -5064 280 @
3302 -5395 408 @
3481 -5047 536 @
2952 -5077 536 @
2791 -5076 408 @
3286 -5265 280 @
4414 -4524 293 @
4335 -4330 280 @
4394 -4163 288 @
4349 -4754 291 @
2701 -6066 441 "Axis Town Hills"
2166 -5697 330 @
1744 -5435 350 @
1474 -5012 319 @
1236 -4560 304 @
2199 -4302 357 @
2546 -4301 411 @
2222 -4028 264 @
2570 -5424 282 "Axis Town Road"
2410 -5098 282 @
1977 -4819 282 @
1763 -4269 281 @
2968 -5786 282 @
3294 -5130 280 "Axis Town Supplies"
2610 -5098 297 "Axis Town Trenches"
2401 -4864 305 @
2391 -4525 364 @
2531 -4985 289 @
-1534 -1951 209 "Between Hallways"
4178 -1561 305 "Bridge Road"
4082 -2364 282 @
3194 -2515 282 @
1678 -2500 295 @
2264 -3237 330 @
2520 -2895 343 @
1472 -2985 303 @
1337 -3095 308 @
1341 -3491 291 @
1743 -3309 281 @
4347 -1855 281 @
4361 -2089 290 @
4611 -2246 326 @
4510 -1837 321 "Bridge Road Ruins"
4514 -2018 311 @
-4310 -434 146 "Church Circle Road"
-4253 -122 146 @
-4186 213 146 @
-3647 407 151 @
-3144 316 146 @
-2859 -51 146 @
-2282 -121 146 @
-1528 -142 147 @
-1642 -724 146 @
-1855 -1097 157 @
-1863 -765 168 @
-3208 -45 170 @
-2043 -1513 146 @
-1880 -1691 146 @
-2159 -1985 146 @
-2422 -2067 146 @
-3107 -2237 179 @
-3494 -2231 155 @
-4021 -2043 146 @
-4288 -1169 146 @
-3836 268 152 @
-4043 268 152 @
-4184 -264 146 @
-1902 -1872 360 "Church Lookout"
-1805 -2056 360 "Church Lookout Hallway"
-1690 -2066 194 @
-1787 -1819 194 @
-2530 -707 222 "Church Side Door"
-3048 -1369 220 "Church Stairwell"
-2970 -1441 831 @
-3057 -1325 944 "Church Tower"
-3045 -1441 944 @
-866 1345 167 "Church Town Back Path"
-459 758 186 @
-1117 1308 152 "Church Town Back Road"
-1353 707 145 @
-1596 435 158 @
-2905 638 146 @
-1472 -79 336 "Church Town Balcony"
-1368 543 168 "Church Town Buildings"
-993 -282 168 @
-1413 -30 168 @
-1273 52 328 @
3189 -91 346 "Church Town Road"
2885 -49 346 @
2613 -680 325 @
2556 -1307 282 @
1473 -1593 208 @
1249 -1457 216 @
1054 -1257 207 @
642 -635 165 @
156 -582 207 @
-548 -2059 146 @
-532 -2544 146 @
-616 -3248 146 @
-980 -3331 146 @
-1119 -3960 146 @
-1643 -3342 146 @
-2276 -3221 159 @
-2656 -3530 163 @
-2884 -3443 158 @
-2530 -2922 150 @
-2537 -3142 145 @
-2078 -3166 161 @
-2904 -2837 148 @
-2910 -2428 146 @
-2807 -2087 146 @
-687 -2794 144 @
-933 -3163 146 @
-713 -2430 157 @
-725 -1371 198 @
-723 -1829 188 @
-2510 -3709 183 "Church Town Road Ruins"
-2791 -3632 290 @
-2708 -3701 163 @
-2990 -3448 166 @
-2367 -3055 174 @
-2131 -3064 161 @
-3072 -2832 173 @
-3477 -2356 164 @
-3144 -2371 185 @
2283 509 198 "Church Town Side Path"
2303 151 204 @
1623 1355 290 @
991 203 190 @
-968 -3012 156 "Church Town Taverna"
-843 -2589 156 @
726 141 158 "Church Town Trenches"
340 131 94 @
317 -232 93 @
486 -473 143 @
94 563 115 @
-233 605 224 @
796 -2304 56 "Command Post"
414 -2382 76 "Command Post Bunker"
757 -2477 76 @
644 -2306 64 @
741 -2116 76 @
1080 -1551 208 @
1313 -1591 208 @
1057 -1388 208 "Command Post Bunker MG42"
4376 -1229 376 "Damaged/Fallen Tree"
4173 -1327 346 @
1255 -2761 312 "Forward Bunker"
1539 -2736 312 @
1253 -3042 312 @
1537 -2493 288 @
840 -2056 280 @
585 -2011 280 @
244 -2432 280 @
1202 -2215 280 @
576 -1885 280 "Forward Bunker Barracks"
843 -2191 280 "Forward Bunker Boilers"
588 -2202 280 @
1355 -2881 312 "Forward Bunker MG42"
246 -2559 256 "Forward Bunker Stairs"
396 -2526 124 @
2252 -3862 152 "Frozen River"
1798 -3815 155 @
1398 -3838 166 @
857 -4088 212 @
789 -4755 191 @
3929 -620 372 "Hotel"
4049 -762 372 @
3772 -520 372 @
4159 -788 564 @
3804 -770 564 @
3824 -719 372 "Hotel Entrance"
3049 402 372 "Hotel Town Building"
2872 162 372 @
2404 371 372 @
2447 508 224 @
4293 -932 375 "Hotel Town Road"
3827 -975 346 @
3578 -724 346 @
3560 -372 346 @
3527 121 346 @
3493 655 346 @
3239 409 352 @
-2551 -990 220 "Inside The Church"
-2284 -914 256 @
-2290 -1148 254 @
-2811 -1264 220 @
-3061 -756 220 @
-2831 -600 236 @
-3040 -1216 220 @
-2919 -1352 220 @
-2816 -1609 220 "Main Church Doors"
-2811 -1451 220 @
-2516 -562 239 "Outside The Church"
-2304 -755 224 @
-2063 -1018 216 @
-2326 -1295 223 @
-2487 -1595 211 @
-2800 -1834 148 @
-3050 -1635 213 @
-3218 -1243 221 @
-3239 -783 217 @
-3183 -376 195 @
-3541 -38 202 @
-3509 -1832 175 @
2648 -3263 335 "River Side Path"
2987 -3994 285 @
3427 -4381 287 @
2761 -5071 532 "Sniper Window"
-1312 -3366 146 "Tank Barrier"
1407 -4336 308 "The Bridge"
1744 -3615 296 @
1762 -4027 300 @
1753 -3806 296 @
-762 -2057 226 "Window Defences"
-894 -1826 192 @
-1109 -1952 192 "Window Defences Hallway"
-1104 -1964 382 @
-1309 -1917 382 @
