/////////////////////////////////////////////////////////
// Map name       bastogne                             //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 21                //
// Last edited    02-08-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-1453 939 -1063 "^1Allied Gold"
-1671 923 -1095 "^1Allied Gold Storage"
-1660 679 -1095 @
318 940 -1063 "^1Axis Gold"
141 912 -1095 "^1Axis Gold Storage"
143 690 -1095 @
-1782 -1122 -1151 "^2Allied Spawn"
-13 -1098 -1151 "^2Axis Spawn"
-1962 -1126 -1151 "^3Allied Bunker"
-2009 -874 -1055 @
-1853 -866 -1095 @
-931 -1542 -1151 "^3Ammo Cabinet"
-180 -1112 -1151 "^3Axis Bunker"
-225 -876 -1063 @
-73 -859 -1095 @
-49 -628 -1095 "^3East Trench"
153 525 -1142 @
49 49 -1145 @
-957 1600 -1151 "^3Health Cabinet"
-762 1613 -1151 "^3North Bunker"
-1140 1612 -1151 @
-1736 1330 -1151 @
42 1338 -1151 @
326 1267 -1151 @
-1461 1268 -1151 @
-213 1611 -1151 @
-1533 1614 -1151 @
-344 -1550 -1007 "^3Outdoors"
-144 -1326 -1032 @
-434 -1144 -1041 @
-957 1600 -1007 @
-762 1613 -1007 @
-1140 1612 -1007 @
-1736 1330 -1007 @
42 1338 -1007 @
-931 -1542 -1007 @
-1107 -1549 -1007 @
-731 -1550 -1007 @
-1734 -1457 -1007 @
49 -1452 -1007 @
485 964 -1051 @
463 1265 -1048 @
322 1387 -1044 @
-1334 1267 -1039 @
-1480 1346 -1027 @
-1335 929 -1033 @
-1453 677 -1039 @
336 707 -1039 @
-366 -876 -1033 @
-238 -629 -1039 @
-2176 -875 -1033 @
-2016 -636 -1039 @
-1949 -1371 -1025 @
-1499 -1558 -1007 @
-1526 -1362 -1041 @
-430 686 -1036 @
-2215 683 -1036 @
-1445 497 -1047 @
-1257 -635 -1036 @
514 -615 -1031 @
437 -1096 -1039 @
333 522 -1039 @
447 46 -1039 @
-304 51 -1029 @
-2142 -13 -1029 @
-1360 -3 -1042 @
-2146 1273 -1036 @
-213 1611 -1007 @
-237 1407 -1027 @
249 -1409 -1047 @
-2001 1330 -1041 @
-1345 -1025 -1040 @
-1452 928 -867 @
-1668 912 -807 @
-1486 1261 -850 @
-1786 -1111 -807 @
-1822 -608 -830 @
-1998 -870 -857 @
-207 -874 -853 @
-181 -1121 -840 @
-2 -696 -807 @
152 914 -807 @
305 932 -854 @
-1533 1614 -1007 @
-1107 -1549 -1151 "^3South Bunker"
-731 -1550 -1151 @
-1734 -1457 -1151 @
49 -1452 -1151 @
-344 -1550 -1151 @
-1499 -1558 -1151 @
-1829 -616 -1095 "^3West Trench"
-1645 495 -1143 @
-1733 -7 -1144 @
