/////////////////////////////////////////////////////////
// Map name       Byzantine                            //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-253 -3081 -30 "Allied Gold"
-2950 -3222 -27 "Allied Radar Transponder"
-97 -3143 -27 "Allied Safe"
3593 -1995 64 "Allied Spawn Alley"
4030 -2368 64 @
616 -3951 -31 "Allied Truck"
2997 -2846 64 "Allied Yard"
3144 -3878 64 @
3255 -3979 64 @
3262 -4269 64 @
4468 -3435 64 @
4546 -3507 64 @
4870 -3504 64 @
4964 -3431 64 @
4951 -2477 64 @
4880 -2395 64 @
4565 -2401 64 @
4472 -2478 64 @
4468 -2924 64 @
4960 -2886 64 @
4141 -2359 64 @
2771 -4365 64 @
3178 -4362 64 @
2734 -3877 64 @
2239 -4364 64 @
729 4605 64 "Axis Getaway Truck"
16 3826 221 "Axis Gold"
-2378 3870 68 "Axis Radio Intercept Unit"
-2710 3685 68 "Axis Safehouse"
-2550 3860 68 @
-2511 4150 64 "Axis Safehouse Door"
4819 2382 160 "Axis Spawn Alley"
3515 1827 160 @
127 3637 224 "Axis Vault"
-143 3913 224 @
-156 3721 224 @
3565 2727 164 "Axis Yard"
4556 2846 160 @
4546 3362 160 @
4554 3874 160 @
4638 3948 160 @
5005 3951 160 @
4254 4553 160 @
4997 4544 160 @
3707 4554 160 @
3619 4628 160 @
3618 5008 160 @
3591 4032 160 @
4576 4555 160 @
4643 2783 160 @
5008 2782 160 @
-4847 2973 244 "Bazaar Roofs"
-4923 789 244 @
-4298 669 244 @
-4667 48 244 @
-4768 -1447 244 @
-4797 -2160 244 @
-4280 -2158 244 @
-3976 -2306 304 @
-3627 -2306 304 @
-2617 -2139 244 @
-2584 -1232 244 @
-2419 -1200 304 @
-2429 -923 304 @
-3101 -877 244 @
-2766 -888 244 @
-3003 -8 244 @
-3662 650 244 @
-2615 1375 244 @
-2098 1236 244 @
-2091 338 244 @
-2588 249 244 @
-2420 1426 304 @
-2429 1688 304 @
-3093 1760 244 @
-3466 2376 244 @
-2616 2949 244 @
-3484 3138 352 @
-3846 3140 352 @
-4244 3138 352 @
-4581 3149 352 @
-3530 -2140 244 @
-2593 -783 244 @
-2514 315 244 @
-2518 1252 244 @
-2591 1845 244 @
-3336 2978 244 @
2908 2660 176 "Cafe"
2901 3024 176 @
3471 2731 176 @
4648 2876 164 "Cafe Spawn"
4649 3867 164 @
4981 3869 164 @
4995 2874 164 @
4632 3372 164 @
3838 -1543 72 "Cemberlitas Hamami"
3835 -1203 72 @
3615 -1198 72 @
3507 -963 -15 @
3419 -1440 -159 @
4558 -2490 80 "Cistern Spawn"
4868 -2481 80 @
4555 -3421 80 @
4875 -3396 80 @
4568 -2920 80 @
4872 -2894 80 @
185 -876 64 "Command Post"
-133 -3088 168 "Dock MG Nest"
2250 -3975 80 "Dock Spawn"
2253 -4288 80 @
3161 -3973 80 @
3171 -4277 80 @
2732 -3973 80 @
2770 -4285 80 @
2222 -3877 64 "Dock Spawn Alley"
2141 -3960 64 @
2145 -4269 64 @
2093 -3270 64 @
2093 -3117 64 @
2095 -2630 64 @
2270 -2621 64 @
-2809 -3609 -27 "Dock Warehouse"
-3209 -3193 -27 @
-3206 -3585 -27 @
-2953 -3358 -27 @
-2710 -3189 -27 @
-2356 -3188 -19 @
-2350 -3601 4 @
-2342 -3099 -31 "Docks"
-2720 -3098 -31 @
-3227 -3105 -31 @
-3005 -3020 -31 @
-2939 -3226 126 @
-3217 -3167 108 @
-3237 -3608 108 @
-2804 -3621 104 @
-2340 -3615 105 @
-2333 -3170 108 @
-2684 -3160 105 @
-2959 -3405 176 @
-3305 -3179 -31 @
-3315 -3603 -31 @
-3232 -3696 -31 @
-2790 -3857 -31 @
-2341 -3688 -31 @
-2257 -3606 -31 @
-2261 -3184 -31 @
-1212 -4946 -31 @
-2362 -4945 -31 @
2001 -2594 -31 @
-320 -2825 -31 @
-501 -2614 -31 @
163 -2623 -31 @
883 -2620 -31 @
-4947 -2609 -31 @
-4308 -2622 -31 @
-3813 -2621 -31 @
-2891 -2642 64 @
-3471 -2632 -31 @
-2178 -2635 -31 @
-1356 -2630 -31 @
-4874 -5061 -31 @
-3394 -5024 -31 @
613 -4202 -31 @
222 -3779 -31 @
974 -3835 -31 @
86 -3113 -27 @
-93 -2914 -27 @
-93 -3333 -27 @
-412 -3108 -31 @
617 -3471 168 @
1986 -3148 -31 @
1965 -3266 64 @
1102 -4946 -31 @
-376 -3219 168 @
-168 -3409 168 @
99 -2900 168 @
1985 -3971 -31 @
1988 -4305 -31 @
397 -2620 -31 @
-4747 -2240 64 "Docks Alley"
-4946 -2531 64 @
-4283 -2228 64 @
-3804 -2358 64 @
-3513 -2351 64 @
-2593 -2235 64 @
-2193 -2083 64 @
-553 -2035 64 @
-502 -2535 64 @
892 -2408 68 @
2464 -2529 64 @
2454 -2330 64 @
2000 -2541 64 @
135 -2531 64 @
-1392 -2531 64 @
-2202 -2523 64 @
-2887 -2518 64 @
-4309 -2541 64 @
2266 -2541 64 @
368 -2409 64 @
2779 2672 160 "East Town Alleys"
2906 2577 164 @
1580 2579 64 @
1378 1231 64 @
1871 1020 64 @
1993 -416 64 @
3402 1831 160 @
3577 -1845 64 @
2620 -2326 64 @
2580 -2537 64 @
2819 -2828 64 @
3932 -1552 64 @
3934 -1182 64 @
3835 -1096 64 @
3844 -1645 64 @
4996 58 160 @
3379 1167 160 @
1560 3405 64 "Embassy Row"
1140 3407 64 @
1036 3519 64 @
1039 3825 64 @
744 4326 64 @
509 4025 64 @
617 3914 64 @
506 3359 64 @
313 3359 64 @
299 3052 64 @
223 2989 64 @
-222 2989 64 @
-481 2989 64 @
-538 3056 64 @
-545 3367 64 @
-549 3674 64 @
-472 4012 64 @
-127 4012 64 @
28 4028 64 @
243 4015 68 @
364 4461 64 @
-494 4983 64 @
925 2435 64 @
1451 2555 64 @
-1864 4341 64 @
-1468 3722 64 @
-1438 2762 64 @
-1417 4996 64 @
-4307 662 68 "Galen's Apothecary"
502 3918 80 "German Embassy"
-462 3912 80 @
-141 3929 80 @
61 3926 80 @
497 3464 80 @
145 3462 80 @
-474 3452 80 @
-160 3448 80 @
124 3595 80 @
-119 3605 224 @
269 3687 224 @
-463 3638 224 @
231 3917 80 @
299 3448 80 @
-133 3483 80 @
-545 3640 224 "German Embassy Balcony"
-476 3370 64 "German Embassy Yard"
-477 3050 64 @
-223 3050 64 @
237 3050 64 @
-118 3360 64 @
-133 3172 64 @
-213 3251 64 @
-306 3167 64 @
173 3352 64 @
2889 3951 176 "Guard House"
2855 4302 176 @
3467 4034 176 @
4986 4640 164 "Guard House Spawn"
3703 4639 164 @
3705 4984 164 @
4225 4641 164 @
4578 4655 164 @
-3359 -23 68 "Hakim's House of Guns"
1542 3511 76 "Hotel Pampylia"
1155 3523 76 @
1142 3834 76 @
1556 3806 368 @
1113 3818 368 @
1547 3715 76 @
-3338 -124 68 "Kapali Carsi Bazaar"
-2500 -1053 68 @
-3792 -2232 68 @
-4412 -1204 68 @
-4441 -244 68 @
-3746 -9 68 @
-4336 764 68 @
-3884 730 68 @
-4931 746 68 @
-4416 1982 68 @
-4424 3068 68 @
-3658 3068 68 @
-3394 2110 68 @
-2504 1568 68 @
-3262 819 68 @
-3107 -1062 68 @
-3207 -1848 68 @
-4471 -1824 68 @
146 320 72 "Mosque Courtyard"
-29 148 72 @
131 -29 72 @
314 140 72 @
186 -700 72 @
322 994 72 @
620 981 80 @
-306 994 72 @
-592 996 80 @
-1166 1584 64 @
-1068 346 64 @
-1098 -322 64 @
-1650 -688 72 @
-75 -885 64 @
458 -909 64 @
144 -1807 64 @
894 1098 64 @
-1145 622 64 @
-1154 233 64 @
-898 1143 64 @
637 -1803 64 @
-1227 -325 64 "Mosque Courtyard Alleys"
-1672 38 64 @
-1258 1594 64 @
-1671 1344 64 @
143 176 72 "Mosque Courtyard Flag"
1309 933 200 "Mosque Courtyard Lookout"
-1168 359 64 "Mosque Courtyard Overlook"
-1166 336 200 @
-606 1106 72 "Mosque Courtyard Spawn"
-294 1102 72 @
332 1090 72 @
598 1093 72 @
1641 3517 64 "North East Town"
1641 3710 64 @
1797 3574 64 @
2167 3578 64 @
2890 3855 164 @
2755 3974 164 @
2892 3119 160 @
2760 3023 160 @
-4377 3719 208 "North Patio MG Nest"
-2052 4347 64 "North Town"
-2500 4380 64 @
-2918 4142 64 @
-2714 3583 64 @
-2309 3594 64 @
-1909 3458 64 @
-3045 4980 64 @
-2615 3043 64 @
-2272 3040 64 @
-2512 3042 64 @
-3364 3057 64 @
-3652 3199 64 @
-4414 3196 64 @
-4865 3101 80 @
-4138 3749 208 @
-1798 3449 64 "North Town Alley"
-1440 2879 64 @
144 -1897 68 "South Central House"
890 -2321 68 @
349 -2323 208 @
676 -1891 208 @
3428 -1049 -303 "Underground Spa System"
3422 -1430 -447 @
2831 -1909 -447 @
1894 -726 -447 @
2604 750 -447 @
1543 -1791 -447 @
774 -2539 -543 @
-32 -2560 -543 @
-493 -1759 -543 @
-1068 -1326 -543 @
-1543 -922 -543 @
-1565 851 -543 @
-1076 1337 -543 @
-536 1816 -543 @
-10 2726 -543 @
-220 3149 -513 @
722 2319 -543 @
1558 1745 -447 @
2527 2370 -447 @
2028 3068 -447 @
1656 3066 -303 @
-246 3159 0 "Well"
-2376 -1053 64 "West Town Alley"
-2504 -1317 64 @
-2521 -2113 64 @
-2293 -1998 64 @
-2485 -797 64 @
-2517 231 64 @
-2102 245 64 @
-1780 31 64 @
-2012 345 64 @
-1976 1236 64 @
-2369 1561 64 @
-2513 1301 64 @
-2500 1849 64 @
-2510 2941 64 @
-2223 2917 64 @
-1773 1342 64 @
2149 3483 72 "Yerebatan Saray"
1814 3477 72 @
1817 3265 72 @
1594 3145 -15 @
2043 3058 -159 @
2024 1703 72 "h4x0r"
2011 2123 72 @
904 2142 72 @
886 1714 72 @
