/////////////////////////////////////////////////////////
// Map name       bzz Drunk                            //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    10-10-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
61 2508 160 "Allied Beerbarrel"
68 1683 160 "Allied Bunker"
67 2256 160 @
-426 2173 160 @
571 2173 160 @
69 2681 160 @
-163 2504 160 @
297 2520 160 @
-404 1674 69 @
-395 2647 97 @
518 2644 96 @
534 1710 96 @
61 2508 -63 "Allied Corridors"
68 1683 -63 @
67 2256 -63 @
-426 2173 -63 @
571 2173 -63 @
69 2681 -63 @
963 3210 0 "Allied Safe"
-449 3036 0 "Allied Spawn"
-933 2761 0 @
-761 3049 0 @
-934 2879 0 @
-449 3036 192 "Allied Spawn Roof"
-933 2761 192 @
-761 3049 192 @
-934 2879 192 @
68 43 160 "Axis Beerbarrel"
553 -77 80 "Axis Bunker"
291 23 160 @
68 -118 160 @
-420 -58 112 @
-158 28 160 @
71 290 160 @
557 377 160 @
537 853 96 @
67 882 160 @
-416 859 83 @
-417 384 160 @
68 43 -63 "Axis Corridors"
68 -118 -63 @
71 290 -63 @
557 377 -63 @
67 882 -63 @
-417 384 -63 @
-834 -619 0 "Axis Safe"
1057 -210 0 "Axis Spawn"
580 -480 0 @
883 -510 0 @
1072 -326 0 @
1057 -210 192 "Axis Spawn Roof"
580 -480 192 @
883 -510 192 @
1072 -326 192 @
957 3001 0 "Drunk Arena"
723 2173 0 @
68 1512 0 @
-599 2185 0 @
-925 2613 0 @
-752 2791 0 @
-430 2870 0 @
-305 3048 0 @
-425 1499 0 @
-616 1699 0 @
550 2837 0 @
736 2620 0 @
730 1712 0 @
538 1523 0 @
1053 -52 0 @
882 -233 0 @
573 -312 0 @
442 -485 0 @
69 -310 0 @
-418 -294 0 @
-620 -54 0 @
711 379 0 @
724 821 0 @
543 1040 0 @
73 1076 0 @
-363 1069 0 @
-598 868 0 @
-615 388 0 @
-827 -374 0 @
62 2852 0 @
