/////////////////////////////////////////////////////////
// Map name       Caen                                 //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-1075 5966 606 "Allied Spawn"
-1494 5981 606 @
-891 6067 384 "Allied Spawn Exit"
-1700 5423 524 "Allied Spawn Stairs"
-1499 5707 608 "Allied Spawn Terrace"
-1487 5135 332 "Allied Yard"
-1418 5477 349 @
-982 5535 330 @
-899 5129 330 @
-549 4928 327 @
-935 4607 339 @
-1578 -2195 352 "Axis Spawn"
-1165 -2163 331 "Axis Spawn Alley"
-1229 -1499 264 @
-1216 -839 244 @
-2058 -2216 273 "Axis Spawn Road"
-1652 -3181 387 @
-2128 -1592 243 @
-2066 -957 240 @
-1 6026 344 "Back Door"
-210 6290 404 "Back Offices"
-216 6380 596 @
-2647 -489 259 "Backyard"
-3068 -210 278 @
-3145 170 286 @
-2582 144 284 @
-3237 517 288 "Backyard Alley"
-3033 762 289 @
-2730 1044 290 @
-355 3242 272 "Boat"
-898 2861 314 "Boat Alley"
-516 2578 316 @
-264 3017 314 "Boat Pier"
-667 3014 314 @
135 3380 322 "Bridge"
129 3793 314 @
158 2963 314 @
-613 4011 320 "Bridge House"
-678 3808 480 @
197 4364 328 "Bridge MG42"
-175 4009 322 "Bridge Wall"
-1269 4568 380 "Broken Room"
526 1639 508 "Catwalk Window"
-203 2009 320 "Church"
-464 2036 320 @
184 1758 318 "Church Back Exit"
412 1928 312 "Church Backyard"
-231 2268 320 "Church Doors"
-40 1580 316 "Church Hallway"
159 2042 496 "Church Stairs"
163 2203 632 "Church Windows"
250 2073 632 @
-274 5274 344 "Combat Map Offices"
-19 5310 344 @
-260 5710 344 @
-22 5768 344 @
42 5474 344 "Combat Maps"
589 676 520 "Command Post"
-1336 169 290 "Gate"
-1101 468 295 "Gate Alley"
-522 447 295 @
-1825 456 298 "House MG42"
-12 5679 584 "Offices Roof"
-350 5947 584 @
-360 5643 584 @
65 5960 584 @
1037 3334 158 "River"
592 3336 146 @
-217 3411 157 @
-653 3450 161 @
862 4062 329 "River Alley"
854 4734 416 @
606 4941 464 @
1228 2462 333 "River Passage"
1252 2983 363 @
-2057 -458 257 "Road Barriers"
-2029 -69 279 @
-2129 341 287 "Road To Town"
-2137 871 294 @
-1940 1351 295 @
-1609 1722 297 @
-1118 1989 303 @
360 1570 500 "Small Room"
39 1683 436 "Small Room Stairs"
-1246 864 312 "Supply Cabinets"
321 6187 352 @
-332 6077 340 "Supply Cabinets Alley"
253 5975 352 @
256 5480 398 @
238 5120 464 @
-175 4667 328 "Tank Barrier"
753 1980 314 "Tank Road"
466 2375 315 @
163 2815 314 @
858 1154 309 @
860 1592 309 @
523 1041 307 @
-697 1112 312 "Town Flag"
-1455 1157 312 "Town Offices"
-1718 805 298 @
-977 1114 312 "Town Spawn"
-413 1324 312 "Town Square"
-383 892 312 @
129 919 312 @
111 1242 312 @
460 1056 512 "Town Square Catwalk"
489 1384 512 @
236 1431 444 "Town Square Stairs"
-437 5750 344 "Weak Wall"
