/////////////////////////////////////////////////////////
// Map name       Tavern B2                            //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    10-08-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
756 1635 336 "1st Floor"
915 1926 336 @
1229 1530 336 @
404 1761 336 @
575 1284 336 @
1441 1374 336 @
962 1265 336 @
1152 2147 336 "1st Floor Ladder"
1114 2244 582 @
965 1639 352 "1st Floor Spawn"
306 1766 336 "1st Floor Stairwell"
90 1919 608 @
97 2024 624 "2nd Floor"
1015 2249 624 @
272 1917 624 @
552 1576 624 @
812 1308 624 @
547 1001 624 @
332 1284 624 @
1377 1260 624 @
801 1797 624 @
541 1912 624 @
546 1306 640 "2nd Floor Spawn"
694 1866 784 "2nd Floor Stairs"
701 2212 912 "3rd Floor"
850 1932 912 @
698 1691 912 @
579 1902 912 @
463 2053 912 @
1163 1487 912 @
733 1433 912 @
397 1227 912 @
1057 1274 912 @
994 1000 912 "3rd Floor Ladder"
937 990 1200 @
770 1289 928 "3rd Floor Spawn"
649 1155 1200 "4th Floor"
803 1545 1200 @
997 1725 1200 @
813 1917 1200 @
622 1738 1200 @
1187 1409 1200 @
403 2045 1200 @
794 993 1200 "4th Floor Ladder"
590 1020 1200 @
384 1008 1469 @
806 1705 1233 "4th Floor Spawn"
566 929 -191 "Cellar"
734 1174 -191 @
335 856 -191 @
326 723 -191 "Cellar Stairwell"
619 712 -191 @
361 561 -79 @
937 939 -255 "Cellar Tunnel"
929 1226 -255 @
752 936 -191 "Cellar Wall"
1412 1536 336 "East Stairwell"
1371 1526 624 @
1336 1658 880 @
1333 1411 1200 @
1386 1912 1344 @
1409 1515 1488 @
1432 1947 1632 @
851 1100 916 "Ladder Fence"
103 557 16 "Lobby"
579 1142 336 @
1426 1147 336 @
845 1427 64 @
1439 1475 64 @
1291 360 64 @
489 544 16 @
300 424 16 @
290 686 128 @
745 737 64 @
302 1239 64 @
272 2048 912 "Power Generator B"
689 1869 1488 "Security Power Generator"
771 1268 1667 "Spy Lists"
962 1209 1666 @
577 1220 1664 @
1340 1492 912 "Stairs Wall"
1433 2064 1632 "Temple"
281 2112 1490 @
93 1937 1490 @
215 1009 1493 @
378 1003 1584 @
691 2108 1488 @
468 1810 1584 @
745 1609 1632 @
945 1812 1584 @
768 1377 1664 @
1104 1248 1664 @
790 1054 1664 @
440 1323 1664 @
558 1396 1664 @
449 1173 1664 @
588 1040 1664 @
952 1373 1664 @
296 2036 1200 "West Stairwell"
297 1247 912 @
210 1346 1200 @
278 2000 1488 @
