/////////////////////////////////////////////////////////
// Map name       Canyon 2 beta                        //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-694 -159 5077 "Allied Bridge"
-540 26 5077 @
-632 -523 5128 @
-447 -1159 5128 @
-565 -768 5128 @
1143 5451 5144 "Allied Control Room"
1312 5539 4466 "Allied Docs"
1051 4087 5177 "Allied MG"
882 4379 5112 @
2596 4097 5112 "Allied Service Tower"
3030 4338 5112 @
2389 3800 5112 @
2693 3668 5112 @
2014 1770 5081 "Allied Service Tunnels"
2684 2203 5081 @
2690 3494 5081 @
1632 876 5123 @
1446 393 5123 @
1249 1613 5302 @
822 1873 5302 @
337 1718 5302 @
1997 1563 5081 "Allied Service Warehouse"
1634 985 5109 @
1356 1616 5302 @
522 5337 4472 "Allied Tower #1"
915 5399 4472 @
820 5070 4472 @
1280 5020 4472 @
1758 5088 4472 @
2042 5506 4472 @
1409 6062 4472 @
1470 4697 4472 @
1001 4596 4472 @
1165 6066 4472 @
507 5390 4792 "Allied Tower #2"
922 5481 4792 @
1310 5444 4792 @
1798 5612 4792 @
1293 6041 4792 @
2084 5305 4792 @
1467 4745 4792 @
43 4315 4792 @
1785 4990 4792 @
931 4638 4792 @
764 4406 4792 @
487 5378 5112 "Allied Tower #3"
910 5419 5112 @
1307 5181 5112 @
1285 5749 5112 @
1787 5640 5112 @
1348 6063 5112 @
2077 5334 5112 @
1741 4927 5112 @
1312 4682 5112 @
1110 4467 5112 @
47 4370 5112 @
587 4399 5112 @
802 4660 5112 @
2043 4636 5099 "Allied Tower Bridge"
2461 4230 5099 @
1352 6274 3681 "Allied Tower Ladders"
1265 6231 4230 @
331 5386 5112 "Allied Tower Stairwell"
66 5324 4952 @
359 5358 4792 @
79 5321 4632 @
358 5343 4472 @
632 4308 3911 @
528 5050 4102 @
687 5079 4470 @
-117 5338 4968 "Allied Tower Warehouse"
-1575 5496 5274 @
1310 5246 4472 "Allied Vault"
658 -2601 5099 "Axis Bridge"
798 -2698 5099 @
471 -2493 5128 @
267 -2392 5128 @
89 -2303 5128 @
366 -7239 5315 "Axis Control Room"
-1220 -7792 5128 "Axis Docs"
-1796 -8220 4922 "Axis MG"
66 -6994 5315 "Axis Service Tower"
-652 -7076 4947 @
374 -6958 5267 @
371 -6729 5315 "Axis Service Tunnels"
372 -5984 5315 @
894 -5921 5315 @
839 -5310 5315 @
-1222 -8229 4474 "Axis Tower #1"
-1236 -7942 4474 @
-1215 -8101 4922 "Axis Tower #2"
-1582 -8239 4922 @
-1795 -7917 4922 @
-1189 -7636 4922 @
-1164 -8376 4922 @
-642 -7911 4922 @
-868 -8203 4922 @
-1533 -7768 4922 @
-1146 -8107 5146 "Axis Tower #3"
-847 -8054 5146 @
-1157 -7630 5146 @
-1177 -8399 5146 @
-1548 -8219 5146 @
-1564 -7881 5146 @
-1535 -8555 3566 "Axis Tower Basement"
-1520 -8066 3566 @
-1305 -7943 3566 @
-1527 -7826 3566 @
-966 -7964 3566 @
-936 -8403 3566 @
-1009 -8917 3566 @
-1552 -8933 3566 @
-571 -7525 4922 "Axis Tower Bridges"
-642 -7225 4938 @
-1843 -7534 4922 @
-1845 -7066 4922 @
-1833 -6594 4922 @
