/////////////////////////////////////////////////////////
// Map name       Canyon Lake                          //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    11-05-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
3356 3490 648 "#1 Gun"
2387 3365 648 "#1 Gun Cabinets"
2583 3265 648 "#1 Gun MG42"
3011 3456 648 "#1 Gun Platform"
3356 3490 1000 "#1 Gun Roof"
2583 3265 1000 @
2387 3365 1000 @
2373 3782 384 "#1 Gun Stairs"
4887 3474 648 "#2 Gun"
5865 3320 648 "#2 Gun Cabinets"
5648 3270 648 "#2 Gun MG42"
5249 3465 648 "#2 Gun Platform"
4887 3474 1000 "#2 Gun Roof"
5648 3270 1000 @
5865 3320 1000 @
5890 3784 384 "#2 Gun Stairs"
-5968 -3438 -55 "Allied Command Post"
-4380 4104 960 "Axis Command Post"
4131 3507 192 "Big Wall"
-3368 2999 954 "Book"
-5717 2156 1184 "Book Capture Point"
4099 -1992 216 "Bridge"
4694 -2252 278 @
4104 -971 216 @
4106 -408 216 @
4111 247 216 @
4105 993 216 @
4099 1719 216 @
4094 2450 216 @
2346 -5344 192 "Bridge Road"
1609 -5369 192 @
3947 -4432 192 @
4438 -3082 192 @
4122 -2552 192 @
6671 -2357 643 "Bridge Spawn"
6664 -2522 635 @
6676 -2054 568 @
6789 -1945 560 @
6517 -2778 590 @
6304 -2555 583 @
6515 -2346 582 @
5263 -2218 549 @
6791 -2355 648 "Bridge Spawn Cabinets"
5408 -3239 820 "Bridge Spawn Hills"
6548 -3272 531 @
4664 -5070 1063 @
3628 -6098 1207 @
2565 -6222 805 @
513 -6789 951 @
6739 -1442 937 @
5804 -1259 834 @
6759 -2520 648 "Bridge Spawn Hut"
6752 -2053 648 @
6558 -2555 608 "Bridge Spawn MG42"
-4380 4104 712 "Facility 1st Floor"
-4522 4603 712 @
-4255 3421 712 @
-4473 3450 712 @
-4160 3334 712 @
-4158 2769 712 @
-3717 2762 712 @
-3577 3009 712 @
-3368 2999 712 @
-3376 3201 712 @
-3203 2991 736 @
-3043 4311 712 @
-3418 3825 712 @
-4005 4311 712 @
-4015 4593 768 @
-4064 3938 712 @
-3662 3979 712 @
-3327 4600 712 @
-2858 4605 712 @
-4522 4603 960 "Facility 2nd Floor"
-4255 3421 960 @
-4473 3450 960 @
-3577 3009 960 @
-3376 3201 960 @
-3203 2991 960 @
-4005 4311 960 @
-4015 4593 960 @
-4064 3938 960 @
-3662 3979 960 @
-3064 3408 960 @
-5300 2308 928 "Facility Area"
-5857 1551 928 @
-5781 1653 997 @
-5322 1757 928 @
-5214 2079 928 @
-5866 2087 928 @
-6558 1629 928 @
-6459 1536 928 @
-6570 1981 928 @
-6462 2073 928 @
-6090 3763 896 @
-6090 3329 881 @
-2041 4861 697 @
-2832 5552 905 @
-4557 5550 883 @
-4523 4702 704 @
-4576 3448 697 @
-4640 4092 728 @
-4159 2697 697 @
-4261 3013 697 @
-4005 2534 697 @
-3719 2684 697 @
-3580 2785 697 @
-3328 3825 697 @
-2536 4319 700 @
-2864 3969 697 @
-2837 4704 704 @
-3426 4762 704 @
-3894 4706 704 @
-4475 3329 697 @
-3198 2865 697 @
-2940 3418 697 @
-3336 4733 704 @
-2753 4605 704 @
-1932 2871 702 @
-1587 1852 706 @
-4880 280 972 @
-3708 3010 712 "Facility Cabinets"
-3455 4001 712 @
-3897 4309 712 "Facility Garage"
-3414 4309 712 @
-3428 4597 712 @
-3894 4593 712 @
-832 3672 1427 "Facility Hills"
-830 4970 1427 @
-871 6494 1653 @
-555 6064 1585 @
-1469 4900 1308 @
-2887 6163 1580 @
-4494 6196 1527 @
3342 6306 530 "Facility Road"
474 6395 680 @
1026 5958 642 @
55 6022 686 @
81 5384 683 @
371 4951 665 @
-788 2803 689 @
134 3635 694 @
-4380 4104 1216 "Facility Roof"
-4522 4603 1216 @
-4255 3421 1240 @
-4473 3450 1216 @
-4160 3334 984 @
-4158 2769 984 @
-4160 3016 960 @
-3717 2762 984 @
-3708 3010 960 @
-3577 3009 1216 @
-3368 2999 1216 @
-3376 3201 1216 @
-3203 2991 1216 @
-3043 4311 960 @
-3328 3825 960 @
-3418 3825 960 @
-2863 4083 960 @
-2850 4605 960 @
-3897 4309 960 @
-3414 4309 960 @
-3428 4597 960 @
-3894 4593 960 @
-4064 3938 1216 @
-3455 4001 960 @
-3662 3979 1240 @
-3064 3408 1216 @
-3327 4600 960 @
-6215 3748 912 "Facility Spawn"
-6405 3354 912 @
-6221 3360 912 @
-6393 3744 912 "Facility Spawn Cabinets"
-4256 3340 697 "Generator"
4104 -971 88 "Lake"
4576 -964 110 @
3510 -914 63 @
4106 -408 94 @
4111 247 94 @
4105 993 86 @
-4873 -773 122 @
-1236 -800 145 @
2771 -103 116 @
4099 1719 103 @
5412 437 120 @
6625 231 119 @
424 -98 146 @
-2794 4339 712 "Main Facility Wall"
4097 2792 192 "Outside The Wall"
3620 2439 192 @
4582 2435 193 @
4887 3100 192 @
5648 3101 213 @
3359 3118 216 @
2565 3095 419 @
4122 3218 192 @
5999 3114 229 @
5450 908 253 @
6941 189 355 @
6600 1125 429 @
4972 1725 268 @
679 5456 686 "Scaffold Spawn"
62 6455 679 "Scaffolding"
-415 6468 1728 @
-4002 2717 697 "Side Wall"
1108 -5378 192 "Tank Barrier #1"
-1330 2798 690 "Tank Barrier #2"
-5825 -3828 -127 "Tank Spawn"
-5987 -3374 -151 @
-6857 -3785 69 @
-5922 -3970 -119 @
-5829 -3575 -127 @
-5531 -3395 -127 @
-5803 -3179 -127 @
-5178 -4072 -127 @
-5270 -4154 -127 @
-4557 -3148 -127 @
-5942 -3562 -55 "Tank Spawn Cabinets"
-5179 -4152 -119 "Tank Spawn Garage"
-5208 -5117 699 "Tank Spawn Hills"
-6864 -5557 474 @
-3711 -4300 598 @
-2938 -6810 687 @
-5908 -3828 -55 "Tank Spawn Hut"
-5791 -3388 -127 "Tank Spawn MG42"
