/////////////////////////////////////////////////////////
// Map name       Capuzzo Airport B1                   //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 27                //
// Last edited    08-08-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1122 -2711 68 "^1Allied Command Post"
-4854 -2200 67 "^1BF-109"
-3036 -5479 55 "^1FW-190"
-5106 -1293 280 "^1Radio"
-5317 -1452 278 "^1Secret Blueprints"
-7330 -14566 64 "^1Tank Barrier #1"
-4093 -9910 64 "^1Tank Barrier #2"
-5501 -4837 72 "^2Airport Spawn"
-5279 -4997 72 @
-5128 -4608 88 @
-5918 -18766 64 "^2Allied First Spawn"
-4093 -10504 82 "^2Allied Road Spawn"
-3542 -10511 82 @
-179 -9893 68 "^2Axis Road Spawn"
-13 -9529 68 @
-257 -5529 56 "^2Cave Spawn"
-8175 -12849 64 "^2City Spawn"
2405 -7038 64 "^2Command Post Area Spawn"
-2754 -2686 66 "^2Garage Spawn"
-3293 -5249 66 "^2Hangar Spawn"
-3751 -2693 64 "^3Airport"
-3761 -2489 64 @
-3340 -2312 80 @
-3078 -3081 64 @
-2663 -2673 64 @
-3032 -6034 64 @
-3030 -4903 64 @
-2348 -5469 64 @
-1976 -5580 68 @
-3845 -5247 64 @
-3598 -5921 64 @
-3482 -6044 64 @
-3274 -4667 64 @
-4343 -2211 64 @
-4833 -2799 64 @
-4871 -1283 64 @
-4872 -5129 64 @
-4901 -4989 64 @
-5022 -4612 72 @
-5131 -4422 64 @
-5390 -3992 67 @
-5808 -3939 64 @
-2763 -2107 64 @
-2910 -2012 65 @
-3346 -3365 64 @
-6178 -4459 64 @
-6307 -5138 64 @
-6046 -5689 68 @
-5298 -5829 76 @
-4867 -5386 64 @
-2566 -38 192 @
-1836 -3144 156 @
-2118 -1174 313 @
-3845 -86 62 @
-3125 1037 139 @
-3156 -1204 76 @
-5109 -804 64 @
-5925 -1148 106 @
-5787 -970 108 @
-5301 -1559 108 @
-5339 -1984 88 @
-6062 -1580 107 @
-6101 -1967 104 @
-5490 -2482 86 @
-98 -2445 64 "^3Airport Road"
-1454 -2254 64 @
-1098 -1528 269 @
-5815 -4428 64 "^3Airport Spawn Garage"
-5382 -4332 64 @
-5636 -4837 72 "^3Airport Spawn House"
-5817 -4558 72 @
-5272 -5136 72 @
-6011 -5132 72 @
-5315 -5421 72 @
-5315 -5421 280 "^3Airport Spawn House Roof"
-6011 -5132 280 @
-5272 -5136 280 @
-5279 -4997 280 @
-5501 -4837 280 @
-5636 -4837 280 @
-5817 -4558 280 @
-5815 -4428 232 @
-5382 -4332 232 @
-5128 -4608 280 @
-6178 -4459 282 @
-5341 -19140 80 "^3Allied Start"
-5903 -19450 64 @
-13 -9529 248 "^3Axis Road Spawn Roof"
-179 -9893 248 @
1097 -6176 66 "^3Caves"
-1192 -6471 58 @
-1780 -5562 71 @
-375 -3559 66 @
1510 -7455 68 @
-222 -8397 70 @
-2568 -9222 77 @
-1019 -8097 69 @
-4805 -10977 71 @
-5356 -12548 78 @
294 -5512 81 @
-476 -4865 56 @
-531 -6448 56 @
-5703 -16051 97 "^3City"
-8177 -17193 64 @
-7712 -13832 65 @
-7957 -14092 192 @
-7778 -14438 64 @
-8175 -12849 264 @
-8700 -12845 80 @
-7652 -12874 64 @
-8177 -11930 82 @
-6271 -14088 220 @
-6280 -14565 64 @
-6265 -13887 64 @
-5914 -14063 64 @
-6606 -14087 64 @
-6817 -14574 64 @
-7443 -14146 256 @
-7337 -14900 304 @
-5644 -12549 64 @
-8198 -13637 65 @
-7720 -11197 64 @
-8184 -17615 64 "^3City Gates"
-7721 -14074 240 "^3City MG42"
-5369 -16339 105 "^3City Path"
-5191 -18506 147 @
-6483 -18927 64 "^3City Road"
-8184 -18068 64 @
-5106 -1293 88 "^3Command House"
-5317 -1452 114 @
-5311 -1279 280 @
-5778 -1156 64 @
-5778 -1156 280 @
-5470 -1572 88 @
-5461 -1452 280 @
-5406 -1981 88 @
-5317 -1452 416 "^3Command House Roof"
-5106 -1293 416 @
-5311 -1279 416 @
-5778 -1156 416 @
-5470 -1572 328 @
-5461 -1452 416 @
-5406 -1981 216 @
-5437 -1570 216 @
-5481 -2482 344 @
1630 -8541 64 "^3Command Post Area"
2025 -9239 146 @
2259 -7049 64 @
2405 -7038 232 @
2407 -7835 85 @
1757 -7478 66 @
2428 -6665 57 @
1275 -5978 68 @
1122 -2711 248 @
1108 -3386 64 @
-155 -3341 68 @
686 -2741 64 @
1690 -2704 221 @
1118 -2539 157 @
-2630 -10731 64 "^3Command Post Road"
-338 -9905 66 @
-182 -10263 86 @
-12 -9362 64 @
-440 -9542 64 @
-213 -8633 64 @
507 -9505 119 @
1435 -8796 64 @
-3115 -45 64 "^3Fuel Tanks"
-3338 -2687 66 "^3Garage"
-3092 -3004 66 @
-2894 -2102 80 "^3Garage Locker Room"
-2894 -2102 264 "^3Garage Roof"
-3340 -2312 264 @
-3335 -2480 264 @
-3338 -2687 264 @
-3092 -3004 264 @
-2754 -2686 264 @
-3025 -4989 66 "^3Hangar"
-3032 -5941 66 @
-2560 -5475 66 @
-3489 -5923 66 @
-3025 -4989 320 "^3Hangar Roof"
-3292 -5249 309 @
-3036 -5479 320 @
-3032 -5941 320 @
-3489 -5923 207 @
-2560 -5475 252 @
-6271 -14088 64 "^3Health and Ammo Cabinets"
-3335 -2480 66 @
-6082 -9779 64 "^3Village"
-4814 -10774 65 @
-4093 -10504 280 @
-4085 -10376 64 @
-4469 -10509 53 @
-3569 -9947 64 @
-2802 -9473 77 @
-3542 -10511 280 @
-3540 -10374 64 @
-3401 -10505 64 @
-4546 -9936 62 @
-4088 -9214 64 @
-3014 -10468 64 @
-3532 -11186 326 @
-7720 -10851 64 "^3Village Road"
-6468 -9742 64 @
