/////////////////////////////////////////////////////////
// Map name       Castellum Final                      //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    27-06-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
185 -2370 787 "^1Boat"
761 1549 2408 "^1Command Post"
-1015 1306 1283 "^1Gold Bars"
-1883 -12 948 "^1Side Door"
1704 316 867 "^1Side Gate"
1364 -1163 1030 "^3Castle Approach"
1720 -1524 961 @
896 -1588 903 @
234 -1291 1020 @
1945 53 850 @
1876 -626 838 @
213 685 900 "^3Castle Courtyard"
146 128 904 @
-772 1045 904 @
-7 1389 900 @
-466 202 900 @
-427 707 911 @
-1085 167 900 @
-1033 629 900 @
291 -477 976 "^3Castle Keep"
823 445 1104 @
585 -314 964 @
-215 -497 1104 @
145 -633 1104 @
298 -25 912 @
1050 -765 976 @
617 654 976 "^3Castle Keep Entrance"
1364 -1163 827 "^3Castle Moat"
-1523 -294 1201 "^3Castle Rooftops"
234 -1291 1314 @
89 -1916 1302 @
-546 -1920 1306 @
-1179 -1851 1299 @
-1295 -888 1291 @
-1295 -888 1482 @
-415 -879 1478 @
-692 -887 1478 @
-556 -1037 1488 @
-545 -713 1488 @
-215 -497 1659 @
-786 -388 1488 @
-1389 -607 1294 @
-740 -618 1488 @
145 -633 1294 @
1109 481 1294 @
-62 -543 1294 @
450 -148 1529 @
129 -391 1529 @
-2159 272 1192 @
-1546 1197 1782 @
-1353 659 1614 @
-1351 162 1614 @
-1883 -12 1192 @
-1732 133 1302 @
-1592 270 1614 @
-1931 657 1614 @
-912 1832 1782 @
-376 1913 1647 @
-552 -1099 1294 @
-1340 -352 1294 @
152 2454 1294 "^3Castle Wall"
1326 2226 1294 @
1897 1323 1294 @
1698 337 1294 @
591 1758 2352 "^3Clock Tower"
349 1472 2352 @
628 1365 2408 @
203 1330 2352 "^3Clock Tower Balcony"
236 1774 1296 "^3Clock Tower Stairwell"
236 1774 864 @
236 1774 1792 @
236 1774 2304 @
332 1630 2144 @
-1085 167 1288 "^3Courtyard Balcony"
-1033 629 1307 @
213 685 1614 "^3Courtyard Bridge"
-427 707 1614 @
-1033 629 1614 @
146 128 1294 "^3Courtyard Rooftops"
-150 -207 1294 @
-394 -112 1294 @
-796 -167 1294 @
213 685 1304 @
-772 1045 1154 @
-7 1389 1169 @
438 1052 1294 @
-427 707 1194 @
-1216 124 1081 @
-1085 167 1128 @
-1033 629 1126 @
-1102 -166 1294 @
206 677 1173 @
-1580 1867 1294 "^3D Hall"
-1165 1462 1294 @
-834 1479 1294 @
-709 2158 1294 @
-1908 1280 1294 @
-1203 1134 1294 @
92 1910 1294 "^3D Hall Corridors"
-439 2145 1294 @
-1420 681 1302 @
-1620 658 1526 @
-1580 1867 904 "^3D Hall Entrance"
-1015 1306 904 @
-709 2158 904 @
-1203 1134 904 @
-1580 1867 1790 "^3D Hall Spawn"
-1580 1867 1956 @
-1429 1311 1790 @
-1546 1197 1932 @
-1032 1719 1790 @
-912 1832 1932 @
-1795 2080 904 "^3D Hall Stairwell"
-1795 2080 1302 @
-1795 2080 1782 @
-1351 162 1302 "^3D Hall Study"
-1592 270 1302 @
-1420 587 1302 @
-1871 663 612 "^3Dungeon"
-1324 668 612 @
-1323 560 660 "^3Dungeon Stairs"
-1216 124 888 @
613 673 1918 "^3East Tower Rooftop"
617 654 1616 "^3East Tower Stairwell"
617 654 1104 @
-437 2404 1291 "^3Falling..."
-21 2169 1294 "^3Health and Ammo"
291 -477 1104 @
-538 -2243 796 "^3Ocean"
-1402 -2128 778 @
-159 -2602 794 @
-2360 -1180 787 @
-2690 -463 789 @
-3398 735 782 @
352 -2795 786 @
925 988 976 "^3Outer Courtyard"
402 2217 866 @
1468 554 852 @
1277 2178 852 @
1814 1318 857 @
-1680 188 852 "^3Side Door Stairs"
-1873 484 692 @
608 -2211 856 "^3South Shore"
762 -2737 862 @
89 -1916 965 @
-546 -1920 991 @
-1179 -1851 931 @
-1789 -879 908 "^3West Shore"
-2125 -255 912 @
-3108 922 893 @
-2017 1289 1178 @
-1523 -294 957 @
-2159 272 942 @
-2151 574 1131 @
-553 -887 1287 "^3West Tower Ladder"
-550 -875 1478 @
-349 -374 1104 "^3West Tower Stairwell"
-786 -388 1294 @
-1194 -609 1294 @
-740 -618 1294 @
-1103 -360 1292 @
-1789 -879 1616 "^3West Towers"
-1295 -888 1616 @
-553 -887 1608 @
-692 -887 1616 @
