/////////////////////////////////////////////////////////
// Map name       Castle Attack B5                     //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    05-10-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
3006 -854 216 "1st Allied Spawn"
3013 -446 216 @
3016 -137 216 @
2668 -125 216 @
2719 -529 216 @
2691 -868 216 @
2875 1780 832 "2nd Axis Spawn"
3565 1816 832 @
2843 -860 616 "Allied Spawn Roof"
2841 -151 616 @
2644 -677 447 @
2641 -255 444 @
3019 -133 479 @
3043 -879 460 @
3022 -453 477 @
2724 -851 48 "Bell Tower"
3032 -861 8 @
2609 -1344 208 @
3019 -1333 208 @
2643 -1002 808 @
3003 -1311 1004 @
2616 -1027 1024 @
3005 -1025 1024 @
2612 -1336 1024 @
3036 -1018 1248 "Bell Tower Roof"
3029 -1337 1248 @
2621 -1320 1248 @
2649 -1027 1245 @
-2479 -174 936 "Bunker"
-2369 121 832 @
-2597 1230 809 @
-2329 831 832 @
-2074 497 832 @
-1883 809 887 @
-1927 794 640 "Bunker Stairwell"
-1964 299 800 @
-2003 294 624 @
-1956 828 448 @
-1988 297 424 @
-1953 829 256 @
-1996 301 240 @
-1972 821 64 @
-2053 358 64 @
-1371 833 217 @
-1852 528 728 @
-1807 1815 144 @
-1888 1331 416 @
-1923 1083 848 "Bunker-Castle Corridor"
-905 1130 1072 @
-266 1288 1200 @
152 1493 1272 @
1525 2999 832 "Castle Arch"
1928 3008 832 @
1945 1825 840 "Castle Bar"
2228 2256 912 @
2033 2041 912 @
1678 2297 840 @
1345 2354 840 @
1338 2090 840 @
2055 2995 832 "Castle Courtyard"
2978 2300 832 @
3752 3352 832 @
2828 3662 832 @
3275 2936 832 @
2366 2935 832 @
2804 2499 832 @
2858 3389 832 @
2751 2187 832 @
2467 3768 832 @
2487 2267 832 @
1961 2621 832 @
3263 2167 832 @
3765 2340 1008 @
3382 2127 928 @
3383 2018 1122 "Castle Courtyard Ladder"
3383 2018 1564 @
3705 1803 832 "Castle East"
3913 1991 832 @
3975 3462 832 @
3965 2864 832 @
171 2382 836 "Castle Entrance"
3002 2039 1920 "Castle Flag Tower"
-259 2041 836 "Castle Gates #2"
-274 2225 836 @
3528 4022 832 "Castle North"
2829 3770 832 @
1987 4009 1280 @
2504 3878 1290 @
2998 4043 1376 @
2718 3983 1280 @
3533 3995 1368 @
771 3761 1008 @
1065 3760 1008 @
1688 3563 992 @
1820 3395 992 @
1949 3931 992 @
1211 3968 1008 @
1653 3812 992 @
3141 3838 832 @
1747 3402 1352 @
593 3917 1008 @
2509 3820 1290 "Castle North Balcony"
1576 3982 2104 "Castle North Tower"
3973 3607 832 "Castle North-East Tower"
3649 3998 1396 @
3960 3636 1584 @
3645 4016 1584 @
3810 3837 1872 @
3642 4016 832 @
925 3987 1920 "Castle North-West Tower"
-2127 1692 836 "Castle Road"
-562 2080 836 @
-2195 1917 835 @
-1596 1984 836 @
-73 1402 1429 "Castle Road Hills"
-1301 1047 1421 @
-2610 712 1558 @
1349 2280 1566 "Castle Roofs"
2390 2274 1568 @
1880 2644 1312 @
1945 2997 1542 @
1536 2999 1543 @
1802 3278 1361 @
77 3898 1761 @
68 3403 1762 @
2058 2107 1445 @
1758 3657 1663 @
-1601 3395 1328 "Castle Side Entrance"
-726 3701 1328 @
268 3714 1009 @
2732 1791 832 "Castle South"
2633 2065 840 @
2046 1826 832 @
2967 2154 832 @
2783 2053 840 @
1943 1857 2104 "Castle South Tower"
1738 1833 1256 "Castle Storage"
2389 2263 1192 @
1326 2265 1192 @
1794 2492 1192 @
3071 4021 1576 "Castle Vent"
3551 4023 1576 @
