/////////////////////////////////////////////////////////
// Map name       Cathedral                            //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-1387 1255 88 "Allied Start"
-1114 940 80 @
-1108 1364 80 @
5704 -1654 200 "Axis North Spawn"
6308 -2055 284 @
5959 -2070 284 @
6725 -1775 200 @
4325 -4837 176 "Axis South Spawn"
4313 -4263 168 @
-1118 735 80 "Central Nave"
-1186 -602 80 @
-796 -1628 80 @
-358 -2062 80 @
-55 -2050 80 @
357 -1642 80 @
479 -856 80 @
862 -575 80 @
855 696 80 @
450 1853 80 @
-188 1943 80 @
-860 1887 80 @
-870 1378 80 @
-178 -1076 112 @
-208 -272 112 @
-192 309 80 @
-175 1130 80 @
3435 -782 552 "Command Post"
3168 -977 552 @
3239 -613 552 @
3455 -411 552 "Command Post Hallway"
3798 -594 552 @
5961 -2595 448 "Convention"
5960 -2780 448 @
6315 -2592 448 @
6317 -2350 404 "Convention Stairs"
5316 -903 400 "East Radar Module"
662 -2197 352 "Forward Spawn"
663 -2681 352 @
638 -2706 80 @
656 -2502 80 @
671 -2020 80 @
354 -1920 80 @
925 -2394 96 @
655 -2429 352 "Forward Spawn Flag"
-658 1985 848 "Gallery"
-659 562 848 @
275 2040 848 @
293 558 848 @
1016 504 848 @
1035 -412 848 @
260 -414 848 @
267 -1682 848 @
-660 -1637 848 @
-678 -632 848 @
-1111 2114 608 "Gallery Ladder"
1173 -401 840 "Gallery Stairs"
1258 -523 552 @
1106 -2416 80 "Gazebo"
1119 -1961 80 @
1127 -1537 80 @
1105 -913 80 @
1830 -904 80 @
2634 -930 80 @
2656 -1325 80 @
2637 -1746 80 @
2685 -2455 80 @
2438 -1529 96 @
913 -2386 96 "Gazebo Hallway"
898 -2048 96 @
2892 -1561 88 "Main Gate"
2699 -1538 80 @
2948 -2379 88 "Main Gate Hallway"
2950 -1741 88 @
3247 -1924 96 @
3246 -2385 96 @
3245 -2988 96 @
2948 -2565 138 "Main Gate Stairs"
3011 -2897 360 @
3191 -3036 424 "Main Gate Upstairs"
3218 -2724 424 @
3199 -2124 424 @
850 -1521 80 "Nave Hallway"
676 -853 80 @
3987 -597 552 "North Courtyard"
3990 -1314 552 @
5047 -679 200 @
5034 -1042 200 @
4868 -1672 200 @
5095 -1667 108 @
5382 -1660 126 @
5540 -1621 200 @
5545 -1176 200 @
5543 -670 200 @
4345 -1297 552 @
5741 -910 200 @
5082 -902 200 @
5306 -689 200 @
5542 -926 200 @
5315 -1180 200 @
5978 -1638 448 "North Lookout"
5738 -1653 464 @
5747 -1464 448 "North Stairs"
5732 -1169 320 @
2839 -747 552 "Side Door"
3062 -772 552 @
2876 -1021 552 @
2601 -763 552 "Side Door Hallway"
1260 -747 552 @
3264 -3665 440 "South Barracks"
3409 -3868 440 @
3411 -4124 440 @
3416 -1729 552 "South Courtyard"
4357 -1718 552 @
4845 -1811 200 @
4581 -1823 200 @
5536 -2007 200 @
5268 -1995 92 @
5564 -2001 200 @
5755 -2356 208 @
5768 -2635 200 @
5784 -3008 200 @
5787 -3409 200 @
5777 -3807 200 @
5515 -3782 200 @
5228 -3832 200 @
5077 -4055 200 @
4530 -4046 168 @
4331 -4047 168 @
3665 -4068 88 @
3643 -3539 88 @
2772 -3338 88 @
3231 -3317 88 @
3495 -2944 88 @
3520 -2497 88 @
3537 -1955 88 @
3263 -3508 440 @
3244 -3145 424 @
5205 -1854 97 @
5535 -2232 200 @
4229 -2793 254 @
4330 -3037 273 @
4567 -3119 236 @
4801 -3031 235 @
4908 -2800 224 @
4804 -2586 262 @
4573 -2466 237 @
4345 -2570 249 @
3417 -4288 432 "South Hallway"
3862 -4290 432 @
4358 -4296 432 @
4751 -4300 432 @
5217 -4292 432 @
5414 -3974 360 @
5967 -4038 360 @
5957 -3833 448 "South Lookout"
5962 -3439 448 @
5970 -2953 448 @
5965 -2373 448 @
5955 -2071 448 @
5747 -1898 416 "South Stairs"
5748 -2210 272 @
4487 -1335 552 "Study"
4715 -1340 552 @
4723 -1637 552 @
4515 -1662 552 @
-180 -2238 80 "Supply Cabinets"
4555 -2802 312 "West Radar Module"
