/////////////////////////////////////////////////////////
// Map name       ChocoJump v1.3                       //
// Locations by   chocoballaholic                      //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    20-10-2008                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
2970 9001 1590 "^1Chocoball"
1894 10141 1572 "^1Clay Shooting"
465 325 416 "^1Enterance"
2934 9367 1568 "^1Final Door"
1575 6329 4848 "^1Goal"
1430 9369 1568 "^1Mini Games Hole"
2555 9373 1568 @
-1708 684 64 "^1Practice Area"
-1312 3574 832 @
-999 774 272 @
-1369 1175 328 @
2070 8792 1568 "^1Sniping"
3243 9958 1608 "^1Time Attacking"
1223 662 408 "^3Area ^1#1"
8445 3810 1720 "^3Area ^1#10"
7366 3610 1916 "^3Area ^1#11"
7284 2685 1431 "^3Area ^1#12"
6458 2992 2160 "^3Area ^1#13"
5860 3249 2288 "^3Area ^1#14"
5024 2149 2288 "^3Area ^1#15"
3735 2508 2388 "^3Area ^1#16"
2520 1756 2656 "^3Area ^1#17"
1294 1730 2528 "^3Area ^1#18"
1138 1652 2848 @
729 1982 2864 "^3Area ^1#19"
2337 799 354 "^3Area ^1#2"
336 2743 2736 "^3Area ^1#20"
889 2776 2897 "^3Area ^1#21"
2268 3218 2721 "^3Area ^1#22"
2632 3196 2992 "^3Area ^1#23"
3817 3212 3120 "^3Area ^1#24"
4564 3933 3377 "^3Area ^1#25"
6033 4128 3695 "^3Area ^1#26"
7191 4280 3544 "^3Area ^1#27"
8302 5500 3701 "^3Area ^1#28"
8800 8213 3375 "^3Area ^1#29"
3662 729 787 "^3Area ^1#3"
9188 9420 3717 "^3Area ^1#30"
5871 9567 2832 "^3Area ^1#31"
6337 7554 4118 "^3Area ^1#32"
4406 9149 3640 "^3Area ^1#33"
3070 6765 3701 "^3Area ^1#34"
2260 7449 4001 "^3Area ^1#35"
2157 6225 4224 "^3Area ^1#36"
8057 8874 3721 "^3Area ^1#37"
7597 8194 3972 "^3Area ^1#38"
7493 6976 4193 "^3Area ^1#39"
4425 764 614 "^3Area ^1#4"
7328 5908 4240 "^3Area ^1#40"
4144 6720 4464 "^3Area ^1#41"
3851 6093 4496 @
3619 5332 4592 "^3Area ^1#42"
3143 4462 4574 "^3Area ^1#43"
1029 3801 4784 "^3Area ^1#44"
564 5973 4770 "^3Area ^1#45"
415 6901 5064 "^3Area ^1#46"
-572 7971 5168 "^3Area ^1#47"
6453 344 512 "^3Area ^1#5"
7983 599 992 "^3Area ^1#6"
7953 1040 980 @
8751 967 1003 "^3Area ^1#7"
8699 1535 1136 "^3Area ^1#8"
9329 3032 1568 "^3Area ^1#9"
