/////////////////////////////////////////////////////////
// Map name       The Citadel                          //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    25-07-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1151 -959 81 "^1Church Flag"
-31 1132 37 "^1Citadel Barrier"
-222 -223 63 "^1Citadel Flag"
1655 735 172 "^1Citadel North Flag"
48 21 192 "^1Command Post"
-3105 1760 -37 "^1Lake Flag"
68 460 64 "^1Temple MG Nest"
-1057 -801 -42 "^1Village Entrance Flag"
-3560 -570 -227 "^2Allied Spawn"
3360 -1527 105 "^2Axis Spawn"
-3260 1995 -47 "^3Ammo Cabinets"
1863 111 64 @
3037 -1520 96 "^3Church Area"
3702 -1518 119 @
3364 -1861 132 @
3358 -1128 97 @
1424 -966 56 @
1157 -716 52 @
875 -954 80 @
836 -660 64 @
2077 116 64 @
2277 392 88 @
1920 -196 64 @
1651 -553 50 @
3791 -624 280 @
1113 -454 54 "^3Citadel Arch"
-413 -218 64 "^3Citadel Area"
-369 387 64 @
-146 87 64 @
21 -237 67 @
74 274 144 @
522 40 64 @
368 464 64 @
7 772 44 @
-408 893 47 @
498 1366 64 @
543 952 64 @
345 -339 64 @
1863 111 176 "^3Citadel North"
839 54 64 @
797 1365 64 @
804 956 64 @
1496 747 64 @
1657 466 176 @
1871 351 64 @
1779 731 176 @
1125 1477 64 @
1431 1593 101 @
1479 1312 64 @
1642 1013 176 @
1113 -226 54 @
1478 93 64 @
1649 -200 64 @
2277 521 96 "^3Citadel North Rear"
2250 885 192 @
-31 1132 240 "^3Citadel Walls"
-521 -92 240 @
-517 387 240 @
685 52 224 @
-581 891 240 @
-389 1109 240 @
-811 986 240 @
362 1357 240 @
667 1366 224 @
672 948 224 @
500 1652 256 @
1117 1594 232 @
1431 1593 232 @
1479 1312 232 @
1113 -454 232 @
672 -652 224 @
1781 -198 176 @
1650 -407 176 @
-863 1741 -33 "^3Health and Ammo"
-3264 1764 -47 "^3Lake Area"
-3398 2023 -46 @
-3239 2169 -47 @
-2952 1989 -47 @
-3103 1626 -102 @
-2924 1757 -47 @
-3120 1128 -47 @
-4017 1112 -47 @
-2549 1113 -47 @
-2623 2180 -47 @
-3248 1997 76 @
-4678 1338 -22 @
-3064 1917 52 @
-2564 1798 -47 @
-2577 2796 -23 @
-3249 2805 3 @
-3421 2635 -37 @
-2368 2173 -39 "^3Lake Area Entrance"
-2360 2778 112 @
-3119 999 240 "^3Lake Area Walls"
-4019 991 240 @
-2557 990 240 @
-2364 1124 256 @
-2368 2173 256 @
-4797 1342 240 @
-4793 978 240 @
-2400 1803 256 @
-1833 983 240 @
-2561 2981 22 "^3North Hills"
-2360 2993 27 @
-2179 3022 37 @
-3256 2961 27 @
-3500 2854 -1 @
-1877 3086 43 @
-1750 3267 63 @
-1211 3325 65 @
-770 3307 180 @
-260 2523 16 @
-258 3043 107 @
-515 3337 272 @
575 2519 134 @
1049 2020 122 @
1023 2531 291 @
1120 1709 74 @
1433 1711 95 @
1649 1599 155 @
1637 1308 66 @
2187 1312 226 @
-771 3194 240 "^3North Walls"
-247 2403 240 @
-382 2529 240 @
-380 3065 240 @
-509 3176 240 @
577 2376 240 @
908 2021 240 @
-382 1246 18 "^3Northern Area"
-1264 1731 -37 @
-30 1548 16 @
-2138 2187 -43 @
-1793 1786 -45 @
-2106 1787 144 @
-1890 1603 144 @
-2174 2787 112 @
-1301 1163 0 @
-809 1135 37 @
283 1348 44 @
500 1700 32 @
-1871 2935 64 @
-1721 3113 64 @
-1195 3016 38 @
-774 3068 84 @
-1138 2694 -41 @
-250 2284 5 @
-493 2526 -5 @
-508 3074 102 @
568 2270 97 @
789 2020 78 @
-1941 1786 48 "^3Northern Area MG42"
-3565 -1024 -209 "^3Village"
-3560 -56 -186 @
-4405 -547 -193 @
-2839 -571 -230 @
-1333 -793 -47 @
-1057 -1061 -47 @
-782 -804 -47 @
-1051 -607 -159 @
-667 -108 -58 @
-796 394 -23 @
-3117 867 -47 @
-4022 866 -47 @
-2549 872 -47 @
-794 811 33 @
-1287 853 -3 @
-1837 863 -47 @
-521 -92 -19 "^3Village Entrance"
-517 387 64 @
-581 891 64 @
-811 986 64 @
