/////////////////////////////////////////////////////////
// Map name       Coast b1                             //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    17-12-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
2353 4413 832 "^1Anti Air Gun"
-2165 3426 784 "^1Command Post"
4920 2473 529 "^1Escape Boat"
2637 2482 752 "^1Main Gate"
1478 4661 860 "^1Secret Documents"
1829 -382 641 "^1Side Gate"
1971 1623 670 "^1Tank Barrier #1"
301 4888 858 "^1Wooden Gate"
4643 -720 496 "^2Beach Spawn"
-2168 3186 784 "^2Command Post Spawn"
-1988 3434 784 @
775 4791 608 "^2House Spawn"
787 5469 608 @
472 4894 608 @
424 5485 632 @
417 5293 632 @
4103 5333 872 "^2Hut Spawn"
4109 5877 872 @
371 -1551 594 "^2Market Spawn"
-149 -1552 594 @
173 -1151 594 @
244 -1218 594 @
173 -898 594 @
2243 426 196 "^3Abyss"
2309 4882 800 "^3Anti Air Gun Hill"
2744 4569 830 @
3115 4276 833 @
3552 4627 845 @
3131 4903 784 @
2632 5054 800 @
3835 4466 855 @
3443 4134 800 @
2772 3951 771 @
2644 5228 672 "^3Anti Air Gun Trench"
2255 5228 658 @
3036 5248 672 @
1770 5275 773 @
1745 4671 608 @
3731 162 432 "^3Cave"
2243 426 439 @
1584 474 432 @
2665 267 432 @
3737 -448 592 "^3Cave Entrance"
3747 -3 583 @
1582 353 432 "^3Cave Exit"
1542 112 448 @
4284 2321 568 "^3Escape Beach"
4645 3230 553 @
4622 1949 559 @
3356 2010 754 "^3Escape Path"
4025 2216 616 @
4322 3597 901 "^3Hill Path"
3767 3526 903 @
3156 3416 856 @
3004 3026 765 @
256 5288 824 "^3House Backyard"
114 4884 811 @
-889 3991 847 @
289 4385 786 @
355 4319 781 @
103 3979 791 @
95 3358 797 @
-353 3670 794 @
538 3668 743 @
862 4093 784 @
1131 3512 681 @
253 5469 976 "^3House Balcony"
1478 4661 594 "^3House Downstairs"
897 4791 608 @
938 5467 608 @
1469 5313 656 @
775 4791 864 "^3House Lobby"
787 5469 864 @
472 4894 864 @
424 5485 864 @
370 5470 976 @
417 5293 864 @
354 4386 864 @
-374 1410 672 "^3House Path"
-898 2634 866 @
-808 3099 884 @
-944 3547 860 @
882 4381 608 "^3House Storage Area"
905 4109 620 @
1479 4555 608 @
1987 4036 624 @
1837 4509 608 @
897 4791 864 "^3House Upstairs"
938 5467 864 @
1469 5313 871 @
3142 4616 872 "^3MG Nest"
2638 2866 730 "^3Main Gate Area"
1929 2936 709 @
2407 3568 672 @
2637 2482 1072 "^3Main Gate Guard Post"
3249 2459 1056 @
371 -1551 864 "^3Market House Balcony"
-149 -1552 864 "^3Market House Upstairs"
242 -1149 864 @
174 -829 868 @
242 -1149 592 "^3Market Square"
174 -829 592 @
242 -901 592 @
1716 -1043 592 @
1698 -621 592 @
831 -1530 570 @
317 -74 640 @
1410 -274 640 @
882 -274 640 @
1677 -1356 592 @
2242 5499 839 "^3North Hills"
2632 5488 837 @
1768 5353 832 @
3027 5509 740 @
4106 5990 864 @
3817 5863 859 @
3828 5315 837 @
4039 4651 864 @
4103 5226 864 @
4404 5328 864 @
4408 5880 864 @
4452 4528 853 @
-2168 3108 777 "^3Outside Command Post"
-2306 3190 832 @
-2261 3426 808 @
-1572 3474 812 @
-1475 3187 772 @
2349 1651 692 "^3Outside Main Gate"
2641 2190 752 @
3088 2088 765 @
4865 4102 800 "^3Pier"
5503 4099 800 @
4461 4113 722 "^3Pier Trench"
4056 4460 672 @
3766 3693 672 @
3435 4005 672 @
3144 3754 672 @
2780 3650 672 @
96 3664 792 "^3Supplies Hut"
96 3664 1003 "^3Supplies Hut Roof"
311 76 646 "^3Tank Road"
312 1158 640 @
1511 1601 629 @
3339 -1437 592 "^3Village Alleys"
3571 -1109 592 @
3742 -920 592 @
3952 -726 592 @
3739 -560 592 @
3350 -661 592 @
3255 -454 592 @
2660 -47 640 @
2157 -75 640 @
1842 -93 640 @
2157 -365 640 @
2745 -629 592 @
2307 -993 592 @
1909 -1041 592 @
2290 -1436 768 @
2749 -1651 808 "^3Village Balcony"
4183 -720 554 "^3Village Beach"
4198 2 656 @
4379 -1443 540 @
4531 -1675 555 @
3952 -1637 602 @
2749 -1651 592 "^3Village Dock"
3339 -1532 592 @
2289 -1670 592 @
1702 -1653 592 @
3738 -1112 592 "^3Village Houses"
3328 -1104 592 @
2742 -1445 592 @
2741 -1414 815 @
2755 -986 592 @
1542 112 647 "^3Village Offices"
1773 -97 640 @
1410 -205 640 @
882 -205 640 @
7979 1032 996 "^7eiM's Lighthouse"
4731 46 475 "^dOcean"
371 -1551 475 @
-149 -1552 475 @
837 -1769 475 @
4536 -1433 475 @
4911 -1683 475 @
4554 -2144 475 @
3951 -2076 475 @
5257 -744 475 @
7997 451 475 @
8016 1583 475 @
8563 986 475 @
7361 1078 475 @
3353 -2079 475 @
2292 -1891 475 @
1696 -1876 475 @
2784 -1881 475 @
5130 5907 475 @
5119 5301 475 @
4919 3234 475 @
5409 2473 475 @
4910 1936 475 @
4865 4102 475 @
5503 4099 475 @
5051 4758 475 @
