/////////////////////////////////////////////////////////
// Map name       Colosseum B5                         //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    13-03-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-3008 2104 640 "Allied Spawn"
-1055 1049 472 "Arena"
-1753 1660 472 @
-1062 2290 472 @
-375 1666 472 @
-1059 877 472 "Arena South Entrance"
-1013 395 472 @
-2492 1654 472 "Arena West Entrance"
-1896 1659 472 @
-2125 1337 472 @
-1057 929 893 "Auditorium"
-1812 1661 848 @
-1062 2352 880 @
-315 1664 848 @
4203 -3626 464 "Axis Spawn"
4871 -3686 320 @
846 -2842 320 "Command Post"
2407 -2613 440 "Courtyard"
3269 -3141 448 @
4865 -3138 320 @
4939 -477 320 @
4150 -289 448 @
2491 -1389 192 @
3035 -314 219 @
3610 -685 273 @
4703 -1382 328 @
4168 -2140 376 @
3620 -2039 272 @
3010 -2215 320 @
1991 -205 448 @
1438 -2018 320 @
576 -1060 448 "Courtyard Entrance"
1380 38 448 @
689 -14 448 @
4864 323 320 "Courtyard Spawn"
4164 153 448 @
1486 -1048 400 "Courtyard Stairs"
3613 -1400 400 "Gold Crates"
-861 -3201 320 "Health and Ammo"
337 -15 448 "Main Door"
-1076 3408 182 "North Alleyway"
-1890 3404 472 @
317 2703 224 @
659 1595 373 @
239 624 448 @
-2507 2563 464 @
-1076 3408 472 "North Bridge"
-1061 3794 496 "North Colonnade"
-208 -760 624 "Palace"
247 -736 624 @
-766 -485 624 @
-230 -83 448 "Palace Square"
65 -3001 320 "Side Door"
-2662 1653 464 "South Alleyway"
-2490 758 424 @
-894 15 385 @
-1690 136 403 @
1549 -3116 328 "South Courtyard"
2421 -3181 324 @
6 -2755 320 "Spa"
-166 -3001 296 @
-578 -3193 320 @
-861 -2967 296 @
-1136 -3189 320 @
-767 -1260 320 @
1 -2764 824 "Spa Balcony"
-209 -3173 824 @
-767 -1260 824 @
-1147 -3182 824 @
-878 -2971 867 @
311 -3001 824 "Spa Balcony Stairs"
831 -3598 432 @
-873 -160 400 "Spa Entrance"
-776 -1113 320 @
3011 -1402 384 "The Capitol"
3615 -1087 384 @
4205 -1401 384 @
3615 -1683 384 @
