/////////////////////////////////////////////////////////
// Map name       Crevasse B3                          //
// Locations by   Dersaidin                            //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    19-04-2008                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-1053 -1905 -965 "^1Anti-Tank Gun"
80 518 -749 "^1Command Post"
-1109 -2625 -968 "^1Gun Console"
1135 2202 -87 "^1Keycard"
-267 -2814 -985 "^1Transmitter"
-9 181 344 "^3Allies First Spawn"
-143 104 344 @
-703 -2785 -753 "^3Axis Balcony"
-474 2269 -119 "^3Axis First Spawn"
-865 2264 -119 @
-670 2857 -119 @
-46 3012 -119 @
-373 -3786 -825 "^3Axis Rear Spawn"
-553 -3568 -777 @
-195 -3550 -777 @
1 -2839 -717 "^3Axis Window"
-146 -1230 -961 "^3Barrel"
-176 -1217 -777 "^3Barrel Roof"
1140 1078 8 "^3Catwalks"
1314 1206 -47 @
917 1246 78 @
909 1480 78 @
875 958 110 @
910 1065 78 @
929 1175 -60 @
1277 1452 -127 @
268 555 -111 "^3Central"
-340 811 -117 @
721 680 -129 @
687 236 -96 @
709 780 -123 @
535 537 -44 @
282 266 -319 "^3Central Ramp"
530 278 -319 @
522 662 -227 @
-614 -614 -977 "^3Connector"
-1132 -618 -977 @
273 242 -121 "^3Console Bridge"
400 -8 -119 "^3Console Cage"
1801 -1761 -1009 "^3Documents Room"
2585 -1860 -1009 @
-367 419 -446 "^3Elevator"
-757 413 -454 @
-388 103 -761 "^3Elevator Low"
-790 95 -761 @
-65 120 -761 @
13 273 -319 "^3Elevator Top"
-409 198 -319 @
-738 177 -319 @
-1100 13 -305 "^3Elevator Vent"
-1113 12 -727 @
-757 413 -823 "^3Elevator Water"
-332 414 -827 @
681 -1749 -1009 "^3Grass"
664 -1200 -888 @
1290 -951 -998 @
265 -1191 -946 @
1329 -1804 -1011 "^3Grass East"
607 -457 -959 "^3Grass North"
933 -2610 -963 "^3Grass South"
-212 -2176 -987 "^3Grass West"
-230 -1802 -985 @
439 527 -749 "^3Health & Ammo"
553 -133 -761 "^3Hole"
1009 1761 80 "^3Key High"
1136 2195 80 @
678 2227 80 @
826 2494 111 @
636 1816 80 @
974 1747 -119 "^3Key Low"
633 1826 -119 @
683 2218 -119 @
823 2502 -119 @
987 2028 -119 @
1174 2488 -119 @
374 1221 80 "^3Ladder High"
27 1216 80 @
385 1002 80 @
731 1221 80 @
763 1015 80 @
684 1017 -119 "^3Ladder Low"
488 1257 -119 @
6 1164 -119 @
1703 -909 -955 "^3North Blast Door"
1113 210 -175 "^3Office Basement"
1150 820 -175 @
1045 750 -175 @
1127 916 216 "^3Office Crack"
1158 143 196 "^3Office High"
1110 653 196 @
1135 542 8 "^3Office Mid"
1034 825 22 @
1256 156 8 @
1215 -301 -83 "^3Office Mid Steps"
1921 166 104 "^3Office Top Steps"
569 153 264 "^3Office Tunnel"
-578 -2832 -985 "^3Radio Room"
-1013 -2805 -985 @
106 -2922 -985 @
-262 -3036 -985 @
-451 267 80 "^3Ramps"
30 286 -121 @
28 279 108 "^3Ramps Windows"
-1819 -1880 -969 "^3Shelves"
-1882 -1626 -783 "^3Shelves Vent"
-821 -314 -759 "^3Side"
-1623 -873 -759 @
-1584 -1526 -759 "^3Side Balcony"
-1539 -1930 -759 @
1796 -2866 -955 "^3South Blast Door"
-601 -1005 -969 "^3Storage"
-607 -1234 -969 @
-1164 -1259 -969 @
-1137 -944 -969 @
46 1522 4 "^3Truck Stairs"
593 2951 -131 "^3Truck Yard"
343 2285 -134 @
359 1768 -127 @
-602 -1472 -969 "^3Warehouse"
-1161 -1474 -969 @
-428 -1808 -969 @
-1306 -1736 -969 @
-1329 -2426 -969 @
-972 -2445 -969 @
-588 -2553 -969 @
-417 -2180 -969 @
