/////////////////////////////////////////////////////////
// Map name       CTF-Face-B1                          //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    29-05-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-2394 -536 -703 "Allied Spawn Area"
-2352 1204 -703 @
6201 -410 -703 "Axis Spawn Area"
6223 1339 -703 @
-1872 943 -695 "Blue Flag"
-1591 333 -63 "Blue Tower"
-1728 668 -703 @
-2074 662 -703 @
-1773 -50 -703 @
-1150 330 320 @
-1416 323 832 @
-1908 345 2300 @
-1060 341 -687 "Blue Tower Entrance"
-1591 333 -687 @
2029 897 -1220 "Falling..."
3514 1011 -1835 @
3061 -475 -1813 @
2047 -139 -1131 @
6201 -410 -1889 @
6223 1339 -1936 @
5201 -425 -1863 @
4815 -108 -1646 @
4621 444 -1617 @
4879 1037 -1750 @
5221 1312 -1894 @
586 1468 -1696 @
468 -222 -1689 @
-1004 -267 -1724 @
-1406 -540 -1813 @
-2394 -536 -1927 @
-2352 1204 -1735 @
-1343 1195 -1936 @
-993 902 -1828 @
-780 348 -687 "Outside Blue Tower"
-1004 -267 -703 @
-1406 -540 -703 @
-1343 1195 -703 @
-993 902 -703 @
5201 -425 -703 "Outside Red Tower"
4815 -108 -703 @
4621 444 -687 @
4879 1037 -703 @
5221 1312 -703 @
2029 897 -99 "Ramps"
3514 1011 -514 @
3061 -475 -317 @
2047 -139 -95 @
586 1468 -484 @
461 -222 -525 @
5729 -144 -695 "Red Flag"
5590 133 -703 "Red Tower"
5950 125 -703 @
5600 851 -703 @
5791 463 2287 @
5013 457 320 @
5274 466 832 @
5293 476 -63 @
4909 451 -687 "Red Tower Entrance"
5499 459 -687 @
