/////////////////////////////////////////////////////////
// Map name       CTF Sub                              //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
103 383 240 "Allied East Stairs"
186 584 168 @
235 366 112 @
203 861 72 "Allied Gold"
-63 799 72 @
-61 380 72 @
-324 813 72 @
-239 803 264 "Allied Gold Storage"
-69 812 264 "Allied Spawn"
-64 362 264 @
194 873 264 @
289 875 264 "Allied Vent"
412 866 96 @
292 875 72 @
-238 389 232 "Allied West Stairs"
-301 581 168 @
-369 353 104 @
113 -1721 248 "Axis East Stairs"
168 -1919 168 @
237 -1728 112 @
-338 -2198 72 "Axis Gold"
-56 -2193 72 @
188 -2189 72 @
-63 -1751 72 @
88 -2156 264 "Axis Gold Storage"
-60 -1735 264 "Axis Spawn"
-56 -2169 264 @
-326 -2234 264 @
-414 -2231 264 "Axis Vent"
-553 -2231 96 @
-426 -2238 72 @
-235 -1735 240 "Axis West Stairs"
-301 -1908 168 @
-376 -1719 104 @
378 -1000 240 "East Stairs"
582 -1071 168 @
368 -1143 112 @
361 -391 104 @
580 -321 168 @
376 -250 240 @
-75 -8 62 "Submarine"
-74 -276 62 @
-68 -503 62 @
-73 -707 37 @
-75 -904 60 @
-79 -1177 59 @
65 -709 105 "Submarine Bridge"
-57 -710 136 @
-186 -710 108 @
-65 265 264 "Submarine Catwalk"
-236 256 264 @
-355 236 264 @
-349 -15 264 @
-353 -370 264 @
-342 -657 264 @
-344 -1103 264 @
-346 -1597 264 @
-54 -1605 264 @
244 -1627 264 @
107 -1618 264 @
-238 -1639 264 @
-361 -897 264 @
107 267 264 @
275 296 264 @
219 44 264 @
232 -245 264 @
231 -491 264 @
231 -747 264 @
230 -1009 264 @
230 -1206 264 @
229 -1414 264 @
-64 -1064 264 @
-66 -724 264 @
-65 -295 264 @
-361 -1378 264 @
-326 -166 264 @
-71 -495 264 @
-53 -842 264 @
236 261 72 "Submarine Platform"
-59 261 72 @
-370 266 72 @
-367 -14 72 @
-364 -245 72 @
-362 -532 72 @
-360 -708 72 @
-358 -973 72 @
-355 -1267 72 @
-352 -1608 72 @
-55 -1605 72 @
248 -1603 72 @
235 -1328 72 @
235 -1145 72 @
235 -932 72 @
234 -710 72 @
234 -396 72 @
233 -124 72 @
-306 200 72 @
237 39 72 @
184 -537 72 @
82 -1564 72 @
-207 -1562 72 @
-120 -1623 -311 "Submarine Tank"
74 -1653 -311 @
91 -1082 -311 @
78 -708 -311 @
108 -1623 -131 @
-208 -1597 -65 @
-198 -1265 -4 @
-189 -945 -6 @
-181 -744 -19 @
-172 -483 -27 @
-163 -239 -18 @
-153 46 -25 @
90 59 -87 @
66 -226 -62 @
66 -522 -41 @
72 -687 -54 @
55 -978 -35 @
33 -1229 -30 @
49 -1575 -54 @
-76 -1048 -208 @
-69 -719 -311 @
-53 -298 -284 @
255 -724 -271 @
537 -704 -135 @
-578 -707 -241 @
-684 -706 -70 @
-497 -702 72 "Supply Cabinets"
381 -705 72 @
631 -710 72 @
-781 -717 84 @
-664 -809 72 @
-519 -830 72 @
-493 -992 104 "West Stairs"
-686 -1063 168 @
-500 -1131 240 @
-507 -390 240 @
-684 -311 168 @
-511 -244 120 @
