/////////////////////////////////////////////////////////
// Map name       Decerto (B1)                         //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-2000 1711 64 "Arena 1"
-1663 1703 68 @
-1632 1300 64 @
-1630 866 64 @
-1686 524 64 @
-2348 596 71 @
-2307 1105 49 @
-2241 1653 67 @
-57 1741 64 "Arena 2"
-44 1093 92 @
-54 341 64 @
-439 484 64 @
-2000 -1578 64 "Arena 3"
-1618 -1218 64 @
-1615 -837 64 @
-1625 -404 64 @
-2383 -386 64 @
-2367 -1151 64 @
-48 -267 64 "Arena 4"
275 -546 64 @
-404 -566 64 @
-362 -955 70 @
-396 -1414 64 @
-398 -1124 70 @
-27 -1577 64 @
362 -1556 64 @
243 -926 218 @
540 -1792 320 "Frostbite Arena"
885 -2200 288 @
1102 -1742 256 @
1807 -1747 256 @
2424 -1424 416 @
2358 -717 295 @
1906 -1239 64 @
1368 -1286 64 @
-1057 -399 320 "Spectator Catwalk"
-727 -550 320 @
-738 -978 320 @
-739 -1349 320 @
-1038 -1348 320 @
-1037 -958 320 @
-1036 -660 320 @
-1323 -528 320 @
-1325 -877 320 @
-1326 -1286 320 @
-1022 466 320 @
-1018 718 320 @
-1324 720 320 @
-711 717 320 @
-709 1077 320 @
-1041 1079 320 @
-1321 1081 320 @
-1319 1449 320 @
-1022 1447 320 @
-683 1445 320 @
-708 719 65 "Staging Area"
-654 1081 65 @
-648 1478 65 @
-1408 1506 65 @
-1390 1103 65 @
-1412 726 65 @
-615 -606 65 @
-616 -982 65 @
-624 -1330 65 @
-1413 -1337 65 @
-1386 -947 65 @
-1384 -566 65 @
-936 1453 66 "Staging Area: Arena 1"
-937 719 66 "Staging Area: Arena 2"
-957 -583 66 "Staging Area: Arena 3"
-957 -1331 66 "Staging Area: Arena 4"
-957 -955 66 "Staging Area: Frost"
-915 1085 66 "Staging Area: Supply"
1380 912 -95 "Supply Depot Arena"
1072 1008 -95 @
1355 1642 80 @
1198 1369 224 @
1795 1051 336 @
1442 1027 384 @
1779 1431 384 @
1372 1775 384 @
1039 1543 384 @
1412 1482 384 @
