/////////////////////////////////////////////////////////
// Map name       Decorder B4                          //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-972 -2754 -32 "Allied Spawn"
-3784 1583 -239 "Axis Spawn"
-2982 1477 -239 @
-2979 1474 -47 @
-3688 2065 -47 @
-2651 2185 -371 "Axis Team Door"
-515 -162 -227 "Barracks"
-520 -371 -227 @
-507 49 -227 @
-871 -373 -227 @
-1222 -381 -227 @
-1233 45 -227 @
-1019 -190 -227 @
-223 1322 -15 "Base Gate MG42"
-1346 1685 -239 "Base Main Hallway"
-2270 1682 -239 @
-2214 1909 -239 @
-2979 1367 -239 @
-1293 1880 -239 @
-3931 60 -239 "Base Office"
-2807 2452 -236 "Base Service Area"
-1092 2254 -371 @
-558 2054 -459 @
-2819 2185 -371 @
-2667 2381 -371 @
-2410 2175 -371 @
-3895 1587 -239 "Base Storage Hallways"
-4187 2114 -239 @
-3936 188 -239 @
-1162 1945 -239 "Base Yard"
-1171 1515 -239 @
-1160 1711 -239 @
-581 2074 -239 @
-274 2061 -239 @
-432 1775 -239 @
-214 1483 -231 @
-360 1309 -37 @
-1231 1253 14 @
-1334 1652 14 @
-1333 1884 14 @
-230 2285 -15 @
3186 1777 -223 "Bridge"
2816 1772 -223 @
2365 1767 -223 @
1832 1760 -223 @
2057 1763 -223 @
3300 -567 241 "Cliffs"
3340 127 305 @
-1167 -224 -227 "Command Post"
-2793 49 199 "Decoder in Lab 1 (Grey)"
-3399 -256 -25 "Decoder in Lab 2 (Green)"
-4329 2543 -32 "Decoder in Lab 3 (Yellow)"
1092 -531 -156 "Fence"
1314 -590 -47 @
1310 -250 -163 @
-153 1773 -230 "Gate to the Axis Base"
51 1377 -235 "Guard Booth"
1056 -1987 -147 "Health and Ammo Cabinets"
-2419 1201 188 "Lab 1 (Grey)"
-1344 1536 -242 @
-2957 -173 188 @
-2612 -173 188 @
-2869 852 3 @
-2769 270 188 @
-1348 1322 -67 @
-1375 1523 32 @
-1340 1387 188 @
-2573 819 -47 "Lab 2 (Green)"
-3430 -547 -47 @
-3408 72 -47 @
-3185 -264 -47 @
-3192 766 -47 @
-2276 1599 -192 @
-2979 1368 -47 @
-3869 1297 -47 @
-3769 1209 -47 @
-3190 1208 -47 @
-2870 949 -47 @
-3975 1294 -47 "Lab 3 (Yellow)"
-4143 2290 -47 @
-4064 2679 -47 @
-3684 2185 -47 @
-2816 2556 -215 @
-2211 2018 -215 @
3180 526 -410 "Lake"
2362 1763 -392 @
2047 1784 -389 @
2135 2060 -446 @
2764 1760 -409 @
2826 2026 -415 @
2384 1083 -424 @
2655 1135 -425 @
3012 1000 -428 @
3186 2048 -264 "Lake Area"
2865 2310 -275 @
2352 2339 -297 @
1872 2314 -320 @
1957 2048 -335 @
1491 2051 -324 @
2879 1277 -264 @
3187 1509 -219 @
1685 2072 -333 @
1242 2128 -172 @
432 975 -230 "Loading Area"
552 1187 -242 @
661 1358 -244 @
933 1417 -241 @
918 577 -231 @
584 620 -236 @
301 762 -234 @
-101 1484 -232 "Outside Axis Base"
54 1468 -239 @
-33 1389 -239 @
47 1307 -239 @
139 1379 -239 @
-64 2103 -239 @
394 2121 -237 @
156 2095 -241 @
729 2342 -41 @
760 2107 -135 @
113 941 -138 @
444 1354 -243 @
-424 57 -239 "Outside the Barracks"
-417 -162 -230 @
-420 -377 -239 @
-518 -462 -239 @
-873 -466 -231 @
-1227 -468 -239 @
-1291 -386 -184 @
-1290 -220 -184 @
-1294 38 -184 @
152 47 -233 @
378 -217 -238 @
215 -648 -164 @
3139 -1119 -234 "Ramp"
3220 -1296 -146 @
3227 -748 169 @
127 1770 -231 "Road to Base"
511 1767 -231 @
1028 1774 -231 @
1566 1770 -231 @
696 1822 -231 @
545 1697 -231 @
1273 1881 -231 @
-448 2052 -457 "Sewers"
85 2052 -453 @
675 2057 -449 @
1305 2062 -445 @
1978 2067 -440 @
1659 2054 -449 @
1508 2055 -449 @
354 2055 -449 @
-3194 878 -47 "Shooting Range"
-3204 1106 -47 @
-3752 1095 -47 @
-3768 842 -38 @
1526 -896 -375 "Small Pond"
1306 -1138 -361 @
2048 -1625 72 "Sniper Hill"
2478 -1472 199 @
2365 -1768 100 @
1848 -2333 -241 "South East Path"
2580 -2171 -232 @
2950 -1770 -178 @
2808 -982 -239 @
2154 -933 -234 @
-845 -2739 -41 "The Farm"
946 -2016 -178 @
1188 -1841 -147 @
1171 -2147 -147 @
1061 -1999 28 @
1483 -2386 -221 @
983 -1450 -236 @
1409 -1589 -204 @
545 1354 -206 "Truck"
