/////////////////////////////////////////////////////////
// Map name       Den of Lions                         //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 30                //
// Last edited    06-07-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-8009 5057 -909 "^1Allied Command Post"
3488 917 -1663 "^1Axis Command Post"
5167 -3165 -1335 "^1Axis Goldcrate"
5166 -3063 -1343 "^1Axis Safe Door"
4920 -2811 -2095 "^1Axis Sewer Barrier"
-6270 -4494 -719 "^1Cell Door"
-6666 -213 -792 "^1Farmhouse Barrier"
-5359 -1556 -961 "^1Gold Crate Escape Truck"
-6054 -4269 -743 "^1Prisoner"
6126 98 -1533 "^1Red Cross Medical Station"
-6142 -4995 0 "^2Allied Spawn"
-6633 -4864 0 @
-5661 -4870 0 @
5904 -2656 -575 "^2Axis Spawn"
6868 -2620 -575 @
6898 -3612 -575 @
5932 -3086 -572 @
6215 -3083 -575 @
6194 -3517 -575 @
786 -3786 -215 "^2Forward Spawn"
1216 -3333 -215 @
-6937 -3154 -831 "^3Allied Side"
-7480 -3477 -376 @
-6138 -3743 -727 @
-6852 -4711 -268 @
-6830 -3963 -275 @
-5292 -1878 -972 @
-5804 -1586 -927 @
-5406 -1204 -911 @
-5047 -1464 -944 @
-6955 -2196 -483 @
-6302 -2706 -431 @
-6024 -718 -713 @
-5682 -500 -736 @
-5062 -4717 -4 @
-5501 -4728 -628 @
-5496 -3933 -727 @
-5657 -3795 -727 @
-5642 -2042 -787 @
-6149 -1983 -507 @
-4738 -938 -863 @
-4447 -623 -789 @
-4711 -324 -788 @
-5040 -638 -842 @
-3503 -3261 -642 @
-4150 -3679 -385 @
-3491 116 -575 @
-3630 -1506 -625 @
-3905 865 -194 @
-5393 705 -689 @
-4615 1249 -718 @
-3592 -692 -545 @
-3581 -2304 -599 @
-3491 116 128 "^3Allied Side Overlook"
-3517 -1505 128 @
-3509 -3495 128 @
-3905 865 128 @
-3592 -692 128 @
-3581 -2304 128 @
3216 778 -1279 "^3Axis Arches Corridor"
3928 911 -1279 @
4931 890 -1279 @
5642 881 -1279 "^3Axis East Stairwell"
5642 881 -1051 @
5642 881 -775 @
4931 890 -1040 @
3064 885 -1663 "^3Axis Lower Corridor"
3928 911 -1663 @
4932 881 -1519 @
4990 -3007 -1339 "^3Axis Safe Room"
4440 -2760 -1666 "^3Axis Side"
6126 98 -1383 @
5785 98 -1519 @
6128 313 -1548 @
4576 303 -1519 @
4555 -379 -1519 @
5898 92 -1803 @
5904 -2656 -1335 @
5889 -2408 -559 @
6869 -2439 -559 @
7039 -2603 -559 @
7007 -3604 -559 @
6190 -3768 -559 @
6901 -3682 -559 @
6904 -3115 -1343 @
5932 -3086 -1342 @
5489 -3080 -1343 @
6215 -3083 -1023 @
6194 -3517 -1033 @
5762 -2655 -575 @
5664 -3084 -575 @
5470 -3517 -575 @
5146 -3649 -1581 @
6086 -1077 -1510 @
6235 106 -1521 @
4579 -2 -602 @
4579 -2 -1768 @
3090 -2397 -1504 @
3117 -3913 -917 @
3505 -3293 -1198 @
5565 -5103 -540 @
3199 -847 -1519 @
3097 727 -575 @
3922 1208 -1257 @
4939 546 -1519 @
5642 881 -575 @
3115 -316 -1519 @
3346 111 -1519 @
4795 -2747 -1713 @
3618 -1254 -1963 @
3967 883 -575 @
3090 -2397 -1007 "^3Axis Side Overlook"
3090 -2397 -575 @
3098 -3299 -1007 @
3098 -3299 -575 @
3435 -2807 64 @
3430 -1292 192 @
3199 -847 -1007 @
2967 74 -1007 @
2990 91 -575 @
3382 -314 -575 @
3086 -1674 176 @
3015 -1536 -575 @
5932 -3086 -831 "^3Axis Spawn Ladder"
5932 -3086 -1052 @
3211 887 -855 "^3Axis Upper Corridor"
4533 879 -855 @
2992 262 -583 "^3Axis West Stairwell"
3202 612 -855 @
2963 269 -1007 @
3217 598 -1279 @
3099 586 -583 @
3072 397 -1616 @
-6190 -4282 -727 "^3Cell"
-5969 -4477 -727 @
-3511 -3741 -383 "^3Center Bunker"
-3085 -3716 -383 @
-3061 -3309 -383 @
-3001 147 -383 @
-3133 -725 -383 @
-3116 -2301 -383 @
-3187 -1521 -543 @
-2773 -4197 128 "^3Center Bunker Controls Room"
-3492 -3913 128 @
-2856 1243 128 "^3Center Bunker Upstairs"
-5717 6101 -184 "^3Crashed Plane"
-6228 -4763 -727 "^3Farmhouse"
-6353 -4285 -723 @
-5967 -4586 -727 @
-5741 -5218 -727 @
-6139 -3970 -727 @
-6628 -4710 -279 @
-6142 -4622 -188 @
-5662 -4711 -279 @
-6615 -3938 -216 @
-5677 -3947 -213 @
-6145 -3928 -111 @
-6145 -3928 -319 @
-6482 -4515 -727 @
-5656 -3938 -727 @
-6138 -3743 -303 "^3Farmhouse Balcony"
-6138 -3743 -95 @
-6628 -4710 -18 "^3Farmhouse Roof"
-6142 -4622 238 @
-5662 -4711 -13 @
-6615 -3938 -99 @
-5677 -3947 -94 @
-6145 -3928 156 @
-5755 -4842 -895 "^3Farmhouse Stairwell"
-6940 -23 -828 "^3Farmhouse Tunnels"
-7102 -289 -859 @
-6270 -4494 -1095 @
-6228 -4763 -1079 @
-6353 -4285 -1095 @
-7973 -4573 -1024 @
-8018 -2067 -1058 @
-6656 823 -831 @
-6630 188 -831 @
-6361 -293 -761 @
-6033 -517 -699 @
837 -1505 -443 "^3Forward Flag"
-625 -3685 -1426 "^3Hideout Lake"
-1162 -4230 -1611 @
-2026 -4420 -1643 @
-2105 -4224 128 "^3Hideout Lake Overlook"
-137 -2397 -1193 "^3Hideout Tunnel"
476 -1961 -1139 @
-134 -1505 -1086 @
-79 -1356 -1552 @
-1161 -3180 -1106 @
-1986 -3464 -948 @
-3085 -3716 -615 @
957 -1568 -895 @
-622 -3405 -1071 @
-1133 -3524 -982 "^3Hideout Tunnel Ramp"
-625 -3685 -693 @
-146 -1938 -1087 "^3Hideout Tunnel Resupply"
-3511 -3741 -653 "^3Hideout Tunnel Stairs"
-4491 4588 -374 "^3Lake Area"
-6805 5150 -717 @
-6783 4200 -880 @
-6455 3893 -962 @
-6686 3440 -904 @
-6649 1498 -950 @
-5069 6040 -268 @
-6431 6224 -100 @
-5660 5634 -454 @
-3839 1998 283 @
-4611 1464 -745 @
-5730 1480 -792 @
4579 -2 -1342 "^3Lion Statue"
-2248 3355 -575 "^3Mining Tunnel"
-2673 4639 -548 @
-3899 4689 -375 @
-2014 3587 -570 @
-2651 2200 -442 @
-2808 687 -442 @
-1974 3367 -2175 "^3Mining Tunnel Scaffoldings"
-1974 3367 -806 @
-1907 2495 -2095 @
-7702 5096 -912 "^3Old Mining Cave"
-7049 5175 -710 @
1269 -1572 -895 "^3Pump Room"
2773 -1565 -965 @
-3491 116 -207 "^3Rope"
-5543 541 272 "^3Ruined Wall"
-4611 1464 336 @
-3877 1337 423 @
-5730 1480 336 @
4919 -3042 -2095 "^3Sewers"
5656 -2958 -2095 @
2952 -2757 -2079 @
2976 -1565 -2095 @
4440 -2760 -2095 @
-1907 2220 -2095 @
-1560 838 -2111 @
-1510 -1331 -2088 @
-414 -3177 -1591 @
-76 -2410 -1887 @
-79 -1356 -2031 @
-1576 -773 -2095 @
-58 -1583 -1858 @
3192 -1254 -1519 @
2773 -1565 -1535 @
6904 -3115 -1553 @
4990 -3007 -1855 @
-1576 -773 -1810 "^3Sewers Ladder"
-1576 -773 -821 @
-58 -1583 -1562 @
2773 -1565 -1280 @
4990 -3007 -1578 @
-5642 -2042 -386 "^3Tree Camping Spot"
476 -1301 319 "^3Upper Warehouse Bunker"
17 -1500 320 @
1572 -1403 320 @
2870 -1486 312 @
2857 -1670 256 "^3Upper Warehouse Stairs"
335 -1510 -199 "^3Warehouse"
742 -3329 -447 @
592 -1503 -447 @
1089 -1509 -447 @
862 -1717 -447 @
863 -1298 -447 @
1187 -511 -447 @
1240 901 -255 @
660 643 -255 @
320 -849 -447 @
380 -2141 -447 @
372 -3486 -415 @
66 -1511 -183 @
476 -1301 56 @
1572 -1403 -441 @
2818 -1545 -575 @
1169 -2574 -447 @
1175 -2663 -195 @
482 -3453 -239 @
2200 -1895 -519 @
2378 -1203 -531 @
2197 -2139 -447 "^3Warehouse Corridors"
2233 -2734 -447 @
2373 -988 -447 @
1937 -889 -447 @
-1576 -773 -603 "^3Warehouse Courtyard"
41 651 -383 @
73 -850 -447 @
47 -2157 -447 @
374 -3629 -383 @
29 -3576 -383 @
-224 -1503 -447 @
59 -2137 -159 @
68 -911 -183 @
-81 -1521 -183 @
-1161 -3180 -447 @
-1133 -3524 -447 @
-621 -3481 -447 @
-2744 -3299 -447 @
-2797 158 -447 @
-2594 -1486 -575 @
-2541 -2298 -447 @
-2532 -725 -447 @
-2363 -3088 -111 @
-2335 -2686 -575 @
-2714 -1496 128 "^3Warehouse Courtyard Overlook"
-2726 -3286 128 @
-3130 130 128 @
-3133 -725 128 @
-3116 -2301 128 @
-2641 -2685 128 @
1555 -510 -447 "^3Warehouse Office"
1532 -2550 -447 "^3Warehouse Radio Station"
2516 825 -487 "^3Warehouse Ramp Corridor"
1502 897 -255 @
335 -1510 -447 "^3Warehouse Resupply Station"
-6939 -3153 -567 "^3Water Tower"
-6747 3831 -868 "^3Waterfall"
-4723 -627 -471 "^3Windmill"
-4722 -628 -819 @
