/////////////////////////////////////////////////////////
// Map name       Desert Fortress (beta)               //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1333 3980 993 "Allied Back Spawn"
891 3917 993 @
932 3822 993 @
1142 3935 993 @
1326 3977 1136 @
1169 3935 1136 @
1166 3858 1136 @
1295 3795 1136 @
1269 3855 993 @
798 3514 840 "Allied Barracks"
974 3516 840 @
933 3676 840 @
752 3671 840 @
253 2549 832 "Allied Cannon"
217 2413 832 @
453 2586 832 @
479 2442 855 @
1468 1467 573 "Allied Desert"
1696 1029 651 @
1854 735 711 @
1441 725 686 @
1375 368 862 @
1408 -107 1039 @
1224 -8 1036 @
1065 -108 1003 @
754 -102 980 @
490 -101 989 @
280 -100 986 @
110 -5 972 @
-142 -85 1070 @
-323 -225 1196 @
-438 142 1189 @
-857 258 1192 @
-1271 605 908 @
-1545 823 798 @
-1340 1268 696 @
-1160 1633 652 @
-1020 1925 643 @
-802 1910 636 @
-474 1888 626 @
-183 1923 617 @
68 1895 607 @
308 1719 593 @
564 1905 565 @
897 1837 554 @
1096 1556 566 @
-595 3488 1096 "Allied Door Bars"
-707 3487 1096 @
1571 4305 1281 "Allied Fortress"
1567 4065 1174 @
1569 3895 1098 @
1604 3795 1016 @
1602 3622 1016 @
1458 3632 1016 @
1417 3968 992 @
1297 3732 992 @
1051 3734 992 @
925 3711 992 @
771 3719 992 @
776 3854 992 @
877 4003 1019 @
1116 4057 1025 @
1414 4101 1009 @
1421 3807 1136 @
1083 3929 1136 @
-486 3578 1096 @
-531 3494 992 @
-568 3377 874 @
-594 3082 779 @
-797 3083 800 @
-885 2840 720 @
-832 2586 689 @
-713 2343 655 @
-799 2063 640 @
-460 2215 632 @
-19 2321 615 @
-235 2573 648 @
-140 2677 636 @
166 2678 610 @
465 2678 600 @
573 2431 576 @
671 2191 549 @
859 2173 544 @
868 2424 563 @
1173 2421 564 @
1282 2263 554 @
1362 2077 560 @
1437 1698 840 @
1250 1698 840 @
1250 1941 840 @
1437 1942 840 @
1625 2014 832 @
1632 2393 832 @
1632 2697 832 @
1632 2908 832 @
1632 3244 832 @
1302 3428 848 @
790 3364 832 @
981 3388 832 @
899 3512 992 @
630 3523 992 @
1431 3134 728 @
1488 2655 577 @
1126 1946 776 @
952 1946 776 @
819 2066 776 @
544 2066 776 @
120 2071 776 @
-220 2022 832 @
-301 1947 776 @
-557 1966 776 @
-612 1994 832 @
-990 2011 832 @
-996 2632 886 @
-997 2860 951 @
-923 3095 904 @
-698 3217 1096 @
-903 3548 1096 @
-793 3226 1256 @
-682 3581 1256 @
-682 3382 1256 @
-987 3582 1150 @
-988 3301 1136 @
-1097 2922 1048 @
-1109 3085 1048 @
1325 2925 599 @
-141 2404 832 "Allied Front Spawn"
147 2400 832 @
159 2597 832 @
-146 2597 832 @
-159 2407 636 @
123 2442 609 @
-165 2568 638 @
144 2595 610 @
1128 1798 768 "Allied MG42"
-1089 3016 904 @
1718 2908 610 "Allied Side Gate"
1546 2911 616 @
1179 2262 570 "Allied Supplies"
922 2322 570 @
-910 3187 888 "Allied Vent"
-679 3359 888 @
-797 3347 1264 "Ammonution Storage"
-925 3579 1264 @
1351 -3292 1016 "Axis Back MG42"
1809 -3501 872 "Axis Back Spawn"
1809 -3690 872 @
1134 -3686 872 @
1126 -3489 872 @
1468 -3499 872 @
460 -3416 1120 "Axis Communications"
634 -3394 1120 @
438 -3330 1120 @
1755 -2319 657 "Axis Desert"
1934 -1957 671 @
2105 -1610 709 @
2236 -1346 757 @
2025 -1283 793 @
1674 -995 863 @
1539 -594 1053 @
1128 -604 961 @
908 -714 965 @
704 -600 974 @
397 -595 1006 @
256 -590 1021 @
90 -715 1036 @
-275 -441 1188 @
-410 -833 1151 @
-532 -1073 1009 @
-883 -1441 806 @
-1123 -1462 821 @
-1019 -1706 771 @
-917 -1946 728 @
-824 -2161 693 @
-749 -2337 696 @
-418 -2333 679 @
-253 -2321 671 @
-259 -2094 671 @
-60 -1970 674 @
151 -2151 647 @
162 -2326 653 @
480 -2318 646 @
751 -2311 640 @
1123 -2117 640 @
1306 -2312 645 @
