/////////////////////////////////////////////////////////
// Map name       Doverbridge Final                    //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    26-06-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1125 683 434 "Allied Balcony"
1373 669 434 @
2304 681 434 @
2627 684 434 @
1130 585 434 "Allied Castle"
1027 167 469 @
1369 194 434 @
1561 380 434 @
1827 613 400 @
2629 585 432 @
2300 585 434 @
2312 456 129 @
2620 601 129 @
2447 169 129 @
1826 582 128 "Allied Castle Arch"
1370 552 434 "Allied Command Post"
2300 658 128 "Allied Door"
1409 200 129 "Allied Health & Ammo"
2453 224 442 "Allied Radio"
1170 688 128 "Allied Side"
1828 711 128 @
2294 794 128 @
2627 691 128 @
2722 597 128 @
2929 170 128 @
833 236 128 @
754 680 128 @
762 1485 128 @
781 1690 128 @
1614 1685 128 @
2043 1676 128 @
2911 1682 128 @
1171 583 129 "Allied Spawn"
1412 354 129 @
1040 172 129 @
1122 3416 432 "Axis Balcony"
1439 3415 432 @
2304 3424 432 @
2633 3432 432 @
1440 3496 432 "Axis Castle"
1125 3509 432 @
1032 3916 467 @
1833 3496 400 @
2349 3631 129 @
2637 3496 129 @
2305 3508 432 @
2629 3501 431 @
2432 3904 129 @
1833 3528 128 "Axis Castle Arch"
1374 3875 432 "Axis Command Post"
2349 3438 128 "Axis Door"
1420 3521 129 "Axis Health & Ammo"
2410 3871 433 "Axis Radio"
2917 2376 128 "Axis Side"
2057 2373 128 @
1576 2363 128 @
806 2366 128 @
762 2581 128 @
770 3376 128 @
826 3814 128 @
1167 3412 128 @
883 3510 128 @
1415 3411 128 @
1833 3370 128 @
2336 3266 128 @
2623 3411 128 @
2720 3503 128 @
2925 3919 128 @
1169 3510 129 "Axis Spawn"
1415 3672 129 @
1042 3909 129 @
1823 2215 136 "Bridge"
1827 1809 136 @
2901 1795 42 "River"
2046 1800 55 @
2068 2221 45 @
2926 2223 53 @
777 1795 32 @
827 2252 39 @
1597 2228 48 @
1841 2243 -134 @
1837 1770 -112 @
1582 1815 29 @
331 2157 -119 "Tunnel"
616 2564 -119 @
609 3383 -119 @
412 3809 -119 @
836 3817 -119 @
329 1867 -119 @
602 1475 -119 @
615 658 -119 @
432 228 -119 @
840 234 -119 @
267 2018 -119 "Tunnel Health & Ammo"
