/////////////////////////////////////////////////////////
// Map name       DS Bunkers (B2)                      //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 30                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-21 -1240 -183 "Allied Back Bunker"
-17 -1858 -183 @
-391 -2106 -183 @
-444 -2545 -183 @
-463 -2856 -183 @
-473 -3325 -183 @
-1116 -3392 -71 @
-921 -3471 56 @
2 -2115 64 "Allied Bunker 1"
-120 -1494 384 @
140 -1472 384 @
-257 -1679 64 @
252 -1682 64 @
379 -2785 56 "Allied Bunker 2"
549 -1496 192 @
566 -1514 320 @
409 -1517 320 @
-544 -334 208 "Allied Command Post"
-12 -3804 64 "Allied Defensive Barrier"
-445 -267 400 "Allied Forward Spawn"
-511 -441 400 @
-259 -3086 56 "Allied MG42"
37 -1294 113 "Allied Main Hatch"
40 -1288 204 @
-273 -1496 379 "Allied Platform"
-575 -1407 344 @
-481 -1298 328 @
-613 -1525 344 @
-435 -1452 344 "Allied Platform MG42"
222 -4087 200 "Allied Radio Room"
187 -4293 200 @
219 -4096 88 @
534 -635 192 "Allied Side"
553 -1367 192 @
265 -1498 192 @
269 -1349 192 @
380 -1164 192 @
388 -915 192 @
357 -634 192 @
114 -1124 192 @
-240 -1505 192 @
-243 -1366 192 @
-143 -1174 192 @
117 -895 192 @
-125 -840 192 @
-391 -909 192 @
-542 -591 192 @
-342 -565 192 @
2 -566 192 @
-388 -1160 192 @
-599 -1285 192 @
-432 -1323 200 @
-14 -707 192 @
-476 -1500 192 "Allied Side Supply Cabinets"
-491 -3411 96 "Allied Spawn"
-498 -3217 96 @
-677 -3372 96 @
-634 -2996 96 @
-492 -2874 96 @
-493 -2681 96 @
-669 -2661 136 @
5 -4029 64 "Allied Supply Stashes"
-271 -4077 64 @
-742 -3866 64 @
-594 -3868 64 @
261 -1540 64 "Allied Trenches"
251 -1320 64 @
249 -1032 64 @
178 -644 64 @
-247 -1516 64 @
-258 -1327 64 @
-257 -1031 64 @
-188 -657 64 @
-761 -2834 -119 "Allied Vent"
-761 -2477 -119 @
-761 -2064 -119 @
-724 -2053 240 @
-545 -2063 240 @
-346 -2074 240 @
-282 -2055 408 @
228 -3901 56 "Allied Yard"
219 -3527 56 @
-180 -3606 56 @
-686 -3764 56 @
-756 -3482 56 @
-364 -3442 56 @
-404 -3226 56 @
-500 -3047 56 @
-398 -2878 56 @
-403 -2651 56 @
-769 -2666 56 @
-9 -2365 64 @
252 -2781 56 @
-85 -2901 64 @
-179 -3288 56 @
-517 -2425 56 @
-753 -3032 80 @
-725 -2300 56 @
-746 -2522 56 @
-540 -3766 56 @
-534 -2194 240 "Allied Yard Bunker"
894 3465 64 "Axis Back Bunker"
1109 3327 -71 @
460 3325 -183 @
461 2877 -183 @
352 2506 -183 @
381 1861 -183 @
-15 1856 -183 @
29 1239 -183 @
533 2242 -183 @
120 1479 384 "Axis Bunker 1"
-131 1483 384 @
-8 2177 64 @
255 1689 64 @
-259 1679 64 @
-386 2798 56 "Axis Bunker 2"
-545 1501 192 @
-564 1514 320 @
542 354 208 "Axis Command Post"
2 3811 64 "Axis Defensive Barrier"
428 256 400 "Axis Forward Spawn"
511 441 400 @
276 3096 56 "Axis MG42"
-37 1287 105 "Axis Main Hatch"
9 1288 204 @
280 1495 378 "Axis Platform"
562 1437 344 @
470 1290 328 @
431 1454 344 "Axis Platform MG42"
-225 4085 200 "Axis Radio Room"
-200 4325 200 @
-216 4075 88 @
-58 4143 64 "Axis Secret Weapons"
-57 4313 176 @
143 3944 64 @
719 4317 64 @
417 4309 64 @
761 3906 64 @
-533 623 192 "Axis Side"
-344 600 192 @
-385 900 192 @
-390 1150 192 @
-549 1375 192 @
-263 1350 192 @
-264 1510 192 @
-120 896 192 @
1 593 192 @
133 855 192 @
-12 1080 192 @
239 1343 192 @
250 1484 192 @
387 1168 192 @
383 916 192 @
348 581 192 @
526 577 192 @
433 1344 200 @
-12 719 192 @
480 1511 192 "Axis Side Supply Cabinets"
512 2683 96 "Axis Spawn"
499 2882 96 @
677 2650 136 @
630 3006 96 @
477 3217 96 @
496 3406 96 @
677 3372 96 @
-175 626 64 "Axis Trenches"
-252 1033 64 @
-265 1343 64 @
-255 1532 64 @
262 1554 64 @
260 1323 64 @
259 1033 64 @
172 665 64 @
765 2067 -119 "Axis Vent"
696 2072 240 @
368 2067 240 @
546 2067 240 @
757 2851 -119 @
758 2475 -119 @
759 2645 56 "Axis Yard"
27 2364 64 @
379 2642 56 @
393 2865 56 @
488 3036 56 @
-237 2792 56 @
93 2925 64 @
161 3271 56 @
399 3205 56 @
398 3435 56 @
759 3478 56 @
680 3735 56 @
287 3702 56 @
-13 3525 64 @
-238 3766 56 @
-227 3966 56 @
765 3200 56 @
760 3025 80 @
760 2354 56 @
439 2298 56 @
523 2194 240 "Axis Yard Bunker"
9 -4117 64 "First Allied Supply Stash"
-134 -4233 120 @
60 -4298 176 @
254 4036 64 "First Axis Secret Weapon"
333 4171 64 @
551 -499 196 "Forward Spawn Area"
356 -468 192 @
148 -459 192 @
-3 -446 192 @
-293 -457 192 @
-470 -137 192 @
-546 504 196 @
-361 436 192 @
-145 465 192 @
3 461 192 @
299 453 192 @
464 132 192 @
156 157 192 @
-15 163 192 @
-153 159 192 @
-156 -126 192 @
143 -137 192 @
141 -1 64 @
-114 6 64 @
-27 -255 192 @
-5 -28 424 "Forward Spawn Flag"
-618 -4141 144 "Second Allied Supply Stash"
-665 -4079 64 @
647 4059 64 "Second Axis Secret Weapon"
