/////////////////////////////////////////////////////////
// Map name       Dubrovnik (ETC)                      //
// Locations by   Ifurita                              //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1503 2707 212 "Altar"
2281 2361 134 "Back Alley"
2375 1696 122 @
-1611 -1253 46 "Boat"
1957 -489 212 "Bridge Stairs"
1204 2642 152 "Church"
1171 2304 152 @
1486 2339 128 @
1509 2543 176 @
1862 2378 122 "Church Alley"
1850 2777 122 @
1408 2945 122 @
939 2878 122 @
1195 2815 154 "Church Back Door"
1509 2137 132 "Church Doors"
1148 2714 452 "Church Roof"
1173 2270 465 @
999 2557 197 "Church Roof Ladder"
2073 778 122 "Church Square"
1387 807 122 @
1072 1090 122 @
1058 1947 122 @
1854 2044 122 @
1490 1666 122 @
2117 1642 130 @
660 1836 160 "Church Square Trees"
1502 1925 159 "Church Square Truck"
-64 736 292 "Convent"
-519 752 268 @
-792 1142 104 "Convent Courtyard"
-44 1206 112 @
-34 -451 60 "Dock Arch"
-461 -362 56 "Dock Staircase"
-780 -777 93 "Dock Truck"
-145 -466 280 "Dock Wall"
-137 -811 280 @
-134 -1277 280 @
-318 -1272 280 @
-330 -1077 76 "Dock Warehouse"
-282 -730 68 @
-296 -1002 249 "Dock Warehouse Roof"
-527 -1209 312 @
-279 -736 257 @
-860 -1162 56 "Docks"
-1545 -1094 58 @
-1905 -1083 58 @
-959 -1933 56 @
-1607 -1919 58 @
-1028 -2699 56 @
-1608 -2703 58 @
-1337 -256 58 @
-975 -255 56 @
-1015 -1523 56 @
-541 -811 56 @
-1072 -788 58 @
2337 -112 105 "East Alley"
2326 486 122 @
2344 -672 90 @
2346 -488 320 "East Alley Bridge"
2152 704 96 "East Alley Exit"
-1752 1472 96 "East Arch"
232 1440 96 "East Convent Exit"
472 1616 96 @
-843 2053 72 "Generator"
816 225 112 "Manor Alley"
824 -759 72 @
813 -350 84 @
-6 -916 64 @
190 -702 104 "Manor House"
449 -402 76 @
-855 1862 64 "North Street"
-233 1932 64 @
191 2244 70 @
777 2255 118 @
-1532 1756 64 @
-216 -128 288 "North Wall"
-504 -128 288 @
-824 -128 288 @
-1112 -128 288 @
-1400 -128 288 @
1448 -1678 72 "South City"
801 -1652 72 @
1435 -2396 80 "South Courtyard"
-600 -2080 64 "South Dock Arch"
-600 -1824 64 @
-600 -1568 64 @
-444 -2400 62 "South Plaza"
-280 -2059 66 @
-309 -1618 65 @
407 -1398 72 @
26 -1423 72 @
604 -2274 72 @
-171 -2343 69 @
-706 362 72 "South Street"
-10 370 104 @
-1427 1023 104 @
-973 729 104 @
-1220 374 64 @
-1635 759 64 @
-1773 1139 64 @
-269 43 110 @
-600 -1472 288 "South Wall"
-600 -1792 288 @
-600 -2112 288 @
-600 -2432 288 @
-585 -1261 280 @
2826 -163 112 "Supply Cabinets"
592 760 119 "Tiger Tank"
1365 434 130 "West Alley"
1670 306 130 @
1675 -275 130 @
1676 -888 80 @
1356 -1348 80 @
1382 620 130 "West Alley Exit"
-1016 1536 96 "West Convent Exit"
