/////////////////////////////////////////////////////////
// Map name       Dubrovnik                            //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 21                //
// Last edited    05-10-2009                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-338 -1077 76 "^1Access Codes"
-1611 -1253 46 "^1Boat"
1503 2707 212 "^1Box Of Gold"
1509 2137 132 "^1Church Doors"
-843 2053 72 "^1Generator"
1435 -2396 80 "^2Allied Spawn"
-9 722 292 "^2Axis Spawn"
-685 718 268 @
-338 -1077 215 "^3Access Codes Roof"
1448 -1678 72 "^3Allied Spawn Alley"
801 -1652 72 @
26 -1423 72 @
604 -2274 72 @
-171 -2343 69 @
-9 722 112 "^3Axis House"
-685 718 104 @
-706 362 72 "^3Axis Spawn Alley"
-10 370 104 @
-1427 1023 104 "^3Axis Spawn Square"
-973 729 104 @
-1220 374 64 @
-1635 759 64 @
-792 1142 104 "^3Axis Yard"
-44 1206 112 @
2346 -488 320 "^3Catwalk"
1957 -489 212 "^3Catwalk Stairs"
1204 2642 152 "^3Church"
1171 2304 152 @
1486 2339 128 @
1509 2543 176 @
1862 2378 122 "^3Church Alley"
1850 2777 122 @
1408 2945 122 @
939 2878 122 @
1195 2815 154 "^3Church Back Door"
1148 2714 452 "^3Church Roof"
1173 2270 465 @
999 2557 197 "^3Church Roof Ladder"
2073 778 122 "^3Church Square"
1387 807 122 @
1072 1090 122 @
1058 1947 122 @
1854 2044 122 @
1490 1666 122 @
1365 434 130 "^3Church Square Alley"
1670 306 130 @
1675 -275 130 @
1676 -888 80 @
1356 -1348 80 @
660 1836 160 "^3Church Square Trees"
1502 1925 159 "^3Church Square Truck"
2344 -672 90 "^3Dead End"
2337 -112 105 "^3Dead End Alley"
2326 486 122 @
-34 -451 60 "^3Dock Entrance"
383 -710 72 "^3Dock Entrance House"
-461 -362 56 "^3Dock Staircase"
-780 -777 93 "^3Dock Truck"
-860 -1162 56 "^3Docks"
-1545 -1094 58 @
-1905 -1083 58 @
-959 -1933 56 @
-1607 -1919 58 @
-1028 -2699 56 @
-1608 -2703 58 @
-1337 -256 58 @
-855 1862 64 "^3Generator Alley"
-233 1932 64 @
191 2244 70 @
777 2255 118 @
-1532 1756 64 @
-1773 1139 64 @
321 -914 80 "^3Narrow Alley"
383 -710 400 "^3Rooftops"
1054 -1044 695 @
1455 -858 577 @
1468 -178 694 @
1128 422 545 @
1424 195 578 @
1148 712 593 @
720 1249 547 @
14 730 756 @
-653 733 660 @
-133 1753 448 @
271 1320 504 @
-733 1551 572 @
2829 -169 112 "^3Supply Cabinets"
562 553 107 "^3Tank"
868 822 116 @
818 117 112 "^3Tank Alley"
778 -726 72 @
