/////////////////////////////////////////////////////////
// Map name       Duplex Towers                        //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-1397 1230 1368 "Allied North-West Spawn"
-1595 1127 1368 @
-1796 1227 1368 @
-1714 1317 1368 @
1331 -1458 1392 "Allied South-East Spawn"
1461 -1683 1392 @
1382 -1877 1392 @
1267 -1795 1392 @
2695 3961 767 "Axis North-East Spawn"
3507 3708 832 @
3958 2940 896 @
3969 3463 832 @
3972 3134 896 @
3144 3981 810 @
3404 3955 832 @
-3973 -2941 896 "Axis South-West Spawn"
-3510 -3712 832 @
-2691 -3961 766 @
-3972 -3596 832 @
-3743 -3778 832 @
-3246 2579 816 "Command Post"
-2939 2635 816 "Command Post Bunker"
-3060 2521 816 @
-3379 2599 816 @
-3231 2693 816 @
-3202 2616 1000 "Command Post Roof"
-3005 2617 1000 @
756 -3 1471 "Duplex Towers Area"
1275 -127 1368 @
1145 -605 1461 @
1296 -1327 1401 @
1164 -918 1465 @
1176 -1790 1384 @
1156 -1449 1367 @
771 -1671 1274 @
778 -1356 1411 @
589 -1120 1432 @
186 -1074 1506 @
-238 -1041 1489 @
-395 -941 1497 @
-697 -884 1505 @
-1479 -532 1406 @
-1265 -60 1349 @
-1135 -476 1501 @
-1388 445 1408 @
-1593 1012 1369 @
-1913 1043 1372 @
-1926 1222 1361 @
-1917 1402 1351 @
-1718 1429 1368 @
-1384 1437 1290 @
-1254 1208 1280 @
-1363 1024 1320 @
283 -74 1434 @
447 -316 1457 @
416 -683 1464 @
443 -908 1453 @
-587 -569 1564 @
147 641 1213 @
517 562 1345 @
69 1040 1304 @
-1518 738 1458 @
1008 -158 1418 @
512 184 1442 @
510 377 1418 @
-250 1258 1274 @
-610 1253 1217 @
-945 1256 1220 @
-1146 1405 1275 @
-1771 1004 1365 @
-1409 633 1392 @
-1412 853 1370 @
-25 -1033 1509 @
1552 -2040 1395 @
1547 -1667 1393 @
1532 -1399 1401 @
1296 -1093 1424 @
-1493 949 1577 @
3169 923 1032 "East Fortifications"
2874 261 1014 @
2793 42 984 @
3007 -52 984 @
3225 64 984 @
3003 32 1168 @
3279 -782 860 @
1720 -412 1072 "East Ramp"
1705 -583 1081 @
1288 -621 1390 @
1492 -621 1288 @
707 -537 1536 "East Tower"
759 -552 2152 @
378 985 1160 "Main Gate"
251 805 1226 @
2442 1640 1173 "North-East Sniper Tower"
2496 999 1314 @
2485 998 1580 @
-3490 -3555 853 "Outside Tower Area Walls"
-3274 -3813 820 @
-2719 -3813 782 @
-2544 -3977 755 @
-2318 -2303 1030 @
-2961 -1854 1171 @
-3963 -2794 864 @
-3817 -2942 791 @
-3807 -3519 794 @
-1683 -805 1309 @
-1553 -1004 1310 @
-1255 -1035 1302 @
-726 -1093 1314 @
-49 -1214 1373 @
-366 -1576 1167 @
360 -1377 1287 @
569 -1560 1286 @
747 -1807 1176 @
1016 -1855 1240 @
1238 -2080 1299 @
1737 -2070 1305 @
1705 -1654 1372 @
1468 -1240 1381 @
1469 -828 1173 @
2028 -642 1049 @
1868 -150 1139 @
1293 28 1293 @
922 49 1350 @
671 285 1370 @
657 668 1248 @
652 1070 1084 @
263 1279 1205 @
-218 1403 1177 @
-699 1412 1183 @
-1010 1406 1230 @
-1234 1575 1209 @
-1650 1563 1207 @
-2009 1549 1198 @
-1591 1943 1015 @
-1734 2328 996 @
-2094 2296 982 @
-2227 1978 1031 @
-2207 2120 974 @
-2803 2622 833 @
-3003 2820 806 @
-3279 2825 808 @
-3469 2615 802 @
-3427 2373 828 @
-3147 2371 809 @
-2943 2380 821 @
-2106 1265 1348 @
-2089 1047 1416 @
-1921 889 1375 @
-1544 875 1432 @
-1698 880 1404 @
-1644 686 1356 @
-1533 518 1361 @
-1658 198 1138 @
-2094 238 1004 @
-2380 3 983 @
-2170 -361 899 @
-1740 -454 1171 @
3692 -3432 774 @
3714 -3698 738 @
3566 -3828 771 @
3195 -3844 727 @
3070 -3718 747 @
3068 -3448 766 @
3189 -3326 760 @
3389 -3334 764 @
3060 -1072 899 @
2627 -490 1043 @
3765 -792 889 @
3542 -1193 961 @
3543 84 836 @
3000 444 1028 @
2525 574 1276 @
2398 61 1086 @
2146 1015 1161 @
2542 3964 768 @
2710 3829 749 @
3235 3808 747 @
3457 3534 743 @
3787 3059 867 @
3960 2786 878 @
3772 3428 805 @
3842 2932 881 @
3833 3196 879 @
2063 1851 1167 @
2793 1997 1039 @
3222 1376 1073 @
587 -1280 1473 "South East Defence"
-345 -1251 1328 "South Ramp"
-390 -1043 1440 @
3392 -3447 772 "South-East Hut"
3195 -3472 772 @
3234 -3697 772 @
3424 -3572 772 @
3586 -3669 772 @
3576 -3590 1100 "South-East Hut Roof"
3218 -3585 1100 @
3421 -3667 772 "South-East Supplies"
-3329 -3001 912 "South-West Sniper Tower"
-2862 -2323 1532 @
-2878 -2332 1269 @
375 -639 1468 "The Centre Buildings"
279 -259 1432 @
-293 -205 1544 @
-289 -728 1560 @
204 -908 1523 @
189 -334 1272 @
-1938 1983 666 "Tunnel"
-1910 2005 375 @
189 -389 665 @
-1769 1838 1010 "Tunnel Bunker"
-1769 2169 1048 @
-2064 2127 960 @
-2052 1814 1019 @
132 -347 1128 "Tunnel Entrance"
-1943 1956 1176 "Tunnel Roof"
-1281 -557 1448 "West Defence"
-913 -809 1495 @
-1412 -891 1408 @
-1528 -747 1404 @
-1178 -855 1442 @
-2087 -29 912 "West Ramp"
-1761 -67 1011 @
-1431 -59 1265 @
-704 -260 1624 "West Tower"
-773 -247 2240 @
