/////////////////////////////////////////////////////////
// Map name       Eagles 2 Ways B3                     //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    19-02-2007                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1221 2832 1280 "Airfield Corridor Access"
1219 3087 1392 @
1007 2706 1280 "Airfield Spawn"
1220 2727 1280 @
1207 2311 1280 @
1207 2608 1280 @
1479 1950 1452 @
2056 2189 1112 @
1450 1909 1112 @
2157 2158 1664 "Airfield Tower"
2471 2177 1680 @
2400 2074 1680 @
-3240 1265 1272 "Allied Forward Town Spawn"
-3229 1004 1272 @
-2855 1001 1272 @
-2846 1271 1272 @
-1062 1934 1168 "Avalanche Wall"
-1913 707 1384 "Axis Forward Town Spawn"
-2189 715 1384 @
-2163 1235 1384 @
-2215 1578 1374 @
-2512 1335 1384 @
-1950 1233 1363 @
-826 -2998 1111 "Barrier #1"
-1151 -3067 1111 @
-921 -2822 1111 @
2790 873 1111 "Barrier #2"
2486 883 1111 @
2610 -832 1111 "Bridge"
2367 -780 1112 @
2360 -76 1112 @
2368 -454 1102 @
-1592 -1984 1111 "Bus Garage"
-1584 -2387 1111 @
-2261 -2379 1111 @
-2242 -1975 1111 @
-1982 -1855 1111 @
-2278 -2179 1352 @
-1850 -1891 1352 @
-1556 -1902 1352 @
-1919 -2449 1352 @
-2260 -2459 1352 @
-1886 -3343 1232 "Bus Garage Guard Post"
-1699 -3346 1232 @
-1694 -3359 1112 @
-1886 -3343 1112 @
-1885 -3529 1127 @
-1895 -2492 1540 "Bus Garage Roof"
-2314 -2467 1555 @
-2325 -1871 1548 @
-1891 -1866 1545 @
-1523 -1861 1542 @
-2266 -2182 1720 @
-2852 -3709 1132 "Castle Back Corridor"
-3566 -3647 1360 @
-3575 -2606 1776 @
-3575 -2947 1680 @
-3281 -3698 2273 "Castle Back Ladder"
-3434 -3419 2461 "Castle Back Window"
-3351 -3631 2233 "Castle Back Yard"
-3362 -3418 2205 @
-2930 -3192 2168 @
-2923 -2856 2179 @
-3142 -2604 2138 @
-3359 -2485 2164 @
-3353 -2656 2122 @
