/////////////////////////////////////////////////////////
// Map name       El Kef Final                         //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 20                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
-1925 -2557 -591 "Allied Radio"
-446 1136 -463 "Arches"
-443 598 -463 @
-1048 613 -463 @
-1075 1082 -463 @
-661 903 -463 @
-736 473 -119 "Arches Balcony"
-733 582 -119 "Arches Lookout"
-463 610 -119 @
-1028 599 -119 @
-727 922 -119 @
-557 919 -119 "Arches Top Access"
212 931 -219 @
-78 924 -218 @
1853 232 -351 "Balcony Hallway"
1440 -629 -195 @
2131 -447 -583 "Barricade"
-466 -2097 -559 "Command Post"
-483 -1958 -559 "Courtyard"
96 -1720 -571 @
-354 -1316 -591 @
-175 -1926 -564 @
-164 -1543 -579 @
-168 -2093 -559 "Courtyard Entrance"
3161 -2329 -367 "Documents"
2929 -2296 -367 "Documents Balcony"
3143 -2289 -591 "Documents Stairs"
3288 -2451 -383 @
1323 -618 -159 "High Balcony"
1112 -621 -159 @
3775 -1678 -379 "Library"
3618 -1468 -383 @
3445 -1583 -383 "Library Balcony"
3372 -1368 -383 @
3507 -1472 -383 @
3614 -1950 -583 "Library Corridor"
3775 -1705 -583 @
2127 378 -527 "North Yard"
2405 672 -503 @
2687 391 -527 @
1203 603 -527 "North Yard Hallway"
2130 243 -527 @
2680 231 -527 @
1882 229 -527 @
2369 228 -527 @
2409 403 -387 "North Yard Stairs"
1987 229 -351 "North Yard Terrace"
2417 247 -351 @
2682 241 -351 @
2159 240 -351 @
-763 -1021 -527 "South Corridors"
-361 -663 -527 @
-380 -253 -527 @
-178 -427 -527 @
-593 -416 -527 @
-2385 -2864 -583 "South Yard"
-1977 -2861 -591 @
-1526 -2860 -591 @
-2185 -2558 -567 @
-1909 -2258 -591 @
-1629 -2548 -578 @
-1528 -975 -535 @
-897 -1018 -535 @
1056 -2800 -503 "Supply Cabinets"
